country,year,citizen_group,unmet_need_pc
AL,2017,NAT,14.0
AL,2018,NAT,18.2
AL,2019,NAT,17.3
AL,2020,NAT,15.4
AL,2021,EU_FOR,13.5
AL,2021,NAT,15.5
AL,2021,NEU_FOR,26.1
AL,2022,EU_FOR,6.9
AL,2022,NAT,13.0
AL,2022,NEU_FOR,13.0
AL,2023,EU_FOR,5.2
AL,2023,NAT,12.6
AL,2023,NEU_FOR,11.7
AT,2008,NAT,1.5
AT,2009,EU_FOR,2.4
AT,2009,NAT,0.8
AT,2009,NEU_FOR,4.2
AT,2010,EU_FOR,2.1
AT,2010,NAT,1.2
AT,2010,NEU_FOR,8.2
AT,2011,EU_FOR,3.1
AT,2011,NAT,1.1
AT,2011,NEU_FOR,4.1
AT,2012,EU_FOR,2.1
AT,2012,NAT,1.0
AT,2012,NEU_FOR,4.0
AT,2013,EU_FOR,2.6
AT,2013,NAT,1.0
AT,2013,NEU_FOR,5.1
AT,2014,EU_FOR,0.7
AT,2014,NAT,0.4
AT,2014,NEU_FOR,1.0
AT,2015,EU_FOR,0.7
AT,2015,NAT,0.4
AT,2015,NEU_FOR,0.7
AT,2016,EU_FOR,0.9
AT,2016,NAT,0.4
AT,2016,NEU_FOR,1.0
AT,2017,EU_FOR,0.1
AT,2017,NAT,0.7
AT,2017,NEU_FOR,3.0
AT,2018,EU_FOR,0.8
AT,2018,NAT,0.4
AT,2018,NEU_FOR,1.2
AT,2019,EU_FOR,0.7
AT,2019,NAT,0.5
AT,2019,NEU_FOR,2.0
AT,2020,EU_FOR,1.1
AT,2020,NAT,0.4
AT,2020,NEU_FOR,0.1
AT,2021,EU_FOR,0.2
AT,2021,NAT,0.3
AT,2021,NEU_FOR,0.5
AT,2022,EU_FOR,0.2
AT,2022,NAT,0.8
AT,2022,NEU_FOR,2.3
AT,2023,EU_FOR,1.5
AT,2023,NAT,0.9
AT,2023,NEU_FOR,0.6
AT,2024,EU_FOR,1.1
AT,2024,NAT,0.8
AT,2024,NEU_FOR,3.7
AT,2025,EU_FOR,1.6
AT,2025,NAT,1.1
AT,2025,NEU_FOR,2.5
BE,2008,NAT,1.7
BE,2009,EU_FOR,1.7
BE,2009,NAT,1.2
BE,2009,NEU_FOR,2.4
BE,2010,EU_FOR,1.7
BE,2010,NAT,1.3
BE,2010,NEU_FOR,5.7
BE,2011,EU_FOR,4.2
BE,2011,NAT,2.8
BE,2011,NEU_FOR,6.8
BE,2012,EU_FOR,4.6
BE,2012,NAT,2.5
BE,2012,NEU_FOR,8.6
BE,2013,EU_FOR,4.8
BE,2013,NAT,2.6
BE,2013,NEU_FOR,12.2
BE,2014,EU_FOR,7.0
BE,2014,NAT,3.1
BE,2014,NEU_FOR,15.8
BE,2015,EU_FOR,5.8
BE,2015,NAT,3.3
BE,2015,NEU_FOR,10.0
BE,2016,EU_FOR,6.1
BE,2016,NAT,3.5
BE,2016,NEU_FOR,6.4
BE,2017,EU_FOR,7.6
BE,2017,NAT,3.2
BE,2017,NEU_FOR,9.1
BE,2018,EU_FOR,6.2
BE,2018,NAT,2.7
BE,2018,NEU_FOR,7.0
BE,2019,EU_FOR,5.4
BE,2019,NAT,3.3
BE,2019,NEU_FOR,8.4
BE,2020,EU_FOR,4.1
BE,2020,NAT,2.4
BE,2020,NEU_FOR,8.1
BE,2021,EU_FOR,4.6
BE,2021,NAT,2.5
BE,2021,NEU_FOR,7.3
BE,2022,EU_FOR,3.0
BE,2022,NAT,2.5
BE,2022,NEU_FOR,5.2
BE,2023,EU_FOR,3.9
BE,2023,NAT,3.0
BE,2023,NEU_FOR,4.8
BE,2024,EU_FOR,4.6
BE,2024,NAT,3.1
BE,2024,NEU_FOR,4.7
BE,2025,EU_FOR,5.8
BE,2025,NAT,3.0
BE,2025,NEU_FOR,4.5
BG,2008,NAT,16.5
BG,2009,NAT,13.4
BG,2009,NEU_FOR,20.9
BG,2010,NAT,12.0
BG,2010,NEU_FOR,26.0
BG,2011,NAT,10.8
BG,2011,NEU_FOR,15.6
BG,2012,NAT,9.3
BG,2012,NEU_FOR,21.0
BG,2013,NAT,9.8
BG,2013,NEU_FOR,16.8
BG,2014,NAT,6.7
BG,2014,NEU_FOR,8.6
BG,2015,NAT,5.3
BG,2015,NEU_FOR,5.5
BG,2016,EU_FOR,15.6
BG,2016,NAT,3.5
BG,2016,NEU_FOR,5.8
BG,2017,NAT,2.8
BG,2017,NEU_FOR,0.0
BG,2018,NAT,2.6
BG,2018,NEU_FOR,0.9
BG,2019,NAT,2.1
BG,2019,NEU_FOR,0.9
BG,2020,NAT,2.3
BG,2020,NEU_FOR,1.0
BG,2021,EU_FOR,8.3
BG,2021,NAT,1.7
BG,2021,NEU_FOR,2.1
BG,2022,NAT,2.0
BG,2022,NEU_FOR,2.6
BG,2023,NAT,1.9
BG,2023,NEU_FOR,0.0
BG,2024,NAT,1.8
BG,2024,NEU_FOR,0.0
BG,2025,NAT,2.0
BG,2025,NEU_FOR,0.0
CH,2008,NAT,3.6
CH,2009,EU_FOR,8.4
CH,2009,NAT,3.5
CH,2009,NEU_FOR,10.9
CH,2010,EU_FOR,6.9
CH,2010,NAT,3.2
CH,2010,NEU_FOR,10.4
CH,2011,EU_FOR,7.6
CH,2011,NAT,3.4
CH,2011,NEU_FOR,8.4
CH,2012,EU_FOR,8.0
CH,2012,NAT,3.3
CH,2012,NEU_FOR,11.6
CH,2013,EU_FOR,8.1
CH,2013,NAT,3.4
CH,2013,NEU_FOR,12.6
CH,2014,EU_FOR,8.7
CH,2014,NAT,3.2
CH,2014,NEU_FOR,11.5
CH,2015,EU_FOR,4.8
CH,2015,NAT,2.1
CH,2015,NEU_FOR,4.6
CH,2016,EU_FOR,5.2
CH,2016,NAT,2.5
CH,2016,NEU_FOR,8.0
CH,2017,EU_FOR,5.3
CH,2017,NAT,2.3
CH,2017,NEU_FOR,6.2
CH,2018,EU_FOR,4.5
CH,2018,NAT,2.3
CH,2018,NEU_FOR,4.6
CH,2019,EU_FOR,4.5
CH,2019,NAT,2.2
CH,2019,NEU_FOR,6.2
CH,2020,EU_FOR,3.3
CH,2020,NAT,1.9
CH,2020,NEU_FOR,5.4
CH,2021,EU_FOR,4.2
CH,2021,NAT,1.9
CH,2021,NEU_FOR,3.9
CH,2022,EU_FOR,4.4
CH,2022,NAT,2.0
CH,2022,NEU_FOR,5.6
CH,2023,EU_FOR,6.3
CH,2023,NAT,3.2
CH,2023,NEU_FOR,14.1
CH,2024,EU_FOR,9.4
CH,2024,NAT,3.5
CH,2024,NEU_FOR,8.6
CY,2008,NAT,4.8
CY,2009,EU_FOR,9.9
CY,2009,NAT,5.8
CY,2009,NEU_FOR,4.9
CY,2010,EU_FOR,11.9
CY,2010,NAT,8.2
CY,2010,NEU_FOR,5.8
CY,2011,EU_FOR,9.9
CY,2011,NAT,8.1
CY,2011,NEU_FOR,7.2
CY,2012,EU_FOR,8.7
CY,2012,NAT,7.4
CY,2012,NEU_FOR,5.9
CY,2013,EU_FOR,7.2
CY,2013,NAT,7.8
CY,2013,NEU_FOR,3.8
CY,2014,EU_FOR,6.9
CY,2014,NAT,9.2
CY,2014,NEU_FOR,3.5
CY,2015,EU_FOR,5.5
CY,2015,NAT,4.3
CY,2015,NEU_FOR,1.4
CY,2016,EU_FOR,6.8
CY,2016,NAT,3.2
CY,2016,NEU_FOR,4.7
CY,2017,EU_FOR,6.4
CY,2017,NAT,3.1
CY,2017,NEU_FOR,5.6
CY,2018,EU_FOR,6.7
CY,2018,NAT,3.9
CY,2018,NEU_FOR,7.2
CY,2019,EU_FOR,9.7
CY,2019,NAT,3.5
CY,2019,NEU_FOR,3.2
CY,2020,EU_FOR,4.5
CY,2020,NAT,2.6
CY,2020,NEU_FOR,4.1
CY,2021,EU_FOR,4.4
CY,2021,NAT,2.4
CY,2021,NEU_FOR,2.7
CY,2022,EU_FOR,4.4
CY,2022,NAT,1.8
CY,2022,NEU_FOR,0.9
CY,2023,EU_FOR,1.1
CY,2023,NAT,1.1
CY,2023,NEU_FOR,1.3
CY,2024,EU_FOR,4.2
CY,2024,NAT,1.5
CY,2024,NEU_FOR,2.6
CY,2025,EU_FOR,2.2
CY,2025,NAT,1.2
CY,2025,NEU_FOR,0.9
CZ,2008,NAT,1.2
CZ,2009,EU_FOR,0.0
CZ,2009,NAT,1.2
CZ,2009,NEU_FOR,2.1
CZ,2010,EU_FOR,2.6
CZ,2010,NAT,1.5
CZ,2010,NEU_FOR,4.1
CZ,2011,EU_FOR,1.5
CZ,2011,NAT,1.4
CZ,2011,NEU_FOR,1.4
CZ,2012,EU_FOR,0.0
CZ,2012,NAT,1.5
CZ,2012,NEU_FOR,2.7
CZ,2013,EU_FOR,1.4
CZ,2013,NAT,1.6
CZ,2013,NEU_FOR,3.3
CZ,2014,EU_FOR,2.1
CZ,2014,NAT,1.6
CZ,2014,NEU_FOR,1.7
CZ,2015,EU_FOR,0.0
CZ,2015,NAT,1.1
CZ,2015,NEU_FOR,1.3
CZ,2016,EU_FOR,3.7
CZ,2016,NAT,1.0
CZ,2016,NEU_FOR,0.0
CZ,2017,EU_FOR,0.5
CZ,2017,NAT,1.0
CZ,2017,NEU_FOR,0.0
CZ,2018,EU_FOR,0.0
CZ,2018,NAT,1.0
CZ,2018,NEU_FOR,1.5
CZ,2019,EU_FOR,0.6
CZ,2019,NAT,0.8
CZ,2019,NEU_FOR,0.0
CZ,2020,EU_FOR,0.0
CZ,2020,NAT,0.8
CZ,2020,NEU_FOR,0.0
CZ,2021,EU_FOR,0.6
CZ,2021,NAT,0.6
CZ,2021,NEU_FOR,0.8
CZ,2022,EU_FOR,0.6
CZ,2022,NAT,0.8
CZ,2022,NEU_FOR,0.9
CZ,2023,EU_FOR,0.5
CZ,2023,NAT,1.1
CZ,2023,NEU_FOR,1.8
CZ,2024,EU_FOR,0.3
CZ,2024,NAT,1.3
CZ,2024,NEU_FOR,2.3
CZ,2025,EU_FOR,1.7
CZ,2025,NAT,1.0
CZ,2025,NEU_FOR,1.2
DE,2008,NAT,2.4
DE,2009,EU_FOR,1.3
DE,2009,NAT,2.6
DE,2009,NEU_FOR,4.3
DE,2010,EU_FOR,3.4
DE,2010,NAT,2.1
DE,2010,NEU_FOR,6.5
DE,2011,EU_FOR,2.9
DE,2011,NAT,2.0
DE,2011,NEU_FOR,4.3
DE,2012,EU_FOR,1.3
DE,2012,NAT,1.8
DE,2012,NEU_FOR,2.4
DE,2013,EU_FOR,3.6
DE,2013,NAT,1.7
DE,2013,NEU_FOR,6.3
DE,2014,EU_FOR,2.9
DE,2014,NAT,1.9
DE,2014,NEU_FOR,3.0
DE,2015,EU_FOR,0.9
DE,2015,NAT,0.5
DE,2015,NEU_FOR,1.9
DE,2016,EU_FOR,1.0
DE,2016,NAT,0.6
DE,2016,NEU_FOR,0.9
DE,2017,EU_FOR,0.8
DE,2017,NAT,0.5
DE,2017,NEU_FOR,0.9
DE,2018,EU_FOR,0.5
DE,2018,NAT,0.4
DE,2018,NEU_FOR,1.1
DE,2019,EU_FOR,0.3
DE,2019,NAT,0.3
DE,2019,NEU_FOR,1.3
DE,2020,EU_FOR,1.5
DE,2020,NAT,0.3
DE,2020,NEU_FOR,0.9
DE,2021,EU_FOR,0.5
DE,2021,NAT,0.3
DE,2021,NEU_FOR,1.0
DE,2022,EU_FOR,0.9
DE,2022,NAT,0.5
DE,2022,NEU_FOR,1.2
DE,2023,EU_FOR,0.4
DE,2023,NAT,0.3
DE,2023,NEU_FOR,0.7
DE,2024,EU_FOR,0.7
DE,2024,NAT,0.4
DE,2024,NEU_FOR,0.8
DE,2025,EU_FOR,0.6
DE,2025,NAT,0.4
DE,2025,NEU_FOR,0.9
DK,2008,NAT,1.3
DK,2009,EU_FOR,2.9
DK,2009,NAT,2.4
