geo,year,unmet_need_pc,status
AL,2017,13.1,
AL,2018,14.8,
AL,2019,14.6,
AL,2020,10.6,
AL,2021,10.7,
AL,2022,10.2,
AL,2023,10.3,
AT,2008,0.7,
AT,2009,0.5,
AT,2010,0.6,
AT,2011,0.4,
AT,2012,0.3,
AT,2013,0.4,
AT,2014,0.1,
AT,2015,0.1,
AT,2016,0.2,
AT,2017,0.2,
AT,2018,0.1,
AT,2019,0.3,
AT,2020,0.1,
AT,2021,0.3,
AT,2022,0.5,
AT,2023,0.6,
AT,2024,1.0,
AT,2025,0.9,
BE,2008,0.5,
BE,2009,0.6,
BE,2010,0.4,
BE,2011,1.5,
BE,2012,1.7,
BE,2013,1.9,
BE,2014,2.5,
BE,2015,2.4,
BE,2016,2.5,
BE,2017,2.2,
BE,2018,1.8,
BE,2019,1.8,b
BE,2020,1.5,
BE,2021,1.7,
BE,2022,1.0,
BE,2023,1.1,
BE,2024,1.4,
BE,2025,0.9,
BG,2008,15.3,
BG,2009,10.3,
BG,2010,10.5,
BG,2011,9.8,
BG,2012,8.3,
BG,2013,8.9,
BG,2014,5.6,
BG,2015,4.7,
BG,2016,2.8,
BG,2017,2.1,
BG,2018,1.9,
BG,2019,1.4,
BG,2020,1.4,
BG,2021,1.0,
BG,2022,1.0,
BG,2023,1.1,
BG,2024,1.1,
BG,2025,1.0,
CH,2008,1.0,
CH,2009,1.0,
CH,2010,1.1,
CH,2011,0.8,
CH,2012,1.0,
CH,2013,1.2,
CH,2014,1.3,
CH,2015,0.5,
CH,2016,0.5,
CH,2017,0.4,
CH,2018,0.7,
CH,2019,0.7,
CH,2020,0.5,
CH,2021,0.5,
CH,2022,0.8,
CH,2023,1.3,
CH,2024,1.4,
CY,2008,2.8,
CY,2009,3.4,
CY,2010,4.1,
CY,2011,4.4,
CY,2012,3.5,
CY,2013,4.4,
CY,2014,4.7,
CY,2015,1.5,
CY,2016,0.6,
CY,2017,1.5,
CY,2018,1.4,
CY,2019,1.0,
CY,2020,0.4,
CY,2021,0.2,
CY,2022,0.2,
CY,2023,0.1,
CY,2024,0.1,
CY,2025,0.1,
CZ,2008,0.7,
CZ,2009,0.6,
CZ,2010,1.0,
CZ,2011,1.1,
CZ,2012,1.0,
CZ,2013,1.0,
CZ,2014,1.1,
CZ,2015,0.8,
CZ,2016,0.7,
CZ,2017,0.5,
CZ,2018,0.3,
CZ,2019,0.5,
CZ,2020,0.4,
CZ,2021,0.3,
CZ,2022,0.2,
CZ,2023,0.4,
CZ,2024,0.5,
CZ,2025,0.3,
DE,2008,2.2,
DE,2009,2.1,
DE,2010,1.8,
DE,2011,1.7,
DE,2012,1.6,
DE,2013,1.6,
DE,2014,1.6,
DE,2015,0.5,
DE,2016,0.3,
DE,2017,0.3,
DE,2018,0.2,
DE,2019,0.3,
DE,2020,0.1,b
DE,2021,0.1,
DE,2022,0.3,
DE,2023,0.2,e
DE,2024,0.8,
DE,2025,1.0,
DK,2008,0.6,
DK,2009,1.5,
DK,2010,1.1,
DK,2011,0.9,
DK,2012,1.3,
DK,2013,1.3,
DK,2014,1.4,
DK,2015,1.3,
DK,2016,1.3,
DK,2017,1.0,
DK,2018,1.3,
DK,2019,1.8,
DK,2020,1.7,
DK,2021,1.3,
DK,2022,2.1,
DK,2023,2.7,
DK,2024,3.1,
DK,2025,2.9,
EE,2008,7.3,
EE,2009,4.3,
EE,2010,4.8,
EE,2011,7.3,
EE,2012,8.3,
EE,2013,8.4,
EE,2014,11.3,
EE,2015,12.7,
EE,2016,15.3,
EE,2017,11.8,
EE,2018,16.4,
EE,2019,15.5,
EE,2020,13.0,
EE,2021,8.1,
EE,2022,9.1,
EE,2023,12.9,
EE,2024,8.5,
EE,2025,7.7,
EL,2008,5.4,
EL,2009,5.5,
EL,2010,5.5,
EL,2011,7.5,
EL,2012,8.0,
EL,2013,9.0,
EL,2014,10.9,
EL,2015,12.3,
EL,2016,13.1,
EL,2017,10.0,
EL,2018,8.8,
EL,2019,8.1,
EL,2020,6.5,
EL,2021,6.4,
EL,2022,9.0,
EL,2023,11.6,
EL,2024,12.1,
EL,2025,11.5,
ES,2008,0.4,
ES,2009,0.5,
ES,2010,0.3,
ES,2011,0.6,
ES,2012,0.7,
ES,2013,0.8,
ES,2014,0.6,
ES,2015,0.6,
ES,2016,0.5,
ES,2017,0.1,
ES,2018,0.2,
ES,2019,0.2,
ES,2020,0.4,
ES,2021,1.1,
ES,2022,1.2,
ES,2023,1.8,
ES,2024,1.8,
ES,2025,1.6,
FI,2008,0.8,
FI,2009,3.7,
FI,2010,3.9,
FI,2011,4.4,
FI,2012,4.6,
FI,2013,4.3,
FI,2014,3.3,
FI,2015,4.3,
FI,2016,4.1,
FI,2017,3.6,
FI,2018,4.7,
FI,2019,4.6,
FI,2020,5.4,
FI,2021,4.4,
FI,2022,6.5,
FI,2023,7.9,
FI,2024,8.5,
FI,2025,7.8,
FR,2008,1.9,
FR,2009,1.9,
FR,2010,1.9,
FR,2011,2.3,
FR,2012,2.2,
FR,2013,2.6,
FR,2014,2.8,
FR,2015,1.2,
FR,2016,1.3,
FR,2017,1.0,
FR,2018,1.2,
FR,2019,1.2,
FR,2020,2.7,b
FR,2021,2.8,
FR,2022,3.2,b
FR,2023,3.7,
FR,2024,4.1,
FR,2025,3.7,
HR,2010,6.3,
HR,2011,5.1,
HR,2012,3.5,
HR,2013,3.3,
HR,2014,3.3,
HR,2015,1.9,
HR,2016,1.7,
HR,2017,1.6,
HR,2018,1.4,
HR,2019,1.4,
HR,2020,1.5,
HR,2021,1.7,
HR,2022,1.3,
HR,2023,1.0,b
HR,2024,1.3,
HR,2025,1.4,
HU,2008,3.4,
HU,2009,2.1,
HU,2010,1.7,
HU,2011,2.7,
HU,2012,2.9,
HU,2013,2.6,
HU,2014,2.5,
HU,2015,2.6,
HU,2016,1.3,
HU,2017,1.0,
HU,2018,0.8,
HU,2019,1.0,b
HU,2020,0.7,
HU,2021,1.1,
HU,2022,1.4,
HU,2023,1.0,
HU,2024,1.0,
HU,2025,1.4,
IE,2008,1.8,
IE,2009,2.0,
IE,2010,2.1,
IE,2011,2.2,
IE,2012,3.4,
IE,2013,3.3,
IE,2014,3.7,
IE,2015,2.7,
IE,2016,2.5,
IE,2017,2.8,
IE,2018,2.0,
IE,2019,2.0,b
IE,2020,1.8,b
IE,2021,2.1,
IE,2022,2.7,
IE,2023,2.7,
IE,2024,2.9,
IE,2025,2.7,
IS,2008,1.7,
IS,2009,2.2,
IS,2010,3.1,
IS,2011,3.8,
IS,2012,4.2,
IS,2013,3.6,
IS,2014,4.4,
IS,2015,4.3,
IS,2016,2.9,
IS,2017,3.5,
IS,2018,3.4,
IS,2019,5.2,
IS,2020,2.8,
IT,2008,5.2,
IT,2009,5.4,
IT,2010,5.2,
IT,2011,5.9,
IT,2012,5.7,
IT,2013,7.0,
IT,2014,7.0,
IT,2015,7.2,
IT,2016,5.5,
IT,2017,1.8,
IT,2018,2.4,
IT,2019,1.8,
IT,2021,1.8,
IT,2022,1.8,
IT,2023,1.8,
IT,2024,1.9,
IT,2025,2.5,
LT,2008,5.7,
LT,2009,3.1,
LT,2010,2.6,
LT,2011,2.8,
LT,2012,2.3,
LT,2013,3.2,
LT,2014,3.7,
LT,2015,2.9,
LT,2016,3.1,
LT,2017,1.5,
LT,2018,2.2,
LT,2019,1.4,
LT,2020,1.7,
LT,2021,2.4,
LT,2022,2.9,
LT,2023,3.8,
LT,2024,4.3,p
LT,2025,3.3,p
LU,2008,0.6,
LU,2009,0.6,
LU,2010,0.6,
LU,2011,0.6,
LU,2012,0.7,
LU,2013,0.9,
LU,2014,0.8,
LU,2015,0.9,
LU,2016,0.4,
LU,2017,0.3,
LU,2018,0.3,
LU,2019,0.2,
LU,2020,0.1,b
LU,2021,1.0,b
LU,2022,0.5,b
LU,2023,0.8,
LU,2024,1.0,
LU,2025,1.1,b
LV,2008,9.9,
LV,2009,9.9,
LV,2010,15.1,
LV,2011,16.1,
LV,2012,12.4,
LV,2013,13.8,
LV,2014,12.5,
LV,2015,8.4,
LV,2016,8.2,
LV,2017,6.2,
LV,2018,6.2,
LV,2019,4.3,
LV,2020,5.3,
LV,2021,4.0,
LV,2022,5.4,
LV,2023,7.8,
LV,2024,8.4,
LV,2025,7.6,
ME,2013,11.3,
ME,2014,8.3,
ME,2015,4.4,
ME,2016,2.7,
ME,2017,2.7,
ME,2018,2.3,
ME,2019,3.1,
ME,2020,2.1,
ME,2021,1.6,
ME,2022,2.6,
ME,2023,1.9,
