geo,year,unmet_need_pc_08b,status_08b
AL,2021,13.7,
AL,2022,13.5,
AL,2023,13.8,
AT,2021,0.6,
AT,2022,1.1,
AT,2023,1.2,
AT,2024,2.0,
AT,2025,1.8,
BE,2021,2.1,
BE,2022,1.2,
BE,2023,1.2,
BE,2024,1.6,
BE,2025,1.0,
BG,2021,1.6,
BG,2022,1.6,
BG,2023,1.5,
BG,2024,1.5,
BG,2025,1.4,
CH,2021,0.9,
CH,2022,1.4,
CH,2023,2.2,
CH,2024,2.3,
CY,2021,0.2,
CY,2022,0.2,
CY,2023,0.1,
CY,2024,0.1,
CY,2025,0.1,
CZ,2021,0.4,
CZ,2022,0.3,
CZ,2023,0.5,
CZ,2024,0.6,
CZ,2025,0.4,
DE,2021,0.2,
DE,2022,0.4,
DE,2023,0.3,
DE,2024,1.2,
DE,2025,1.6,
DK,2024,3.9,
DK,2025,3.6,
EE,2024,11.2,
EE,2025,10.1,
EL,2021,12.5,
EL,2022,16.7,
EL,2023,20.9,
EL,2024,21.9,
EL,2025,20.0,
ES,2021,1.9,
ES,2022,1.9,
ES,2023,2.7,
ES,2024,2.6,
ES,2025,2.3,
FI,2021,6.6,
FI,2022,9.6,
FI,2023,11.6,
FI,2024,12.4,
FI,2025,11.3,
FR,2021,3.2,
FR,2022,3.7,b
FR,2023,4.1,
FR,2024,4.5,
FR,2025,4.2,
HR,2021,2.8,
HR,2022,2.1,
HR,2023,1.6,
HR,2024,2.0,
HR,2025,2.1,
HU,2021,2.1,
HU,2022,2.2,
HU,2023,1.6,
HU,2024,1.4,
HU,2025,2.1,
IE,2021,5.0,
IE,2022,5.6,
IE,2023,4.8,
IE,2024,5.0,
IE,2025,5.1,
IT,2021,4.5,
IT,2022,3.7,
IT,2023,3.7,
IT,2024,3.8,
IT,2025,4.5,
LT,2021,3.6,
LT,2022,3.9,
LT,2023,5.0,
LT,2024,5.6,p
LT,2025,4.2,p
LU,2021,1.4,b
LU,2022,1.0,
LU,2023,1.6,
LU,2024,1.9,
LU,2025,1.9,b
LV,2021,5.5,
LV,2022,7.1,
LV,2023,10.1,
LV,2024,10.7,
LV,2025,9.9,
ME,2021,3.5,
ME,2022,5.0,
ME,2023,4.8,
MK,2021,2.5,b
MK,2022,4.7,
MK,2023,4.8,
MK,2024,4.1,
MT,2021,0.3,
MT,2022,0.7,
MT,2023,0.2,
MT,2024,0.5,
MT,2025,0.2,
NL,2021,0.7,
NL,2022,0.8,
NL,2023,0.9,
NL,2024,1.6,
NL,2025,1.6,
NO,2022,1.4,
NO,2023,2.1,
NO,2024,1.8,
NO,2025,2.2,
PL,2021,4.2,
PL,2022,3.5,
PL,2023,5.3,
PL,2024,5.2,
PL,2025,4.1,
PT,2021,4.3,
PT,2022,4.6,
PT,2023,4.5,
PT,2024,4.0,
PT,2025,4.0,
RO,2021,6.2,
RO,2022,7.9,
RO,2023,7.3,
RO,2024,6.0,
RO,2025,6.9,
RS,2021,10.6,
RS,2022,6.0,
RS,2023,8.8,
RS,2024,11.7,
RS,2025,5.0,
SE,2021,2.3,
SE,2022,3.1,
SE,2023,3.8,
SE,2024,3.9,
SE,2025,3.6,
SI,2021,7.9,
SI,2022,5.6,
SI,2023,5.2,
SI,2024,4.6,
SI,2025,4.3,
SK,2024,2.6,
SK,2025,1.8,
TR,2021,2.7,
TR,2022,2.2,
TR,2023,1.4,
TR,2024,1.3,
TR,2025,0.8,
