geo,year,hospital_beds_per_100k
AL,2009,300.77
AL,2010,298.93
AL,2011,288.24
AL,2012,288.44
AL,2013,288.97
AT,2008,722.65
AT,2009,723.23
AT,2010,722.54
AT,2011,727.15
AT,2012,730.25
AT,2013,731.76
AT,2014,731.65
AT,2015,735.29
AT,2016,731.91
AT,2017,731.53
AT,2018,725.66
AT,2019,718.9
AT,2020,705.1
AT,2021,691.47
AT,2022,671.75
AT,2023,660.4
BE,2008,584.22
BE,2009,579.83
BE,2010,581.77
BE,2011,582.99
BE,2012,580.31
BE,2013,577.43
BE,2014,572.56
BE,2015,573.99
BE,2016,570.15
BE,2017,562.38
BE,2018,560.85
BE,2019,556.72
BE,2020,553.33
BE,2021,549.22
BE,2022,544.27
BE,2023,539.11
BE,2024,537.73
BG,2008,742.88
BG,2009,750.9
BG,2010,734.28
BG,2011,711.13
BG,2012,724.89
BG,2013,743.11
BG,2014,772.86
BG,2015,779.29
BG,2016,777.53
BG,2017,791.46
BG,2018,797.89
BG,2019,816.07
BG,2020,827.64
BG,2021,837.38
BG,2022,846.19
BG,2023,864.39
CH,2008,466.4
CH,2009,462.6
CH,2010,475.6
CH,2011,467.4
CH,2012,465.6
CH,2013,459.15
CH,2014,453.67
CH,2015,458.49
CH,2016,459.41
CH,2017,460.29
CH,2018,461.13
CH,2019,459.34
CH,2020,448.07
CH,2021,443.35
CH,2022,442.07
CH,2023,436.64
CY,2008,334.42
CY,2009,341.5
CY,2010,332.29
CY,2011,335.66
CY,2012,335.88
CY,2013,330.04
CY,2014,327.12
CY,2015,325.21
CY,2016,327.79
CY,2017,318.25
CY,2018,311.06
CY,2019,306.48
CY,2020,314.27
CY,2021,311.21
CY,2022,308.23
CY,2023,298.21
CZ,2008,703.52
CZ,2009,700.55
CZ,2010,721.74
CZ,2011,700.39
CZ,2012,688.24
CZ,2013,665.95
CZ,2014,664.22
CZ,2015,664.74
CZ,2016,665.77
CZ,2017,663.84
CZ,2018,664.87
CZ,2019,662.59
CZ,2020,660.63
CZ,2021,666.58
CZ,2022,654.24
CZ,2023,640.65
DE,2008,812.37
DE,2009,812.86
DE,2010,812.43
DE,2011,810.14
DE,2012,807.58
DE,2013,804.1
DE,2014,802.63
DE,2015,800.25
DE,2016,799.74
DE,2017,796.74
DE,2018,797.26
DE,2019,791.48
DE,2020,781.82
DE,2021,776.02
DE,2022,771.97
DE,2023,766.45
DK,2008,331.88
DK,2009,327.16
DK,2010,328.26
DK,2011,294.26
DK,2013,290.51
DK,2016,249.07
DK,2017,251.82
DK,2018,253.41
DK,2019,248.97
DK,2020,248.4
DK,2021,240.94
DK,2022,237.5
DK,2023,232.81
DK,2024,222.5
EE,2008,568.38
EE,2009,540.9
EE,2010,530.03
EE,2011,536.98
EE,2012,551.7
EE,2013,487.76
EE,2014,486.03
EE,2015,478.71
EE,2016,465.42
EE,2017,458.02
EE,2018,452.51
EE,2019,453.01
EE,2020,446.33
EE,2021,439.47
EE,2022,419.1
EE,2023,411.59
EL,2008,500.27
EL,2009,510.08
EL,2010,464.61
EL,2011,463.35
EL,2012,457.83
EL,2013,433.68
EL,2014,430.41
EL,2015,428.41
EL,2016,422.14
EL,2017,422.09
EL,2018,420.09
EL,2019,415.22
EL,2020,419.88
EL,2021,423.82
EL,2022,426.07
EL,2023,424.06
ES,2008,313.17
ES,2009,311.84
ES,2010,309.48
ES,2011,304.01
ES,2012,298.09
ES,2013,294.45
ES,2014,293.86
ES,2015,294.05
ES,2016,293.84
ES,2017,295.36
ES,2018,296.39
ES,2019,294.71
ES,2020,295.56
ES,2021,295.92
ES,2022,294.13
ES,2023,288.06
FI,2008,632.48
FI,2009,604.94
FI,2010,569.38
FI,2011,539.53
FI,2012,518.78
FI,2013,479.31
FI,2014,448.68
FI,2015,425.32
FI,2016,395.31
FI,2017,374.78
FI,2018,356.4
FI,2019,339.29
FI,2020,274.69
FI,2021,278.94
FI,2022,261.51
FI,2023,259.51
FR,2008,658.35
FR,2009,638.54
FR,2010,619.27
FR,2011,615.55
FR,2012,616.49
FR,2013,613.44
FR,2014,610.26
FR,2015,606.14
FR,2016,600.24
FR,2017,593.33
FR,2018,587.48
FR,2019,579.83
FR,2020,570.96
FR,2021,560.46
FR,2022,548.33
FR,2023,540.22
HR,2008,611.84
HR,2009,599.85
HR,2010,625.67
HR,2011,642.2
HR,2012,633.18
HR,2013,628.24
HR,2014,630.41
HR,2015,589.84
HR,2016,577.45
HR,2017,576.46
HR,2018,578.53
HR,2019,583.13
HR,2020,585.78
HR,2021,578.03
HR,2022,583.78
HR,2023,565.45
HU,2008,735.26
HU,2009,738.12
HU,2010,740.37
HU,2011,738.83
HU,2012,715.95
HU,2013,717.72
HU,2014,710.39
HU,2015,709.7
HU,2016,708.36
HU,2017,708.25
HU,2018,700.46
HU,2019,696.19
HU,2020,681.31
HU,2021,684.12
HU,2022,668.04
HU,2023,650.85
IE,2009,259.36
