geo,year,oop_health_expenditure_share_pc
AT,2008,18.81
AT,2009,18.6
AT,2010,19.24
AT,2011,19.31
AT,2012,19.14
AT,2013,19.6
AT,2014,19.61
AT,2015,19.85
AT,2016,20.05
AT,2017,20.11
AT,2018,19.29
AT,2019,18.76
AT,2020,17.17
AT,2021,16.03
AT,2022,16.29
AT,2023,16.48
AT,2024,16.46
BA,2013,29.07
BA,2014,28.92
BA,2015,28.8
BA,2016,28.61
BA,2017,29.12
BA,2018,29.31
BA,2019,29.35
BA,2020,28.86
BA,2021,30.71
BA,2022,30.88
BA,2023,30.96
BE,2008,19.95
BE,2009,21.65
BE,2010,21.37
BE,2011,20.56
BE,2012,20.43
BE,2013,20.55
BE,2014,20.01
BE,2015,19.44
BE,2016,18.94
BE,2017,19.13
BE,2018,19.37
BE,2019,20.6
BE,2020,19.3
BE,2021,20.34
BE,2022,21.41
BE,2023,21.51
BG,2011,44.46
BG,2012,47.74
BG,2013,41.86
BG,2014,40.24
BG,2015,42.51
BG,2016,43.25
BG,2017,42.19
BG,2018,39.33
BG,2019,37.8
BG,2020,35.53
BG,2021,33.73
BG,2022,35.08
BG,2023,35.5
CH,2010,24.07
CH,2011,23.56
CH,2012,23.35
CH,2013,22.77
CH,2014,22.61
CH,2015,22.05
CH,2016,21.27
CH,2017,21.56
CH,2018,21.84
CH,2019,21.84
CH,2020,20.72
CH,2021,21.36
CH,2022,21.74
CH,2023,22.03
CH,2024,21.61
CY,2010,43.11
CY,2011,41.37
CY,2012,42.37
CY,2013,42.6
CY,2014,45.11
CY,2015,43.62
CY,2016,44.61
CY,2017,44.76
CY,2018,44.36
CY,2019,33.73
CY,2020,21.37
CY,2021,16.23
CY,2022,18.04
CY,2023,17.94
CZ,2010,13.85
CZ,2011,14.21
CZ,2012,14.22
CZ,2013,14.33
CZ,2014,14.46
CZ,2015,14.51
CZ,2016,14.29
CZ,2017,14.14
CZ,2018,14.16
CZ,2019,14.31
CZ,2020,11.08
CZ,2021,12.48
CZ,2022,14.29
CZ,2023,14.6
CZ,2024,14.06
DE,2008,13.46
DE,2009,13.26
DE,2010,13.3
DE,2011,13.32
DE,2012,13.49
DE,2013,12.69
DE,2014,12.35
DE,2015,12.35
DE,2016,12.19
DE,2017,12.02
DE,2018,12.18
DE,2019,12.38
DE,2020,11.34
DE,2021,11.36
DE,2022,10.43
DE,2023,11.05
DE,2024,10.71
DK,2010,13.71
DK,2011,13.9
DK,2012,13.51
DK,2013,13.35
DK,2014,13.34
DK,2015,13.46
DK,2016,13.52
DK,2017,13.69
DK,2018,13.82
DK,2019,13.79
DK,2020,13.38
DK,2021,13.3
DK,2022,13.19
DK,2023,13.98
DK,2024,13.87
EE,2008,21.39
EE,2009,21.23
EE,2010,22.81
EE,2011,22.53
EE,2012,22.54
EE,2013,23.61
EE,2014,23.52
EE,2015,23.72
