geo,year,physicians_per_100k
AT,2008,430.74
AT,2009,439.74
AT,2010,450.76
AT,2011,456.63
AT,2012,463.68
AT,2013,475.24
AT,2014,484.14
AT,2015,494.14
AT,2016,503.72
AT,2017,512.1
AT,2018,520.56
AT,2019,529.14
AT,2020,531.82
AT,2021,540.91
AT,2022,544.6
AT,2023,551.44
AT,2024,564.69
BE,2008,273.06
BE,2009,275.66
BE,2010,277.73
BE,2011,280.93
BE,2012,284.43
BE,2013,288.06
BE,2014,291.15
BE,2015,296.97
BE,2016,304.08
BE,2017,306.13
BE,2018,312.18
BE,2019,316.33
BE,2020,321.43
BE,2021,324.78
BE,2022,326.36
BE,2023,337.21
BG,2008,411.96
BG,2009,419.44
BG,2010,418.19
BG,2011,424.97
BG,2012,424.73
BG,2013,430.89
BG,2014,431.16
BG,2015,435.19
BG,2016,439.23
BG,2017,444.26
BG,2018,444.54
BG,2019,446.58
BG,2020,452.72
BG,2021,454.0
BG,2022,456.88
BG,2023,462.97
CH,2008,341.67
CH,2009,347.36
CH,2010,348.8
CH,2011,354.93
CH,2012,366.47
CH,2013,382.48
CH,2014,395.4
CH,2015,406.83
CH,2016,416.55
CH,2017,425.11
CH,2018,432.32
CH,2019,434.97
CH,2020,438.88
CH,2021,443.6
CH,2022,448.46
CH,2023,454.95
CY,2008,246.01
CY,2009,255.0
CY,2010,269.49
CY,2011,284.1
CY,2012,292.75
CY,2013,309.37
CY,2014,323.52
CY,2015,342.17
CY,2016,360.48
CY,2017,373.51
CY,2018,398.12
CY,2019,420.39
CY,2020,462.96
CY,2021,490.81
CY,2022,510.85
CY,2023,534.5
CZ,2008,346.68
CZ,2009,350.72
CZ,2010,353.63
CZ,2011,358.42
CZ,2012,362.67
CZ,2013,364.1
CZ,2018,403.0
CZ,2019,406.67
CZ,2020,413.52
CZ,2021,425.59
CZ,2022,422.17
CZ,2023,421.76
DE,2008,350.19
DE,2009,357.03
DE,2010,365.75
DE,2011,374.88
DE,2012,382.31
DE,2013,391.97
DE,2014,400.74
DE,2015,407.29
DE,2016,415.27
DE,2017,423.03
DE,2018,430.5
DE,2019,439.39
DE,2020,446.79
DE,2021,452.97
DE,2022,458.35
DE,2023,466.27
DK,2008,338.66
DK,2009,347.29
DK,2010,355.99
DK,2011,363.53
DK,2012,369.54
DK,2013,372.21
DK,2014,376.88
DK,2015,384.73
DK,2016,394.52
DK,2017,408.04
DK,2018,418.66
DK,2019,425.13
DK,2020,437.66
DK,2021,449.81
