geo,year,population_total,status
AD,2008,83137,
AD,2009,84484,
AD,2010,84082,
AD,2011,78115,
AD,2012,78115,
AD,2013,76246,
AD,2019,76177,
AL,2008,2958266,
AL,2009,2936355,
AL,2010,2918674,
AL,2011,2907361,
AL,2012,2903008,
AL,2013,2897770,
AL,2014,2892394,
AL,2015,2885796,
AL,2016,2875592,
AL,2017,2876591,
AL,2018,2870324,
AL,2019,2862427,
AL,2020,2845955,
AL,2021,2829741,
AL,2022,2793592,
AL,2023,2761785,
AL,2025,2363314,
AM,2008,3230086,
AM,2009,3237976,
AM,2010,3249482,
AM,2011,3262650,
AM,2012,3274285,
AM,2015,3010598,
AM,2016,2998577,
AM,2017,2986151,
AM,2018,2972732,
AM,2019,2965269,
AM,2020,2959694,
AM,2021,2963251,
AM,2023,2977130,
AM,2024,2991201,
AT,2008,8307989,
AT,2009,8335003,
AT,2010,8351643,
AT,2011,8375164,
AT,2012,8408121,
AT,2013,8451860,
AT,2014,8507786,
AT,2015,8584926,
AT,2016,8700471,
AT,2017,8772865,
AT,2018,8822267,
AT,2019,8858775,
AT,2020,8901064,
AT,2021,8932664,
AT,2022,8978929,
AT,2023,9104772,
AT,2024,9158750,
AT,2025,9197213,
AZ,2008,8629900,
AZ,2009,8896900,
AZ,2010,8997586,
AZ,2011,9111078,
AZ,2012,9235085,
AZ,2013,9356483,
AZ,2014,9477119,
AZ,2015,9593038,
AZ,2016,9705643,
AZ,2017,9809981,
AZ,2018,9898085,
AZ,2019,9981457,
AZ,2020,10067108,
AZ,2021,10119133,
AZ,2022,10156366,
AZ,2023,10127145,
AZ,2024,10180770,
AZ,2025,10224889,
BA,2008,3843846,
BA,2009,3843998,
BA,2010,3844046,
BA,2011,3843183,
BA,2012,3839265,
BE,2008,10666866,
BE,2009,10753080,
BE,2010,10839905,
BE,2011,11000638,b
BE,2012,11075889,b
BE,2013,11137974,
BE,2014,11180840,
BE,2015,11237274,
BE,2016,11311117,
BE,2017,11351727,
BE,2018,11398589,
BE,2019,11455519,
BE,2020,11522440,
BE,2021,11554767,
BE,2022,11617623,
BE,2023,11742796,
BE,2024,11817096,
BE,2025,11883495,
BG,2008,7518002,
BG,2009,7467119,
BG,2010,7421766,
BG,2011,7369431,
BG,2012,7327224,
BG,2013,7202556,
BG,2014,7117453,
BG,2015,7029690,
BG,2016,6938759,
BG,2017,6849518,
BG,2018,6757418,
BG,2019,6664177,
BG,2020,6569275,
BG,2021,6532117,
BG,2022,6482484,
BG,2023,6447710,
BG,2024,6445481,
BG,2025,6437360,
BY,2008,9689770,
BY,2009,9671912,
BY,2010,9480178,
BY,2011,9481193,
BY,2012,9465150,
BY,2013,9463840,
BY,2014,9468154,
BY,2015,9480868,
BY,2016,9498364,
BY,2017,9504704,
BY,2018,9491823,
BY,2019,9475174,
CH,2008,7593494,
CH,2009,7701856,
CH,2010,7785806,
CH,2011,7870134,b
CH,2012,7954662,
CH,2013,8039060,
CH,2014,8139631,
CH,2015,8237666,
CH,2016,8327126,
CH,2017,8419550,
CH,2018,8484130,
CH,2019,8544527,
CH,2020,8606033,
CH,2021,8670300,
CH,2022,8738791,
CH,2023,8815385,
CH,2024,8962258,
CH,2025,9051029,
CY,2008,776333,
CY,2009,796930,
CY,2010,819140,
CY,2011,839751,
CY,2012,862011,
CY,2013,862854,
CY,2014,860032,
CY,2015,860846,
CY,2016,863764,
CY,2017,869878,
CY,2018,878601,
CY,2019,890194,
CY,2020,902429,
CY,2021,914476,
CY,2022,929764,
CY,2023,949084,
CY,2024,966365,
CY,2025,982966,
CZ,2008,10343422,
CZ,2009,10425783,
CZ,2010,10462088,
CZ,2011,10486731,
CZ,2012,10505445,
CZ,2013,10516125,
CZ,2014,10512419,
CZ,2015,10538275,
CZ,2016,10553843,
CZ,2017,10578820,
CZ,2018,10610055,
CZ,2019,10649800,
CZ,2020,10693939,
CZ,2021,10494836,b
CZ,2022,10516707,
CZ,2023,10827529,
CZ,2024,10900555,
CZ,2025,10909500,
DE,2008,82217837,
DE,2009,82002356,
DE,2010,81802257,
DE,2011,80222065,b
DE,2012,80327900,
DE,2013,80523746,
DE,2014,80767463,
DE,2015,81197537,
DE,2016,82175684,
DE,2017,82521653,
DE,2018,82792351,
DE,2019,83019213,
DE,2020,83166711,
DE,2021,83155031,
DE,2022,83237124,
DE,2023,83118501,b
DE,2024,83456045,
DE,2025,83577140,
DK,2008,5475791,
DK,2009,5511451,
DK,2010,5534738,
DK,2011,5560628,
DK,2012,5580516,
DK,2013,5602628,
DK,2014,5627235,
DK,2015,5659715,
DK,2016,5707251,
DK,2017,5748769,
DK,2018,5781190,
DK,2019,5806081,
DK,2020,5822763,
DK,2021,5840045,
DK,2022,5873420,
DK,2023,5932654,
DK,2024,5961249,
DK,2025,5992734,
EE,2008,1338440,
EE,2009,1335740,
EE,2010,1333290,
EE,2011,1329660,
EE,2012,1325217,
EE,2014,1315819,
EE,2015,1313271,
EE,2016,1315944,
EE,2017,1315635,
EE,2018,1319133,
EE,2019,1324820,
EE,2020,1328889,
EE,2021,1330068,
EE,2022,1331796,
EE,2023,1365884,
EE,2024,1374687,
EE,2025,1369995,
EL,2008,11060937,
EL,2009,11094745,
EL,2010,11119289,
EL,2011,11123392,
EL,2012,11072725,
EL,2013,10980006,
EL,2014,10894294,
EL,2015,10818041,
EL,2016,10735415,
EL,2017,10707527,
EL,2018,10667336,
EL,2019,10635213,
EL,2020,10612591,
EL,2021,10555344,
EL,2022,10461627,
EL,2023,10401868,
EL,2024,10375764,
EL,2025,10372335,
ES,2008,45668939,
ES,2009,46239273,
ES,2010,46486619,
ES,2011,46667174,
ES,2012,46818219,
ES,2013,46712650,
ES,2014,46495744,
ES,2015,46425722,
ES,2016,46418884,
ES,2017,46497393,
ES,2018,46645070,
ES,2019,46918951,
ES,2020,47318050,
ES,2021,47400798,
ES,2022,47486843,
ES,2023,48085361,
ES,2024,48619695,
ES,2025,49128297,
FI,2008,5300484,
FI,2009,5326314,
FI,2010,5351427,
FI,2011,5375276,
FI,2012,5401267,
FI,2013,5426674,
FI,2014,5451270,
FI,2015,5471753,
FI,2016,5487308,
FI,2017,5503297,
FI,2018,5513130,
FI,2019,5517919,
FI,2020,5525292,
FI,2021,5533793,
FI,2022,5548241,
FI,2023,5563970,
FI,2024,5603851,
FI,2025,5635971,
FR,2008,64007193,
FR,2009,64350226,
FR,2010,64658856,
FR,2011,64978721,
FR,2012,65276983,b
FR,2013,65600350,
FR,2014,66165980,b
FR,2015,66458153,
FR,2016,66638391,
FR,2017,66809816,
FR,2018,67026224,p
FR,2019,67290471,
FR,2020,67473651,
FR,2021,67728568,
FR,2022,68091703,
FR,2023,68277210,p
FR,2024,68669303,p
FR,2025,68882600,p
FX,2008,62134866,
FX,2009,62465709,
FX,2010,62765235,
FX,2011,63070344,
FX,2012,63375971,
FX,2013,63697865,
GE,2008,4382070,
GE,2009,4385429,
GE,2010,4436391,
GE,2011,4469250,
GE,2012,4497617,
GE,2014,4490498,
GE,2015,3729500,b
GE,2016,3720400,
GE,2017,3718200,
GE,2018,3729633,
GE,2019,3723464,
GE,2020,3716858,
GE,2021,3728573,
GE,2022,3688647,
GE,2023,3736357,
GE,2024,3694608,
GE,2025,3704506,
HR,2008,4311967,
HR,2009,4309796,
HR,2010,4302847,
HR,2011,4289857,
HR,2012,4275984,
HR,2013,4247803,
HR,2014,4217632,
HR,2015,4180915,
HR,2016,4131115,
HR,2017,4078769,
HR,2018,4014341,
HR,2019,3968676,
HR,2020,3933511,
HR,2021,3893026,
HR,2022,3862305,
HR,2023,3850894,
HR,2024,3861967,
HR,2025,3874350,
HU,2008,10045401,
HU,2009,10030975,
HU,2010,10014324,
HU,2011,9985722,
HU,2012,9931925,b
HU,2013,9895250,
HU,2014,9850217,
HU,2015,9815858,
HU,2016,9779652,
HU,2017,9739857,
HU,2018,9713655,
HU,2019,9700272,
HU,2020,9689376,
HU,2021,9651461,
HU,2022,9610403,
HU,2023,9599744,
HU,2024,9584627,
HU,2025,9539502,
IE,2008,4457765,
IE,2009,4521322,
IE,2010,4549428,
IE,2011,4570881,
IE,2012,4589287,
IE,2013,4609779,
IE,2014,4637852,
IE,2015,4677627,
IE,2016,4726286,
IE,2017,4799157,
IE,2018,4855733,
IE,2019,4940311,
IE,2020,5012600,
IE,2021,5066893,
IE,2022,5154277,
IE,2023,5271395,
IE,2024,5351681,
IE,2025,5440278,
IS,2008,315459,
IS,2009,319368,
IS,2010,317630,
IS,2011,318452,
IS,2012,319575,
IS,2013,321857,
IS,2014,325671,
IS,2015,329100,
IS,2016,332529,
IS,2017,338349,
IS,2018,348450,
IS,2019,356991,
IS,2020,364134,
IS,2021,368792,
IS,2022,376248,
IS,2023,387758,
IS,2024,383567,
IS,2025,389444,
IT,2008,59001769,
IT,2009,59420592,
IT,2010,59690316,
IT,2011,59948497,
IT,2012,60105185,
IT,2013,60277309,
IT,2014,60345917,
IT,2015,60295497,
IT,2016,60163712,
IT,2017,60066734,
IT,2018,59937769,
IT,2019,59816673,b
IT,2020,59641488,
IT,2021,59236213,
IT,2022,59030133,
IT,2023,58997201,
IT,2024,58971230,
IT,2025,58943464,
LI,2008,35356,
LI,2009,35589,
LI,2010,35894,
LI,2011,36149,
LI,2012,36475,
LI,2013,36838,
LI,2014,37129,
LI,2015,37366,
LI,2016,37622,
LI,2017,37810,
LI,2018,38114,
LI,2019,38378,
LI,2020,38747,
LI,2021,39055,
LI,2022,39308,
LI,2023,39677,
LI,2024,40015,
LI,2025,40886,
LT,2008,3212605,
LT,2009,3183856,
LT,2010,3141976,
LT,2011,3052588,
LT,2012,3003641,
LT,2013,2974637,
LT,2014,2947862,
LT,2015,2926644,
LT,2016,2895573,
LT,2017,2859077,
LT,2018,2826200,
LT,2019,2812200,
LT,2020,2809977,
LT,2021,2810761,
LT,2022,2805998,
LT,2023,2857279,
LT,2024,2885891,
LT,2025,2890664,
LU,2008,483799,
LU,2009,493500,
LU,2010,502066,
LU,2011,511840,
LU,2012,524853,b
LU,2013,537039,
LU,2014,549680,
LU,2015,562958,
LU,2016,576249,
LU,2017,590667,b
LU,2018,602005,
LU,2019,613894,
LU,2020,626108,
LU,2021,634730,
LU,2022,645397,
LU,2023,660809,
LU,2024,672050,
LU,2025,681973,
LV,2008,2191810,
LV,2009,2162834,
LV,2010,2120504,
LV,2011,2074605,
LV,2012,2044813,
LV,2013,2023825,
LV,2014,2001468,
LV,2015,1986096,
LV,2016,1968957,
LV,2017,1950116,
LV,2018,1934379,
LV,2019,1919968,
LV,2020,1907675,
LV,2021,1893223,
LV,2022,1875757,
LV,2023,1895239,
LV,2024,1878575,
LV,2025,1860565,
MC,2024,38367,
MC,2025,38423,
MD,2008,3572703,
MD,2009,3567512,
MD,2010,3563695,
MD,2011,3560430,
MD,2012,3559541,
MD,2013,3559497,
MD,2014,3557634,
MD,2015,2869302,be
MD,2016,2846327,e
MD,2017,2825628,e
MD,2018,2780744,e
MD,2019,2729634,e
MD,2020,2684772,e
MD,2021,2643675,e
MD,2022,2565030,e
MD,2023,2512758,ep
MD,2024,2423287,ep
MD,2025,2386893,ep
ME,2008,615543,
ME,2009,617157,
ME,2010,619001,
ME,2011,619850,
ME,2012,620308,
ME,2013,620893,
ME,2014,621521,
ME,2015,622099,
ME,2016,622218,
ME,2017,622387,
ME,2018,622359,
ME,2019,622182,
ME,2020,621873,
ME,2021,620739,
ME,2022,617683,
ME,2023,616695,
ME,2024,623680,
ME,2025,623327,
MK,2008,2045177,
MK,2009,2048619,
MK,2010,2052722,
MK,2011,2057284,
MK,2012,2059794,
MK,2013,2062294,
MK,2014,2065769,
MK,2015,2069172,
MK,2016,2071278,
MK,2017,2073702,
MK,2018,2075301,
MK,2019,2077132,
MK,2020,2076255,
MK,2021,2068808,
MK,2022,1837114,b
MK,2023,1829954,
MK,2024,1826247,
