geo,year,unmet_need_pc,status,gdp_per_capita_eur,unemployment_rate_pc,poverty_or_social_exclusion_pc,government_health_expenditure_gdp_pc,compulsory_health_financing_gdp_pc,physicians_per_100k,hospital_beds_per_100k,oop_health_expenditure_share_pc,gini_income,long_term_unemployment_rate_pc,log_gdp_per_capita,log_oop_health_expenditure_share,gdp_per_capita_eur_lag1,unemployment_rate_pc_lag1,poverty_or_social_exclusion_pc_lag1,physicians_per_100k_lag1,gdp_per_capita_growth,unemployment_rate_change,split
AT,2015,0.1,,39640.0,6.1,16.9,8.3,7.74,494.14,735.29,19.85,27.2,2.0,10.587593988443924,3.03735394824481,38640.0,6.0,,484.14,0.025879917184265,0.0999999999999996,train
BE,2015,2.4,,36860.0,8.7,21.6,7.8,8.26,296.97,573.99,19.44,26.2,4.0,10.514882231223812,3.017493765335504,36130.0,8.7,,291.15,0.0202048159424301,0.0,train
BG,2015,4.7,,6560.0,10.1,43.3,5.3,4.15,435.19,779.29,42.51,37.0,6.3,8.788745881938135,3.772990796732589,6080.0,12.4,,431.16,0.0789473684210526,-2.3000000000000007,train
CH,2015,0.5,,76770.0,4.8,18.2,2.1,7.3,406.83,458.49,22.05,29.6,1.8,11.248569217821943,3.1376657694426577,68270.0,4.9,,395.4,0.1245056393730774,-0.1000000000000005,train
CY,2015,1.5,,20810.0,15.0,22.8,2.5,2.86,342.17,325.21,43.62,33.6,6.8,9.94318891938768,3.7981821890043865,20320.0,16.1,,323.52,0.0241141732283464,-1.1000000000000014,train
DE,2015,0.5,,37950.0,4.4,20.0,7.0,9.23,407.29,800.25,12.35,30.1,2.1,10.544024782823776,2.5915163848462583,36960.0,4.7,,400.74,0.0267857142857142,-0.2999999999999998,train
EE,2015,12.7,,16000.0,6.4,23.6,5.6,4.87,339.06,478.71,23.72,34.8,2.4,9.680344001221918,3.20761263258949,15480.0,7.3,,333.48,0.0335917312661498,-0.8999999999999995,train
ES,2015,0.6,,23440.0,22.1,28.7,6.1,6.45,380.66,294.05,23.87,34.6,11.4,10.06219924369095,3.2136622578153133,22380.0,24.5,,376.53,0.0473637176050044,-2.3999999999999986,train
FI,2015,4.3,,38350.0,9.4,16.9,7.3,7.46,267.95,425.32,18.63,25.2,2.9,10.554509806795402,2.9770590082883697,37690.0,8.7,,266.35,0.0175112762005837,0.7000000000000011,train
FR,2015,1.2,,33200.0,10.3,18.4,8.2,8.71,307.16,606.14,10.98,29.2,3.1,10.41030515490458,2.4832385926873037,32620.0,10.3,,304.68,0.0177805027590435,0.0,train
HR,2015,1.9,,10960.0,16.2,24.4,6.8,5.5,338.4,589.84,10.95,30.4,10.2,9.302007560502007,2.48073127837752,10560.0,17.3,,335.17,0.0378787878787878,-1.1000000000000014,train
HU,2015,2.6,,11520.0,6.6,30.6,5.1,4.67,314.28,709.7,27.49,28.2,3.0,9.351839934249885,3.3495531485098167,10810.0,7.5,,338.04,0.0656799259944495,-0.9000000000000004,train
IE,2015,2.7,,57980.0,9.9,25.4,5.0,5.09,296.86,277.92,13.51,29.7,5.3,10.967853402475647,2.6748380668960965,43120.0,11.9,,283.97,0.3446196660482374,-2.0,train
IS,2015,4.3,,49180.0,4.0,12.6,7.1,6.51,349.87,289.08,17.51,24.7,0.5,10.803242315770184,2.9183111265854063,42350.0,4.9,,334.18,0.1612750885478158,-0.9000000000000004,train
IT,2015,7.2,,27620.0,12.0,28.4,7.0,6.55,389.69,324.43,23.8,32.4,7.4,10.226295426963285,3.210843653170937,27120.0,12.9,,394.35,0.0184365781710914,-0.9000000000000004,train
LT,2015,2.9,,12860.0,9.1,29.4,4.7,4.35,448.23,719.58,31.84,37.9,3.9,9.46187699779161,3.491647284584228,12400.0,10.7,,449.15,0.0370967741935483,-1.5999999999999996,train
LU,2015,0.9,,95090.0,6.7,18.4,4.9,4.25,311.13,460.18,10.72,28.5,1.9,11.46257909053349,2.4612967841488667,92760.0,5.9,,301.19,0.0251185855972401,0.7999999999999998,train
LV,2015,8.4,,12010.0,9.9,30.0,3.9,3.43,329.38,586.52,40.45,35.4,4.9,9.39349491507403,3.724487881581304,11430.0,10.9,,333.96,0.0507436570428696,-1.0,train
MT,2015,0.8,,23000.0,5.4,22.2,5.4,5.27,331.87,414.02,37.47,28.1,2.7,10.043249494911286,3.649878716764204,20620.0,5.7,,317.67,0.1154219204655674,-0.2999999999999998,train
NL,2015,0.1,,41270.0,7.9,16.4,7.6,8.29,342.23,342.07,11.29,26.7,2.7,10.627891122746629,2.5087859235779435,40240.0,8.4,,334.23,0.0255964214711729,-0.5,train
NO,2015,1.1,,69560.0,4.7,14.7,7.1,8.61,398.5,366.09,14.14,23.9,1.3,11.14994496846822,2.717340248009303,75740.0,3.8,,427.05,-0.0815949300237655,0.9000000000000004,train
PL,2015,7.3,,11390.0,7.7,22.5,4.6,4.41,232.9,663.71,23.25,30.6,3.0,9.340491056441229,3.188416617383492,10750.0,9.2,,230.92,0.0595348837209302,-1.4999999999999991,train
RO,2015,9.4,,8090.0,8.4,44.5,4.2,3.86,282.3,693.15,21.28,37.4,3.6,8.998384010052538,3.1036894150590832,7560.0,8.6,,276.7,0.0701058201058201,-0.1999999999999993,train
SE,2015,1.3,,46160.0,7.5,18.2,7.0,9.16,399.82,233.67,15.03,26.7,1.3,10.739868901181982,2.7744619666214616,44930.0,8.0,,389.43,0.0273759180948141,-0.5,train
SI,2015,0.2,,18660.0,9.0,17.7,6.7,6.17,280.17,447.64,12.47,24.5,4.7,9.834137474401334,2.6004649904222727,18080.0,9.7,,274.5,0.0320796460176991,-0.6999999999999993,train
AT,2016,0.2,,40690.0,6.5,17.2,8.3,7.71,503.72,731.91,20.05,27.2,2.4,10.613737640995735,3.0469005601283903,39640.0,6.1,16.9,494.14,0.0264883955600403,0.4000000000000003,train
BE,2016,2.5,,37810.0,7.9,22.2,7.6,8.31,304.08,570.15,18.94,26.3,3.7,10.54032889688498,2.9927277645336923,36860.0,8.7,21.6,296.97,0.0257731958762886,-0.7999999999999989,train
BG,2016,2.8,,7070.0,8.6,41.0,5.0,4.13,439.23,777.53,43.25,37.7,5.2,8.863615758890619,3.7898553714539385,6560.0,10.1,43.3,435.19,0.0777439024390243,-1.5,train
CH,2016,0.5,,75360.0,5.0,17.9,2.1,7.51,416.55,459.41,21.27,29.4,1.8,11.230031909250243,3.1032404812692764,76770.0,4.8,18.2,406.83,-0.0183665494333724,0.2000000000000001,train
CY,2016,0.6,,21930.0,13.0,22.6,2.5,2.79,360.48,327.79,44.61,32.1,5.8,9.995610841411931,3.820126990723609,20810.0,15.0,22.8,342.17,0.0538202787121576,-2.0,train
DE,2016,0.3,,39030.0,3.9,19.8,7.1,9.3,415.27,799.74,12.19,29.5,1.7,10.57208586017466,2.579458966729223,37950.0,4.4,20.0,407.29,0.0284584980237154,-0.5000000000000004,train
DK,2016,1.3,,49270.0,6.0,17.5,8.8,8.66,394.52,249.07,13.52,27.7,1.2,10.805070655538008,2.67552700939665,47900.0,6.3,18.6,384.73,0.0286012526096033,-0.2999999999999998,train
EE,2016,15.3,,16860.0,6.8,23.1,5.3,4.9,343.29,465.42,23.74,32.7,2.2,9.732699231555848,3.208421366964342,16000.0,6.4,23.6,339.06,0.05375,0.3999999999999994,train
ES,2016,0.5,,24190.0,19.6,28.8,6.0,6.35,378.8,293.84,23.62,34.5,9.5,10.093694603604073,3.2035591207563074,23440.0,22.1,28.7,380.66,0.0319965870307167,-2.5,train
FI,2016,4.1,,39250.0,8.9,16.5,7.2,7.21,273.47,395.31,19.27,25.4,2.9,10.577706723210554,3.0091419604639085,38350.0,9.4,16.9,267.95,0.0234680573663624,-0.5,train
FR,2016,1.3,,33530.0,10.1,18.7,8.3,9.5,309.47,600.24,10.71,29.3,3.1,10.420195839460272,2.460443177609626,33200.0,10.3,18.4,307.16,0.0099397590361445,-0.200000000000001,train
HR,2016,1.7,,11610.0,13.0,23.5,6.6,5.52,340.26,577.45,10.97,29.8,6.7,9.359622074691938,2.482403519569882,10960.0,16.2,24.4,338.4,0.0593065693430656,-3.1999999999999997,train
HU,2016,1.3,,11950.0,5.0,28.6,4.7,4.74,324.89,708.36,27.69,28.2,2.3,9.388486557359656,3.3565486299932736,11520.0,6.6,30.6,314.28,0.0373263888888888,-1.5999999999999996,train
IE,2016,2.5,,58060.0,8.4,23.8,5.2,5.3,307.23,284.23,13.47,29.6,4.2,10.969232237578622,2.6720775406433925,57980.0,9.9,25.4,296.86,0.0013797861331493,-1.5,train
IT,2016,5.5,,28360.0,11.7,27.8,6.8,6.45,400.63,321.51,23.69,33.1,7.1,10.252734980646064,3.206398303357088,27620.0,12.0,28.4,389.69,0.0267921795800144,-0.3000000000000007,train
LT,2016,3.1,,13490.0,7.9,30.0,4.8,4.43,455.59,682.49,32.32,37.0,3.0,9.509703949201802,3.506157817298642,12860.0,9.1,29.4,448.23,0.0489891135303265,-1.1999999999999993,train
LU,2016,0.4,,96230.0,6.3,19.1,4.8,4.24,323.51,456.76,10.74,29.6,2.2,11.474496438350446,2.4630018143999504,95090.0,6.7,18.4,311.13,0.0119886423388368,-0.4000000000000003,train
LV,2016,8.2,,12500.0,9.7,28.2,3.8,3.55,327.87,583.76,43.32,34.5,4.4,9.433483923290392,3.791436042439028,12010.0,9.9,30.0,329.38,0.0407993338884263,-0.200000000000001,train
