geo,year,unmet_need_pc,log_gdp_per_capita,unemployment_rate_pc,poverty_or_social_exclusion_pc,government_health_expenditure_gdp_pc,compulsory_health_financing_gdp_pc,lag1_unmet_need_pc,lag1_log_gdp_per_capita,lag1_unemployment_rate_pc,lag1_poverty_or_social_exclusion_pc,lag1_government_health_expenditure_gdp_pc,lag1_compulsory_health_financing_gdp_pc,time_split
AT,2016,0.2,10.613737640995735,6.5,17.2,8.3,7.71,0.1,10.587593988443924,6.1,16.9,8.3,7.74,train
BE,2016,2.5,10.54032889688498,7.9,22.2,7.6,8.31,2.4,10.514882231223812,8.7,21.6,7.8,8.26,train
BG,2016,2.8,8.863615758890619,8.6,41.0,5.0,4.13,4.7,8.788745881938135,10.1,43.3,5.3,4.15,train
CH,2016,0.5,11.230031909250243,5.0,17.9,2.1,7.51,0.5,11.248569217821943,4.8,18.2,2.1,7.3,train
CY,2016,0.6,9.995610841411931,13.0,22.6,2.5,2.79,1.5,9.94318891938768,15.0,22.8,2.5,2.86,train
CZ,2016,0.7,9.743318800383308,4.0,12.4,7.4,6.21,0.8,9.694616660508636,5.1,13.0,7.5,6.18,train
DE,2016,0.3,10.57208586017466,3.9,19.8,7.1,9.3,0.5,10.544024782823776,4.4,20.0,7.0,9.23,train
DK,2016,1.3,10.805070655538008,6.0,17.5,8.8,8.66,1.3,10.776870783399009,6.3,18.6,8.9,8.74,train
EE,2016,15.3,9.732699231555848,6.8,23.1,5.3,4.9,12.7,9.680344001221918,6.4,23.6,5.6,4.87,train
EL,2016,13.1,9.69214904667168,23.9,32.6,5.3,5.19,12.3,9.693383614729722,25.0,32.4,5.0,4.83,train
ES,2016,0.5,10.093694603604073,19.6,28.8,6.0,6.35,0.6,10.06219924369095,22.1,28.7,6.1,6.45,train
FI,2016,4.1,10.577706723210554,8.9,16.5,7.2,7.21,4.3,10.554509806795402,9.4,16.9,7.3,7.46,train
FR,2016,1.3,10.420195839460272,10.1,18.7,8.3,9.5,1.2,10.41030515490458,10.3,18.4,8.2,8.71,train
HR,2016,1.7,9.359622074691938,13.0,23.5,6.6,5.52,1.9,9.302007560502007,16.2,24.4,6.8,5.5,train
HU,2016,1.3,9.388486557359656,5.0,28.6,4.7,4.74,2.6,9.351839934249885,6.6,30.6,5.1,4.67,train
IE,2016,2.5,10.969232237578622,8.4,23.8,5.2,5.3,2.7,10.967853402475647,9.9,25.4,5.0,5.09,train
IS,2016,2.9,10.966472663561088,3.0,11.8,7.2,6.57,4.3,10.803242315770184,4.0,12.6,7.1,6.51,train
IT,2016,5.5,10.252734980646064,11.7,27.8,6.8,6.45,7.2,10.226295426963285,12.0,28.4,7.0,6.55,train
LT,2016,3.1,9.509703949201802,7.9,30.0,4.8,4.43,2.9,9.46187699779161,9.1,29.4,4.7,4.35,train
LU,2016,0.4,11.474496438350446,6.3,19.1,4.8,4.24,0.9,11.46257909053349,6.7,18.4,4.9,4.25,train
LV,2016,8.2,9.433483923290392,9.7,28.2,3.8,3.55,8.4,9.39349491507403,9.9,30.0,3.9,3.43,train
MT,2016,1.0,10.081633737919605,4.7,20.2,5.2,5.48,0.8,10.043249494911286,5.4,22.2,5.4,5.27,train
NL,2016,0.2,10.652305930466534,7.0,16.3,7.1,8.22,0.1,10.627891122746629,7.9,16.4,7.6,8.29,train
NO,2016,1.1,11.100133581475603,4.9,14.4,7.4,8.99,1.1,11.14994496846822,4.7,14.7,7.1,8.61,train
PL,2016,6.6,9.329899607033822,6.3,20.6,4.6,4.53,7.3,9.340491056441229,7.7,22.5,4.6,4.41,train
