geo,year,unmet_need_pc,status,gdp_per_capita_eur,unemployment_rate_pc,poverty_or_social_exclusion_pc,government_health_expenditure_gdp_pc,compulsory_health_financing_gdp_pc,physicians_per_100k,hospital_beds_per_100k,oop_health_expenditure_share_pc,gini_income,long_term_unemployment_rate_pc,log_gdp_per_capita,log_oop_health_expenditure_share,gdp_per_capita_eur_lag1,unemployment_rate_pc_lag1,poverty_or_social_exclusion_pc_lag1,physicians_per_100k_lag1,gdp_per_capita_growth,unemployment_rate_change,population_total,population_status,population_weight_year_norm
AL,2017,13.1,,4100.0,,58.5,,,-68.99089686290176,747.0340581955682,-115.9423331655873,36.8,1.5245331540207303,8.318742252692399,,,,,,,,2876591.0,,0.004662992002634082
AL,2018,14.8,,4540.0,,53.9,,,-480.3735126877989,612.5166416505459,71.62787495797406,35.4,119.24849192690633,8.420682291035394,,4100.0,,58.5,,0.1073170731707317,,2870324.0,,0.004623530966987026
AL,2019,14.6,,4880.0,,50.7,,,1044.1803897445416,542.1989665224073,-50.67320860000562,34.3,114.36933863910137,8.492900498847193,,4540.0,,53.9,,0.0748898678414096,,2862427.0,,0.005142558769056952
AL,2020,10.6,,4710.0,,46.2,,,-456.8903361208485,764.1351270432184,56.91714364313148,33.2,16.93896304779008,8.457443187010464,,4880.0,,50.7,,-0.0348360655737704,,2845955.0,,0.005723434597635693
AL,2021,10.7,,5420.0,,46.6,,,-1592.753276873947,608.5471625121551,152.78576263363624,33.0,-91.77493988842839,8.597851094433691,,4710.0,,46.2,,0.1507430997876857,,2829741.0,,0.005090976804971739
AL,2022,10.2,,6500.0,,44.5,,,-1827.63774387804,478.01163041524796,-114.94369005457446,31.0,-51.18176023988144,8.779557455883728,,5420.0,,46.6,,0.1992619926199262,,2793592.0,,0.005016421582124605
AL,2023,10.3,,,,42.1,,,-1000.554921218178,2525.098591190359,152.58995187079574,30.2,-51.88327650878709,,,6500.0,,44.5,,,,2761785.0,,0.0049394353403154935
AT,2008,0.7,,35070.0,,-379.40759938892126,7.8,7.35,430.74,722.65,18.81,73.01001687118696,62.31039838436294,10.465101343134224,2.98618686071046,,,,,,,8307989.0,,0.014334836974831906
AT,2009,0.5,,34320.0,5.7,252.97262573343139,8.1,7.74,439.74,723.23,18.6,-1.053663048112579,1.4,10.4434835536019,2.975529566236472,35070.0,,,430.74,-0.0213857998289136,,8335003.0,,0.014308084107011445
AT,2010,0.6,,35170.0,5.2,-91.60985165828244,8.2,7.68,450.76,722.54,19.24,1.2113320241673762,1.5,10.467948725468029,3.0076608444192647,34320.0,5.7,,439.74,0.0247668997668997,-0.5,8351643.0,,0.014125484996561332
AT,2011,0.4,,36740.0,4.9,-315.2374962917141,7.9,7.54,456.63,727.15,19.31,-31.717945216424337,1.5,10.511621358769116,3.011113375592293,35170.0,5.2,,450.76,0.0446403184532271,-0.2999999999999998,8375164.0,,0.014136781787121834
AT,2012,0.3,,37570.0,5.2,-118.14151834365333,8.0,7.68,463.68,730.25,19.14,49.68507148163155,1.5,10.533961138568015,3.0027078872904163,36740.0,4.9,,456.63,0.022591181273816,0.2999999999999998,8408121.0,,0.014135910329638901
AT,2013,0.4,,37890.0,5.7,106.19572268997187,8.1,7.68,475.24,731.76,19.6,12.47008321436292,1.6,10.542442504012646,3.025291075795536,37570.0,5.2,,463.68,0.0085174341229704,0.5,8451860.0,,0.014011570400085138
AT,2014,0.1,,38640.0,6.0,35.95047853692431,8.2,7.76,484.14,731.65,19.61,27.6,1.9,10.562043288326452,3.025776394902368,37890.0,5.7,,475.24,0.0197941409342834,0.2999999999999998,8507786.0,,0.014023906935263284
AT,2015,0.1,,39640.0,6.1,16.9,8.3,7.74,494.14,735.29,19.85,27.2,2.0,10.587593988443924,3.03735394824481,38640.0,6.0,,484.14,0.025879917184265,0.0999999999999996,8584926.0,,0.014097434140103574
AT,2016,0.2,,40690.0,6.5,17.2,8.3,7.71,503.72,731.91,20.05,27.2,2.4,10.613737640995735,3.0469005601283903,39640.0,6.1,16.9,494.14,0.0264883955600403,0.4000000000000003,8700471.0,,0.014222997066592096
AT,2017,0.2,,41760.0,5.9,17.1,8.3,7.74,512.1,731.53,20.11,27.9,2.3,10.63969422255652,3.0497468618602293,40690.0,6.5,17.2,503.72,0.0262963873187515,-0.5999999999999996,8772865.0,,0.014220930029743
AT,2018,0.1,,43360.0,5.2,16.8,8.3,7.78,520.56,725.66,19.29,26.8,1.7,10.677292636113528,3.010128153837724,41760.0,5.9,17.1,512.1,0.0383141762452107,-0.7000000000000002,8822267.0,,0.014210947848928459
AT,2019,0.3,,44570.0,4.8,16.5,8.4,7.91,529.14,718.9,18.76,27.5,1.4,10.704816265940602,2.983659692319722,43360.0,5.2,16.8,520.56,0.0279059040590405,-0.4000000000000003,8858775.0,,0.015915435069384302
AT,2020,0.1,,42650.0,6.0,16.7,9.2,8.72,531.82,705.1,17.17,27.0,1.7,10.660782552919825,2.89977188240808,44570.0,4.8,16.5,529.14,-0.0430783037917881,1.2000000000000002,8901064.0,,0.017900724942372437
AT,2021,0.3,,45380.0,6.2,17.3,10.1,9.47,540.91,691.47,16.03,26.7,2.0,10.722826758333833,2.834976494674597,42650.0,6.0,16.7,531.82,0.0640093786635404,0.2000000000000001,8932664.0,,0.016070723515193116
AT,2022,0.5,,49640.0,4.8,17.5,9.4,8.64,544.6,671.75,16.29,27.8,1.2,10.812552239318544,2.850128299695199,45380.0,6.2,17.3,540.91,0.0938739532833847,-1.4000000000000004,8978929.0,,0.01612336132834161
AT,2023,0.6,,52330.0,5.1,17.7,9.0,8.47,551.44,660.4,16.48,28.1,1.1,10.865325099366254,2.8610573702273894,49640.0,4.8,17.5,544.6,0.0541901692183722,0.2999999999999998,9104772.0,,0.016283828242355934
AT,2024,1.0,,53830.0,5.2,16.9,9.5,8.8,564.69,508.37649225767944,16.46,28.4,1.1,10.893586211555004,2.859912550411456,52330.0,5.1,17.7,551.44,0.0286642461303267,0.1000000000000005,9158750.0,,0.016419235561804482
