geo,year,unmet_need_pc,status,gdp_per_capita_eur,unemployment_rate_pc,poverty_or_social_exclusion_pc,government_health_expenditure_gdp_pc,compulsory_health_financing_gdp_pc
AL,2017,13.1,,4100.0,,58.5,,
AL,2018,14.8,,4540.0,,53.9,,
AL,2019,14.6,,4880.0,,50.7,,
AL,2020,10.6,,4710.0,,46.2,,
AL,2021,10.7,,5420.0,,46.6,,
AL,2022,10.2,,6500.0,,44.5,,
AL,2023,10.3,,,,42.1,,
AT,2008,0.7,,35070.0,,,7.8,7.35
AT,2009,0.5,,34320.0,5.7,,8.1,7.74
AT,2010,0.6,,35170.0,5.2,,8.2,7.68
AT,2011,0.4,,36740.0,4.9,,7.9,7.54
AT,2012,0.3,,37570.0,5.2,,8.0,7.68
AT,2013,0.4,,37890.0,5.7,,8.1,7.68
AT,2014,0.1,,38640.0,6.0,,8.2,7.76
AT,2015,0.1,,39640.0,6.1,16.9,8.3,7.74
AT,2016,0.2,,40690.0,6.5,17.2,8.3,7.71
AT,2017,0.2,,41760.0,5.9,17.1,8.3,7.74
AT,2018,0.1,,43360.0,5.2,16.8,8.3,7.78
AT,2019,0.3,,44570.0,4.8,16.5,8.4,7.91
AT,2020,0.1,,42650.0,6.0,16.7,9.2,8.72
AT,2021,0.3,,45380.0,6.2,17.3,10.1,9.47
AT,2022,0.5,,49640.0,4.8,17.5,9.4,8.64
AT,2023,0.6,,52330.0,5.1,17.7,9.0,8.47
AT,2024,1.0,,53830.0,5.2,16.9,9.5,8.8
AT,2025,0.9,,55710.0,5.7,18.8,,
BE,2008,0.5,,32840.0,,,7.3,7.26
BE,2009,0.6,,32210.0,8.0,,7.8,7.84
BE,2010,0.4,,33340.0,8.4,,7.8,7.77
BE,2011,1.5,,34310.0,7.2,,7.7,7.83
BE,2012,1.7,,34930.0,7.6,,7.9,7.99
BE,2013,1.9,,35360.0,8.6,,8.0,7.99
BE,2014,2.5,,36130.0,8.7,,8.0,8.03
BE,2015,2.4,,36860.0,8.7,21.6,7.8,8.26
BE,2016,2.5,,37810.0,7.9,22.2,7.6,8.31
BE,2017,2.2,,38980.0,7.2,22.0,7.6,8.31
BE,2018,1.8,,40210.0,6.0,20.5,7.6,8.32
BE,2019,1.8,b,41730.0,5.5,20.1,7.5,8.08
BE,2020,1.5,,40190.0,5.8,20.3,8.6,8.72
BE,2021,1.7,,43680.0,6.3,19.0,8.4,8.48
BE,2022,1.0,,48090.0,5.6,18.6,7.8,7.96
BE,2023,1.1,,51090.0,5.5,18.8,7.8,7.87
BE,2024,1.4,,52310.0,5.7,18.3,8.0,
BE,2025,0.9,,53930.0,6.2,16.5,,
BG,2008,15.3,,4890.0,,,4.4,
BG,2009,10.3,,4930.0,7.9,,4.0,
BG,2010,10.5,,5080.0,11.3,,4.4,
BG,2011,9.8,,5640.0,12.3,,4.1,3.86
BG,2012,8.3,,5820.0,13.3,,4.4,3.85
BG,2013,8.9,,5870.0,13.9,,4.5,4.06
BG,2014,5.6,,6080.0,12.4,,5.5,4.49
BG,2015,4.7,,6560.0,10.1,43.3,5.3,4.15
BG,2016,2.8,,7070.0,8.6,41.0,5.0,4.13
BG,2017,2.1,,7720.0,7.2,38.0,4.9,4.22
BG,2018,1.9,,8340.0,6.2,33.0,5.0,4.35
BG,2019,1.4,,9250.0,5.2,33.2,4.6,4.32
BG,2020,1.4,,9440.0,6.1,33.5,5.8,5.33
BG,2021,1.0,,10960.0,5.2,31.7,5.8,5.58
BG,2022,1.0,,13310.0,4.2,32.2,5.5,4.85
BG,2023,1.1,,14660.0,4.3,30.0,5.4,5.0
BG,2024,1.1,,16260.0,4.2,30.3,5.4,
BG,2025,1.0,,18060.0,3.5,29.0,,
CH,2008,1.0,,50980.0,,,1.7,
CH,2009,1.0,,52210.0,,,1.9,
CH,2010,1.1,,58790.0,4.8,,1.8,6.37
CH,2011,0.8,,66240.0,4.4,,1.9,6.48
CH,2012,1.0,,67900.0,4.5,,2.0,6.77
CH,2013,1.2,,66900.0,4.8,,2.1,6.99
CH,2014,1.3,,68270.0,4.9,,2.1,7.01
CH,2015,0.5,,76770.0,4.8,18.2,2.1,7.3
CH,2016,0.5,,75360.0,5.0,17.9,2.1,7.51
CH,2017,0.4,,74010.0,4.8,18.3,2.1,7.63
