geo,year,unmet_need_pc_08,unmet_need_pc_08b,difference_08b_minus_08
AL,2021,10.7,13.7,3.0
AL,2022,10.2,13.5,3.3000000000000007
AL,2023,10.3,13.8,3.5
AT,2021,0.3,0.6,0.3
AT,2022,0.5,1.1,0.6000000000000001
AT,2023,0.6,1.2,0.6
AT,2024,1.0,2.0,1.0
AT,2025,0.9,1.8,0.9
BE,2021,1.7,2.1,0.40000000000000013
BE,2022,1.0,1.2,0.19999999999999996
BE,2023,1.1,1.2,0.09999999999999987
BE,2024,1.4,1.6,0.20000000000000018
BE,2025,0.9,1.0,0.09999999999999998
BG,2021,1.0,1.6,0.6000000000000001
BG,2022,1.0,1.6,0.6000000000000001
BG,2023,1.1,1.5,0.3999999999999999
BG,2024,1.1,1.5,0.3999999999999999
BG,2025,1.0,1.4,0.3999999999999999
CH,2021,0.5,0.9,0.4
CH,2022,0.8,1.4,0.5999999999999999
CH,2023,1.3,2.2,0.9000000000000001
CH,2024,1.4,2.3,0.8999999999999999
CY,2021,0.2,0.2,0.0
CY,2022,0.2,0.2,0.0
CY,2023,0.1,0.1,0.0
CY,2024,0.1,0.1,0.0
CY,2025,0.1,0.1,0.0
CZ,2021,0.3,0.4,0.10000000000000003
CZ,2022,0.2,0.3,0.09999999999999998
CZ,2023,0.4,0.5,0.09999999999999998
CZ,2024,0.5,0.6,0.09999999999999998
CZ,2025,0.3,0.4,0.10000000000000003
DE,2021,0.1,0.2,0.1
DE,2022,0.3,0.4,0.10000000000000003
DE,2023,0.2,0.3,0.09999999999999998
DE,2024,0.8,1.2,0.3999999999999999
DE,2025,1.0,1.6,0.6000000000000001
DK,2024,3.1,3.9,0.7999999999999998
DK,2025,2.9,3.6,0.7000000000000002
EE,2024,8.5,11.2,2.6999999999999993
EE,2025,7.7,10.1,2.3999999999999995
EL,2021,6.4,12.5,6.1
EL,2022,9.0,16.7,7.699999999999999
EL,2023,11.6,20.9,9.299999999999999
EL,2024,12.1,21.9,9.799999999999999
EL,2025,11.5,20.0,8.5
ES,2021,1.1,1.9,0.7999999999999998
ES,2022,1.2,1.9,0.7
ES,2023,1.8,2.7,0.9000000000000001
ES,2024,1.8,2.6,0.8
ES,2025,1.6,2.3,0.6999999999999997
FI,2021,4.4,6.6,2.1999999999999993
FI,2022,6.5,9.6,3.0999999999999996
FI,2023,7.9,11.6,3.6999999999999993
FI,2024,8.5,12.4,3.9000000000000004
FI,2025,7.8,11.3,3.500000000000001
FR,2021,2.8,3.2,0.40000000000000036
FR,2022,3.2,3.7,0.5
FR,2023,3.7,4.1,0.39999999999999947
FR,2024,4.1,4.5,0.40000000000000036
FR,2025,3.7,4.2,0.5
HR,2021,1.7,2.8,1.0999999999999999
HR,2022,1.3,2.1,0.8
HR,2023,1.0,1.6,0.6000000000000001
HR,2024,1.3,2.0,0.7
HR,2025,1.4,2.1,0.7000000000000002
HU,2021,1.1,2.1,1.0
HU,2022,1.4,2.2,0.8000000000000003
HU,2023,1.0,1.6,0.6000000000000001
HU,2024,1.0,1.4,0.3999999999999999
HU,2025,1.4,2.1,0.7000000000000002
IE,2021,2.1,5.0,2.9
IE,2022,2.7,5.6,2.8999999999999995
IE,2023,2.7,4.8,2.0999999999999996
IE,2024,2.9,5.0,2.1
IE,2025,2.7,5.1,2.3999999999999995
IT,2021,1.8,4.5,2.7
IT,2022,1.8,3.7,1.9000000000000001
IT,2023,1.8,3.7,1.9000000000000001
IT,2024,1.9,3.8,1.9
IT,2025,2.5,4.5,2.0
LT,2021,2.4,3.6,1.2000000000000002
LT,2022,2.9,3.9,1.0
LT,2023,3.8,5.0,1.2000000000000002
LT,2024,4.3,5.6,1.2999999999999998
LT,2025,3.3,4.2,0.9000000000000004
LU,2021,1.0,1.4,0.3999999999999999
LU,2022,0.5,1.0,0.5
