geo,country_group,outcome_rows,complete_case_rows,rows_lost,retained_pct,first_year,last_year
AL,East/South,7,0,7,0.0,2017,2023
ME,East/South,11,0,11,0.0,2013,2023
MK,East/South,15,0,15,0.0,2010,2024
RS,East/South,13,0,13,0.0,2013,2025
TR,East/South,18,0,18,0.0,2008,2025
UK,West/North,11,0,11,0.0,2008,2018
XK,East/South,2,0,2,0.0,2018,2019
NO,West/North,18,8,10,44.44444444444444,2008,2025
IS,West/North,13,6,7,46.15384615384615,2008,2020
BE,West/North,18,9,9,50.0,2008,2025
BG,East/South,18,9,9,50.0,2008,2025
CY,East/South,18,9,9,50.0,2008,2025
EL,East/South,18,9,9,50.0,2008,2025
ES,East/South,18,9,9,50.0,2008,2025
FI,West/North,18,9,9,50.0,2008,2025
LV,East/South,18,9,9,50.0,2008,2025
MT,East/South,18,9,9,50.0,2008,2025
RO,East/South,18,9,9,50.0,2008,2025
SK,East/South,18,9,9,50.0,2008,2025
IT,East/South,17,9,8,52.94117647058823,2008,2025
AT,West/North,18,10,8,55.55555555555556,2008,2025
CZ,East/South,18,10,8,55.55555555555556,2008,2025
DE,West/North,18,10,8,55.55555555555556,2008,2025
DK,West/North,18,10,8,55.55555555555556,2008,2025
EE,East/South,18,10,8,55.55555555555556,2008,2025
FR,West/North,18,10,8,55.55555555555556,2008,2025
HU,East/South,18,10,8,55.55555555555556,2008,2025
IE,West/North,18,10,8,55.55555555555556,2008,2025
LT,East/South,18,10,8,55.55555555555556,2008,2025
LU,West/North,18,10,8,55.55555555555556,2008,2025
NL,West/North,18,10,8,55.55555555555556,2008,2025
PL,East/South,18,10,8,55.55555555555556,2008,2025
PT,East/South,18,10,8,55.55555555555556,2008,2025
SE,West/North,18,10,8,55.55555555555556,2008,2025
SI,East/South,18,10,8,55.55555555555556,2008,2025
HR,East/South,16,9,7,56.25,2010,2025
CH,West/North,17,10,7,58.8235294117647,2008,2024
