country,NAT,NEU_FOR,gap_neu_for_minus_nat
NL,0.2,7.7,7.5
LV,8.3,14.0,5.699999999999999
CH,3.5,8.6,5.1
DK,7.7,12.3,4.6000000000000005
FR,6.1,10.6,4.5
ME,1.6,5.5,3.9
PT,7.8,11.4,3.6000000000000005
NO,7.6,10.7,3.0999999999999996
IT,2.7,5.5,2.8
FI,7.4,10.1,2.6999999999999993
ES,3.8,6.4,2.6000000000000005
LU,0.9,3.5,2.6
EL,11.3,13.8,2.5
UK,2.4,4.3,1.9
SE,2.5,4.0,1.5
BE,3.0,4.5,1.5
AT,1.1,2.5,1.4
EE,5.0,6.2,1.2000000000000002
DE,0.4,0.9,0.5
MT,0.1,0.5,0.4
TR,0.8,1.0,0.19999999999999996
CZ,1.0,1.2,0.19999999999999996
PL,1.2,1.0,-0.19999999999999996
IE,1.5,1.3,-0.19999999999999996
CY,1.2,0.9,-0.29999999999999993
HR,0.6,0.0,-0.6
SI,4.0,3.4,-0.6000000000000001
LT,2.1,1.3,-0.8
HU,0.9,0.0,-0.9
AL,12.6,11.7,-0.9000000000000004
SK,1.0,0.0,-1.0
BG,2.0,0.0,-2.0
MK,2.4,0.0,-2.4
RS,2.5,0.0,-2.5
IS,8.2,4.7,-3.499999999999999
RO,4.1,0.0,-4.1
XK,7.3,3.2,-4.1
