country,year,NAT,NEU_FOR,gap_neu_for_minus_nat
AL,2021,15.5,26.1,10.600000000000001
AL,2022,13.0,13.0,0.0
AL,2023,12.6,11.7,-0.9000000000000004
AT,2009,0.8,4.2,3.4000000000000004
AT,2010,1.2,8.2,6.999999999999999
AT,2011,1.1,4.1,2.9999999999999996
AT,2012,1.0,4.0,3.0
AT,2013,1.0,5.1,4.1
AT,2014,0.4,1.0,0.6
AT,2015,0.4,0.7,0.29999999999999993
AT,2016,0.4,1.0,0.6
AT,2017,0.7,3.0,2.3
AT,2018,0.4,1.2,0.7999999999999999
AT,2019,0.5,2.0,1.5
AT,2020,0.4,0.1,-0.30000000000000004
AT,2021,0.3,0.5,0.2
AT,2022,0.8,2.3,1.4999999999999998
AT,2023,0.9,0.6,-0.30000000000000004
AT,2024,0.8,3.7,2.9000000000000004
AT,2025,1.1,2.5,1.4
BE,2009,1.2,2.4,1.2
BE,2010,1.3,5.7,4.4
BE,2011,2.8,6.8,4.0
BE,2012,2.5,8.6,6.1
BE,2013,2.6,12.2,9.6
BE,2014,3.1,15.8,12.700000000000001
BE,2015,3.3,10.0,6.7
BE,2016,3.5,6.4,2.9000000000000004
BE,2017,3.2,9.1,5.8999999999999995
BE,2018,2.7,7.0,4.3
BE,2019,3.3,8.4,5.1000000000000005
BE,2020,2.4,8.1,5.699999999999999
BE,2021,2.5,7.3,4.8
BE,2022,2.5,5.2,2.7
BE,2023,3.0,4.8,1.7999999999999998
BE,2024,3.1,4.7,1.6
BE,2025,3.0,4.5,1.5
BG,2009,13.4,20.9,7.499999999999998
BG,2010,12.0,26.0,14.0
BG,2011,10.8,15.6,4.799999999999999
BG,2012,9.3,21.0,11.7
BG,2013,9.8,16.8,7.0
BG,2014,6.7,8.6,1.8999999999999995
BG,2015,5.3,5.5,0.20000000000000018
BG,2016,3.5,5.8,2.3
BG,2017,2.8,0.0,-2.8
BG,2018,2.6,0.9,-1.7000000000000002
BG,2019,2.1,0.9,-1.2000000000000002
BG,2020,2.3,1.0,-1.2999999999999998
BG,2021,1.7,2.1,0.40000000000000013
BG,2022,2.0,2.6,0.6000000000000001
BG,2023,1.9,0.0,-1.9
BG,2024,1.8,0.0,-1.8
BG,2025,2.0,0.0,-2.0
CH,2009,3.5,10.9,7.4
CH,2010,3.2,10.4,7.2
CH,2011,3.4,8.4,5.0
CH,2012,3.3,11.6,8.3
CH,2013,3.4,12.6,9.2
CH,2014,3.2,11.5,8.3
CH,2015,2.1,4.6,2.4999999999999996
CH,2016,2.5,8.0,5.5
CH,2017,2.3,6.2,3.9000000000000004
CH,2018,2.3,4.6,2.3
CH,2019,2.2,6.2,4.0
CH,2020,1.9,5.4,3.5000000000000004
CH,2021,1.9,3.9,2.0
CH,2022,2.0,5.6,3.5999999999999996
CH,2023,3.2,14.1,10.899999999999999
CH,2024,3.5,8.6,5.1
CY,2009,5.8,4.9,-0.8999999999999995
CY,2010,8.2,5.8,-2.3999999999999995
CY,2011,8.1,7.2,-0.8999999999999995
CY,2012,7.4,5.9,-1.5
CY,2013,7.8,3.8,-4.0
CY,2014,9.2,3.5,-5.699999999999999
CY,2015,4.3,1.4,-2.9
CY,2016,3.2,4.7,1.5
CY,2017,3.1,5.6,2.4999999999999996
CY,2018,3.9,7.2,3.3000000000000003
CY,2019,3.5,3.2,-0.2999999999999998
CY,2020,2.6,4.1,1.4999999999999996
CY,2021,2.4,2.7,0.30000000000000027
CY,2022,1.8,0.9,-0.9
CY,2023,1.1,1.3,0.19999999999999996
CY,2024,1.5,2.6,1.1
CY,2025,1.2,0.9,-0.29999999999999993
CZ,2009,1.2,2.1,0.9000000000000001
CZ,2010,1.5,4.1,2.5999999999999996
CZ,2011,1.4,1.4,0.0
CZ,2012,1.5,2.7,1.2000000000000002
CZ,2013,1.6,3.3,1.6999999999999997
CZ,2014,1.6,1.7,0.09999999999999987
CZ,2015,1.1,1.3,0.19999999999999996
CZ,2016,1.0,0.0,-1.0
CZ,2017,1.0,0.0,-1.0
CZ,2018,1.0,1.5,0.5
CZ,2019,0.8,0.0,-0.8
CZ,2020,0.8,0.0,-0.8
CZ,2021,0.6,0.8,0.20000000000000007
CZ,2022,0.8,0.9,0.09999999999999998
CZ,2023,1.1,1.8,0.7
CZ,2024,1.3,2.3,0.9999999999999998
CZ,2025,1.0,1.2,0.19999999999999996
DE,2009,2.6,4.3,1.6999999999999997
DE,2010,2.1,6.5,4.4
DE,2011,2.0,4.3,2.3
DE,2012,1.8,2.4,0.5999999999999999
DE,2013,1.7,6.3,4.6
DE,2014,1.9,3.0,1.1
DE,2015,0.5,1.9,1.4
DE,2016,0.6,0.9,0.30000000000000004
DE,2017,0.5,0.9,0.4
DE,2018,0.4,1.1,0.7000000000000001
DE,2019,0.3,1.3,1.0
DE,2020,0.3,0.9,0.6000000000000001
DE,2021,0.3,1.0,0.7
DE,2022,0.5,1.2,0.7
DE,2023,0.3,0.7,0.39999999999999997
DE,2024,0.4,0.8,0.4
DE,2025,0.4,0.9,0.5
DK,2009,2.4,16.8,14.4
DK,2010,2.2,17.0,14.8
DK,2011,2.5,8.7,6.199999999999999
DK,2012,2.9,13.2,10.299999999999999
DK,2013,3.8,8.4,4.6000000000000005
DK,2014,4.1,13.5,9.4
DK,2015,3.7,8.4,4.7
DK,2016,3.4,12.9,9.5
DK,2017,3.9,8.6,4.699999999999999
DK,2018,3.5,19.3,15.8
DK,2019,4.4,20.2,15.799999999999999
DK,2020,4.3,9.7,5.3999999999999995
DK,2021,4.5,11.8,7.300000000000001
DK,2022,7.0,17.3,10.3
DK,2023,7.9,17.3,9.4
DK,2024,7.1,14.9,7.800000000000001
DK,2025,7.7,12.3,4.6000000000000005
EE,2009,3.9,8.7,4.799999999999999
EE,2010,5.0,9.6,4.6
EE,2011,6.3,15.7,9.399999999999999
EE,2012,6.8,14.9,8.100000000000001
EE,2013,7.0,15.8,8.8
EE,2014,7.0,17.7,10.7
EE,2015,9.0,22.9,13.899999999999999
EE,2016,8.3,19.8,11.5
EE,2017,5.2,15.9,10.7
EE,2018,5.8,10.8,5.000000000000001
EE,2019,4.5,7.2,2.7
EE,2020,2.5,5.3,2.8
EE,2021,2.4,2.2,-0.19999999999999973
EE,2022,2.2,4.4,2.2
EE,2023,3.1,4.6,1.4999999999999996
EE,2024,4.6,5.8,1.2000000000000002
