mechanism,estimator,mean_TDI,mean_bias,median_absolute_error,mean_rows,mean_target_distance,estimated_replicates
country_group,complete_case_fe,0.1042,0.0142,0.0292,210.85,0.3815,20
country_group,ipw_fe,0.1064,0.012,0.0409,210.85,0.3815,20
country_group,mnar_shift_mi_fe,0.0,-0.1448,0.1468,282.0,0.3815,20
country_group,pmm_mi_fe,0.0,-0.1464,0.1467,282.0,0.3815,20
country_group,population_weighted_fe,0.1447,0.1271,0.1401,210.85,0.3815,20
covariate_block,complete_case_fe,0.1165,0.0008,0.035,184.6,0.3833,20
covariate_block,ipw_fe,0.1166,0.0015,0.0345,184.6,0.3833,20
covariate_block,mnar_shift_mi_fe,0.0,-0.002,0.002,282.0,0.3833,20
covariate_block,pmm_mi_fe,0.0,-0.0014,0.0018,282.0,0.3833,20
covariate_block,population_weighted_fe,0.1536,0.1317,0.143,184.6,0.3833,20
early_year,complete_case_fe,0.1841,-0.0773,0.0773,192.0,0.7388,20
early_year,ipw_fe,0.1841,-0.0794,0.0794,192.0,0.7388,20
early_year,mnar_shift_mi_fe,0.0,-0.2321,0.2324,282.0,0.7388,20
early_year,pmm_mi_fe,0.0,-0.2285,0.2261,282.0,0.7388,20
early_year,population_weighted_fe,0.2218,-0.0427,0.0427,192.0,0.7388,20
eurostat_realistic,complete_case_fe,0.1278,-0.0337,0.0418,174.95,0.4164,20
eurostat_realistic,ipw_fe,0.1279,-0.0331,0.0437,174.95,0.4164,20
eurostat_realistic,mnar_shift_mi_fe,0.0,-0.0768,0.0753,282.0,0.4164,20
eurostat_realistic,pmm_mi_fe,0.0,-0.0487,0.0432,282.0,0.4164,20
eurostat_realistic,population_weighted_fe,0.1636,0.0831,0.0883,174.95,0.4164,20
mar_observed,complete_case_fe,0.0981,0.019,0.0287,203.15,0.3341,20
mar_observed,ipw_fe,0.0983,0.0205,0.0292,203.15,0.3341,20
mar_observed,mnar_shift_mi_fe,0.0,-0.1485,0.1447,282.0,0.3341,20
mar_observed,pmm_mi_fe,0.0,-0.1347,0.1338,282.0,0.3341,20
mar_observed,population_weighted_fe,0.1376,0.1276,0.1336,203.15,0.3341,20
mcar,complete_case_fe,0.3044,-0.1028,0.1294,64.85,0.9483,20
mcar,ipw_fe,0.3046,-0.0992,0.1395,64.85,0.9483,20
mcar,mnar_shift_mi_fe,0.0,-0.1464,0.1446,282.0,0.9483,20
mcar,pmm_mi_fe,0.0,-0.1338,0.1344,282.0,0.9483,20
mcar,population_weighted_fe,0.3232,-0.0923,0.1332,64.85,0.9483,20
mnar_high_poverty_unmet,complete_case_fe,0.1275,0.005,0.0324,189.65,0.4503,20
mnar_high_poverty_unmet,ipw_fe,0.1284,0.0196,0.0601,189.65,0.4503,20
mnar_high_poverty_unmet,mnar_shift_mi_fe,0.0,-0.1381,0.1376,282.0,0.4503,20
mnar_high_poverty_unmet,pmm_mi_fe,0.0,-0.1352,0.1346,282.0,0.4503,20
mnar_high_poverty_unmet,population_weighted_fe,0.1653,0.1195,0.1148,189.65,0.4503,20
