year,sd_unmet_need_pc,countries
2008,4.045472711855265,31
2009,3.539187683970093,31
2010,4.374606042868664,33
2011,4.062480769185253,33
2012,3.5421996033966,33
2013,3.8240679646574445,35
2014,3.519052584494437,35
2015,3.371240202685309,35
2016,3.435805044312177,35
2017,3.084533871810975,36
2018,3.7806783159280464,37
2019,3.5086514390339376,36
2020,2.8921000024622985,34
2021,2.415244218413762,34
2022,2.616375144131793,34
2023,3.30042534934984,34
2024,2.887485162648655,32
2025,2.660975968220735,30
