year,unweighted_mean,outcome_countries,population_weighted_mean,population_weighted_countries,complete_case_countries,complete_case_rows
2008,3.4419354838709677,31,4.203300150419364,31.0,,
2009,3.358064516129032,31,4.4412658718116536,31.0,,
2010,3.9696969696969697,33,4.689924818492782,33.0,,
2011,4.0,33,4.3894964880254514,33.0,,
2012,3.8696969696969696,33,4.216929491847161,33.0,,
2013,4.3342857142857145,35,4.482616458328858,34.0,,
2014,4.1257142857142854,35,4.270607272318101,35.0,,
2015,3.494285714285714,35,3.6158321688248782,35.0,30.0,30.0
2016,3.0228571428571427,35,2.651788565048233,35.0,30.0,30.0
2017,2.822222222222222,36,2.00761690358207,36.0,30.0,30.0
2018,3.2621621621621624,37,2.336073273701446,37.0,30.0,30.0
2019,2.9722222222222223,36,1.982985451994053,36.0,30.0,30.0
2020,2.5,34,1.7226914566254123,34.0,29.0,29.0
2021,2.4411764705882355,34,1.9174687874633147,34.0,29.0,29.0
2022,2.7058823529411766,34,1.9860607080796666,34.0,29.0,29.0
2023,3.1852941176470586,34,2.2341887222231267,34.0,28.0,28.0
2024,2.928125,32,2.293426004840409,32.0,17.0,17.0
2025,2.67,30,2.1209320394486935,30.0,,
