indicator_id,outcome,denominator,estimand_id,estimand,family,status,coef,theta,x_iqr,y_iqr,TDI
dental_need_combined,Dental need,same_needs,dental_need_combined__unweighted_complete_case_fe,Unweighted complete-case FE,complete-case,infeasible: fewer than 100 rows,,,5.099999999999998,5.6,0.22746842377904852
dental_need_combined,Dental need,same_needs,dental_need_combined__population_weighted_complete_case_fe,Population-weighted complete-case FE,weighted,infeasible: fewer than 100 rows,,,5.099999999999998,5.6,0.26108319440640987
dental_need_combined,Dental need,same_needs,dental_need_combined__balanced_outcome_fe,Balanced-outcome FE,balanced,infeasible: fewer than 100 rows,,,5.800000000000001,5.3,0.2656230966502461
dental_need_combined,Dental need,same_needs,dental_need_combined__ipw_complete_case_fe,IPW complete-case FE,ipw,infeasible: fewer than 100 rows,,,5.099999999999998,5.6,0.23155720437171076
dental_need_combined,Dental need,same_needs,dental_need_combined__mar_mi_full_target_fe,MAR MI full-target FE,mi,estimated,-0.2321084104574592,-0.3091756561171625,8.525000000000002,6.3999999999999995,0.0
dental_population_combined,Dental population,population,dental_population_combined__unweighted_complete_case_fe,Unweighted complete-case FE,complete-case,estimated,0.2025036998295874,0.3465928708621783,6.674999999999997,3.9,0.33987044446793097
dental_population_combined,Dental population,population,dental_population_combined__population_weighted_complete_case_fe,Population-weighted complete-case FE,weighted,estimated,0.4907323262433007,0.8399072506856489,6.674999999999997,3.9,0.3703168428660623
dental_population_combined,Dental population,population,dental_population_combined__balanced_outcome_fe,Balanced-outcome FE,balanced,estimated,0.2255686820536205,0.42348700953292634,7.275000000000002,3.8749999999999996,0.39597846302344525
dental_population_combined,Dental population,population,dental_population_combined__ipw_complete_case_fe,IPW complete-case FE,ipw,estimated,0.2203193799202092,0.3770850925557425,6.674999999999997,3.9,0.3422819376870648
dental_population_combined,Dental population,population,dental_population_combined__mar_mi_full_target_fe,MAR MI full-target FE,mi,estimated,-0.0085912517164962,-0.018354037757969156,9.399999999999999,4.3999999999999995,0.0
medical_need_combined,Medical need,same_needs,medical_need_combined__unweighted_complete_case_fe,Unweighted complete-case FE,complete-case,infeasible: fewer than 100 rows,,,5.099999999999998,3.5999999999999996,0.22746842377904852
medical_need_combined,Medical need,same_needs,medical_need_combined__population_weighted_complete_case_fe,Population-weighted complete-case FE,weighted,infeasible: fewer than 100 rows,,,5.099999999999998,3.5999999999999996,0.26108319440640987
medical_need_combined,Medical need,same_needs,medical_need_combined__balanced_outcome_fe,Balanced-outcome FE,balanced,infeasible: fewer than 100 rows,,,5.800000000000001,3.75,0.2656230966502461
medical_need_combined,Medical need,same_needs,medical_need_combined__ipw_complete_case_fe,IPW complete-case FE,ipw,infeasible: fewer than 100 rows,,,5.099999999999998,3.5999999999999996,0.23173094673816014
medical_need_combined,Medical need,same_needs,medical_need_combined__mar_mi_full_target_fe,MAR MI full-target FE,mi,estimated,0.0941995060628876,0.22944308262460483,8.525000000000002,3.5,0.0
medical_population_combined,Medical population,population,medical_population_combined__unweighted_complete_case_fe,Unweighted complete-case FE,complete-case,estimated,0.1775206244380783,0.47876774469663524,6.674999999999997,2.475,0.34014990295010766
medical_population_combined,Medical population,population,medical_population_combined__population_weighted_complete_case_fe,Population-weighted complete-case FE,weighted,estimated,0.3040611920354956,0.820043820944215,6.674999999999997,2.475,0.3705650040044156
medical_population_combined,Medical population,population,medical_population_combined__balanced_outcome_fe,Balanced-outcome FE,balanced,estimated,0.1536393161908131,0.4706214843318593,7.275000000000002,2.375,0.39622538071227165
medical_population_combined,Medical population,population,medical_population_combined__ipw_complete_case_fe,IPW complete-case FE,ipw,estimated,0.213556817594942,0.5759562656348433,6.674999999999997,2.475,0.3427652398994531
medical_population_combined,Medical population,population,medical_population_combined__mar_mi_full_target_fe,MAR MI full-target FE,mi,estimated,-0.0117290879906428,-0.03341012942789161,9.399999999999999,3.3,0.0
medical_population_cost,Medical cost,population,medical_population_cost__unweighted_complete_case_fe,Unweighted complete-case FE,complete-case,estimated,0.1825241527185897,1.1333476459503125,6.674999999999997,1.075,0.34014990295010766
medical_population_cost,Medical cost,population,medical_population_cost__population_weighted_complete_case_fe,Population-weighted complete-case FE,weighted,estimated,0.2993063160224453,1.858483404139369,6.674999999999997,1.075,0.3705650040044156
medical_population_cost,Medical cost,population,medical_population_cost__balanced_outcome_fe,Balanced-outcome FE,balanced,estimated,0.145815085791763,0.9643679537591602,7.275000000000002,1.0999999999999999,0.39622538071227165
medical_population_cost,Medical cost,population,medical_population_cost__ipw_complete_case_fe,IPW complete-case FE,ipw,estimated,0.2303723475659694,1.4304515534910187,6.674999999999997,1.075,0.3432932628198203
medical_population_cost,Medical cost,population,medical_population_cost__mar_mi_full_target_fe,MAR MI full-target FE,mi,estimated,0.0194819749222789,0.09638450751022191,9.399999999999999,1.9000000000000001,0.0
medical_population_distance,Medical distance,population,medical_population_distance__unweighted_complete_case_fe,Unweighted complete-case FE,complete-case,estimated,0.0084227657521593,0.2811098069783165,6.674999999999997,0.2,0.34014990295010766
medical_population_distance,Medical distance,population,medical_population_distance__population_weighted_complete_case_fe,Population-weighted complete-case FE,weighted,estimated,0.0180876552867922,0.6036754951966894,6.674999999999997,0.2,0.3705650040044156
medical_population_distance,Medical distance,population,medical_population_distance__balanced_outcome_fe,Balanced-outcome FE,balanced,estimated,0.0113433328014824,0.41261373065392243,7.275000000000002,0.2,0.39622538071227165
medical_population_distance,Medical distance,population,medical_population_distance__ipw_complete_case_fe,IPW complete-case FE,ipw,estimated,0.0067657232724051,0.2258060142165201,6.674999999999997,0.2,0.34273444351201354
