Figures quality report
Checks: PDF opens, has at least one page, has extractable English text or a descriptive filename, and is not trivially blank by file size.

D:/Luigi Vanvitelli/Thesis/Pre/thesis-scope-eurostat-health/figures/08b_minus_08_difference_by_country.pdf | REVIEW | little/no extractable text
D:/Luigi Vanvitelli/Thesis/Pre/thesis-scope-eurostat-health/figures/08b_vs_08_scatter.pdf | REVIEW | little/no extractable text
D:/Luigi Vanvitelli/Thesis/Pre/thesis-scope-eurostat-health/figures/citizenship_gap_correlations.pdf | REVIEW | axis/title text not clearly detected as English
D:/Luigi Vanvitelli/Thesis/Pre/thesis-scope-eurostat-health/figures/citizenship_unmet_need_comparison.pdf | OK | caption-ready; nonblank PDF detected
D:/Luigi Vanvitelli/Thesis/Pre/thesis-scope-eurostat-health/figures/citizenship_unmet_need_heatmap.pdf | OK | caption-ready; nonblank PDF detected
D:/Luigi Vanvitelli/Thesis/Pre/thesis-scope-eurostat-health/figures/citizenship_unmet_need_trend.pdf | OK | caption-ready; nonblank PDF detected
D:/Luigi Vanvitelli/Thesis/Pre/thesis-scope-eurostat-health/figures/complete_case_attrition_waterfall.pdf | OK | caption-ready; nonblank PDF detected
D:/Luigi Vanvitelli/Thesis/Pre/thesis-scope-eurostat-health/figures/conceptual_selection_estimand_diagram.pdf | OK | caption-ready; nonblank PDF detected
D:/Luigi Vanvitelli/Thesis/Pre/thesis-scope-eurostat-health/figures/convergence_sigma.pdf | OK | caption-ready; nonblank PDF detected
D:/Luigi Vanvitelli/Thesis/Pre/thesis-scope-eurostat-health/figures/descriptive_country_rankings.pdf | OK | caption-ready; nonblank PDF detected
D:/Luigi Vanvitelli/Thesis/Pre/thesis-scope-eurostat-health/figures/descriptive_country_rankings_latest.pdf | OK | caption-ready; nonblank PDF detected
D:/Luigi Vanvitelli/Thesis/Pre/thesis-scope-eurostat-health/figures/descriptive_country_year_heatmap.pdf | OK | caption-ready; nonblank PDF detected
D:/Luigi Vanvitelli/Thesis/Pre/thesis-scope-eurostat-health/figures/descriptive_estimand_drift_diagnostic.pdf | OK | caption-ready; nonblank PDF detected
D:/Luigi Vanvitelli/Thesis/Pre/thesis-scope-eurostat-health/figures/descriptive_eu_trend.pdf | OK | caption-ready; nonblank PDF detected
D:/Luigi Vanvitelli/Thesis/Pre/thesis-scope-eurostat-health/figures/descriptive_trend_europe.pdf | OK | caption-ready; nonblank PDF detected
D:/Luigi Vanvitelli/Thesis/Pre/thesis-scope-eurostat-health/figures/descriptive_trend_with_bands.pdf | OK | caption-ready; nonblank PDF detected
D:/Luigi Vanvitelli/Thesis/Pre/thesis-scope-eurostat-health/figures/leave_one_country_out_poverty.pdf | OK | caption-ready; nonblank PDF detected
D:/Luigi Vanvitelli/Thesis/Pre/thesis-scope-eurostat-health/figures/leave_one_year_out_poverty.pdf | OK | caption-ready; nonblank PDF detected
D:/Luigi Vanvitelli/Thesis/Pre/thesis-scope-eurostat-health/figures/mi_coefficient_distribution.pdf | OK | caption-ready; nonblank PDF detected
D:/Luigi Vanvitelli/Thesis/Pre/thesis-scope-eurostat-health/figures/mi_imputed_share_heatmap_baseline.pdf | OK | caption-ready; nonblank PDF detected
