imputation,variant,term,coef,se,p_value,nobs,countries
1,baseline,log_gdp_per_capita,-1.7961434094200999,1.794797887576647,0.31694784323249514,608,37
1,baseline,unemployment_rate_pc,-0.0037705269820164436,0.03137548604666048,0.90434507813413,608,37
1,baseline,poverty_or_social_exclusion_pc,-0.02372077762545124,0.010446269970284916,0.023162637652255832,608,37
1,baseline,government_health_expenditure_gdp_pc,-0.07102859783336515,0.049999436357449044,0.15543657760197374,608,37
1,baseline,compulsory_health_financing_gdp_pc,0.09017598538831971,0.053737378289012844,0.09333015445980841,608,37
2,baseline,log_gdp_per_capita,-1.5927849290721663,1.397973680599046,0.2545561231502287,608,37
2,baseline,unemployment_rate_pc,-0.018659166470179525,0.03219272010924767,0.5621788219027508,608,37
2,baseline,poverty_or_social_exclusion_pc,-0.02671702525468535,0.008952126071982551,0.0028410391723726986,608,37
2,baseline,government_health_expenditure_gdp_pc,-0.05514629558740103,0.06754819268212242,0.41427181069493724,608,37
2,baseline,compulsory_health_financing_gdp_pc,0.013478964440692118,0.0367584212730058,0.7138498821354984,608,37
3,baseline,log_gdp_per_capita,-2.695589598950578,0.8545509498318508,0.0016083230148172226,608,37
3,baseline,unemployment_rate_pc,-0.002165600856576376,0.04477435737975345,0.9614237673609071,608,37
3,baseline,poverty_or_social_exclusion_pc,-0.02306191652479066,0.013270733876572564,0.08224559322809864,608,37
3,baseline,government_health_expenditure_gdp_pc,0.0017852429661933782,0.09156739318091861,0.9844450353376861,608,37
3,baseline,compulsory_health_financing_gdp_pc,0.037125556616076485,0.041351903973779774,0.3692945414850758,608,37
4,baseline,log_gdp_per_capita,-2.707826581767469,1.2580638417003522,0.03136774222502951,608,37
4,baseline,unemployment_rate_pc,-0.0021052501141121116,0.03954177176652085,0.9575397547818039,608,37
4,baseline,poverty_or_social_exclusion_pc,-0.01657073715998669,0.010263366189291618,0.1064077736252629,608,37
4,baseline,government_health_expenditure_gdp_pc,-0.05725682965830833,0.04520702412512613,0.20531724346263192,608,37
4,baseline,compulsory_health_financing_gdp_pc,0.05007021272498646,0.051833912084681376,0.334057178446589,608,37
5,baseline,log_gdp_per_capita,-3.0795463515071697,2.306560819596921,0.1818355324445322,608,37
5,baseline,unemployment_rate_pc,-0.0019473000994310007,0.03695010031149811,0.9579702961512844,608,37
