imputation,variant,term,coef,se,p_value,nobs,countries
1,country_dummies_pmm,log_gdp_per_capita,-0.617604659534594,2.0398019724873686,0.7620599852452703,608,37
1,country_dummies_pmm,unemployment_rate_pc,-0.06943409988134261,0.07457104749443155,0.35179491950514274,608,37
1,country_dummies_pmm,poverty_or_social_exclusion_pc,0.26026381922350744,0.06264188291704512,3.255875589194593e-05,608,37
1,country_dummies_pmm,government_health_expenditure_gdp_pc,-0.35068365730538453,0.35686676453244404,0.3257679574640425,608,37
1,country_dummies_pmm,compulsory_health_financing_gdp_pc,-0.7730592322256502,0.5006922204251703,0.12259295634265657,608,37
2,country_dummies_pmm,log_gdp_per_capita,0.21372266118227784,2.2471189411957138,0.9242277455426331,608,37
2,country_dummies_pmm,unemployment_rate_pc,-0.12491294802114758,0.08283966087328881,0.1315831404266971,608,37
2,country_dummies_pmm,poverty_or_social_exclusion_pc,0.3203681931416169,0.07655912511160529,2.8568709895975735e-05,608,37
2,country_dummies_pmm,government_health_expenditure_gdp_pc,-0.636368672090557,0.3286123757381843,0.05280246892712012,608,37
2,country_dummies_pmm,compulsory_health_financing_gdp_pc,-0.32334271468008885,0.324615432602435,0.31921161393925623,608,37
3,country_dummies_pmm,log_gdp_per_capita,-2.0822981359317243,2.4117516111257005,0.3879194493431706,608,37
3,country_dummies_pmm,unemployment_rate_pc,-0.10234519590562322,0.08318318416681644,0.21856262472671173,608,37
3,country_dummies_pmm,poverty_or_social_exclusion_pc,0.18464852162973872,0.0712160645331883,0.00952000196951885,608,37
3,country_dummies_pmm,government_health_expenditure_gdp_pc,-0.588770237514674,0.30958900232260844,0.057199894690543825,608,37
3,country_dummies_pmm,compulsory_health_financing_gdp_pc,-0.6291375921893446,0.38776610623480195,0.10470345902871044,608,37
4,country_dummies_pmm,log_gdp_per_capita,-1.2252230592683322,2.225576147028117,0.581963108416786,608,37
4,country_dummies_pmm,unemployment_rate_pc,-0.13779829378114095,0.08317278923192227,0.09756571269101649,608,37
4,country_dummies_pmm,poverty_or_social_exclusion_pc,0.2664595824669347,0.0715436652357075,0.00019575474809980655,608,37
4,country_dummies_pmm,government_health_expenditure_gdp_pc,-0.8330212855837762,0.2788792767549831,0.0028170036076590643,608,37
4,country_dummies_pmm,compulsory_health_financing_gdp_pc,-0.297648825097954,0.2849964641017837,0.2963027685165688,608,37
5,country_dummies_pmm,log_gdp_per_capita,-0.03205619216150679,2.1831495612304668,0.9882847138837478,608,37
5,country_dummies_pmm,unemployment_rate_pc,-0.10818354572615604,0.08040237912515316,0.17845521343321136,608,37
5,country_dummies_pmm,poverty_or_social_exclusion_pc,0.282931481126249,0.09308308568440457,0.002369252112356998,608,37
5,country_dummies_pmm,government_health_expenditure_gdp_pc,-0.47428648112967936,0.28805673023093975,0.09966009252621212,608,37
5,country_dummies_pmm,compulsory_health_financing_gdp_pc,-0.6210199337204891,0.31927013892713935,0.051760084643072246,608,37
6,country_dummies_pmm,log_gdp_per_capita,-1.3966663953022447,2.5896075594238663,0.5896556155337044,608,37
6,country_dummies_pmm,unemployment_rate_pc,-0.10478321368146432,0.08335799886979096,0.20874403940980046,608,37
6,country_dummies_pmm,poverty_or_social_exclusion_pc,0.23578127107866803,0.08535002776817595,0.0057356816308767366,608,37
6,country_dummies_pmm,government_health_expenditure_gdp_pc,-0.7025967830766556,0.3878984394175358,0.07009588557980498,608,37
6,country_dummies_pmm,compulsory_health_financing_gdp_pc,-0.28044225705809356,0.37715634865227693,0.4571364803187268,608,37
7,country_dummies_pmm,log_gdp_per_capita,-0.3336627307104957,2.1506414493624635,0.8767064704849279,608,37
7,country_dummies_pmm,unemployment_rate_pc,-0.08997609089367727,0.06577325409363768,0.17132026510480014,608,37
7,country_dummies_pmm,poverty_or_social_exclusion_pc,0.28233079447839865,0.06678866467035241,2.365897763704038e-05,608,37
7,country_dummies_pmm,government_health_expenditure_gdp_pc,-0.3272393336818382,0.35163634386262316,0.35205087247110756,608,37
7,country_dummies_pmm,compulsory_health_financing_gdp_pc,-0.6959012521657411,0.37329113983727646,0.06228914495082398,608,37
8,country_dummies_pmm,log_gdp_per_capita,-0.6302229515351231,2.1736970728642864,0.7718687486792486,608,37
8,country_dummies_pmm,unemployment_rate_pc,-0.11746903494925168,0.07823972445406709,0.1332524224811887,608,37
8,country_dummies_pmm,poverty_or_social_exclusion_pc,0.28898213082566937,0.07259854393861273,6.875601325001243e-05,608,37
8,country_dummies_pmm,government_health_expenditure_gdp_pc,-0.39625696609739947,0.3136055237343734,0.2063907803868672,608,37
8,country_dummies_pmm,compulsory_health_financing_gdp_pc,-0.7719878240591294,0.32589648368262203,0.01784527404876519,608,37
9,country_dummies_pmm,log_gdp_per_capita,-2.7041749847154146,2.376749538570905,0.25521993333429716,608,37
9,country_dummies_pmm,unemployment_rate_pc,-0.0917433954159862,0.08313530161162778,0.2697913490998082,608,37
9,country_dummies_pmm,poverty_or_social_exclusion_pc,0.15071948622963527,0.07068494726370611,0.03298454785674178,608,37
9,country_dummies_pmm,government_health_expenditure_gdp_pc,-0.5045985223719622,0.3707437026790624,0.17349975919114002,608,37
9,country_dummies_pmm,compulsory_health_financing_gdp_pc,-0.6003290647723006,0.46979406775553195,0.2013002823877682,608,37
10,country_dummies_pmm,log_gdp_per_capita,-1.5017949060853941,2.536289503602417,0.553768343485157,608,37
10,country_dummies_pmm,unemployment_rate_pc,-0.07675955580168077,0.08172110525508887,0.34758351173140056,608,37
10,country_dummies_pmm,poverty_or_social_exclusion_pc,0.21905166244655977,0.08607221478662493,0.010928546176202696,608,37
10,country_dummies_pmm,government_health_expenditure_gdp_pc,-0.43021504498050095,0.31282450124548583,0.1690508315336836,608,37
10,country_dummies_pmm,compulsory_health_financing_gdp_pc,-0.6869086133451676,0.4015328981644221,0.08713361702892791,608,37
11,country_dummies_pmm,log_gdp_per_capita,-1.7041173001980638,2.2945833498392805,0.45768173872600837,608,37
11,country_dummies_pmm,unemployment_rate_pc,-0.09134150530696344,0.07530157191951443,0.22512627369489924,608,37
11,country_dummies_pmm,poverty_or_social_exclusion_pc,0.2014316884438719,0.06984284095107259,0.003925706563742174,608,37
11,country_dummies_pmm,government_health_expenditure_gdp_pc,-0.5295860578795613,0.35014034305723085,0.13040759182846956,608,37
11,country_dummies_pmm,compulsory_health_financing_gdp_pc,-0.591353070425916,0.411202250396371,0.15040353417550262,608,37
12,country_dummies_pmm,log_gdp_per_capita,-0.36646551501167934,2.3098843421904367,0.8739438269234991,608,37
12,country_dummies_pmm,unemployment_rate_pc,-0.1264057136652165,0.08616377291714121,0.14236513573323956,608,37
12,country_dummies_pmm,poverty_or_social_exclusion_pc,0.31760537903711017,0.07572888122329778,2.7410270656537127e-05,608,37
12,country_dummies_pmm,government_health_expenditure_gdp_pc,-0.5374380842625603,0.30426631873216536,0.07733865115971061,608,37
12,country_dummies_pmm,compulsory_health_financing_gdp_pc,-0.4452104277055746,0.28989334528289806,0.12459401724182753,608,37
13,country_dummies_pmm,log_gdp_per_capita,-1.1651559808203324,2.349884682096105,0.6200105558461191,608,37
13,country_dummies_pmm,unemployment_rate_pc,-0.10960310436864666,0.07224067823004689,0.12921777781253996,608,37
13,country_dummies_pmm,poverty_or_social_exclusion_pc,0.25951303153690863,0.07066148743501337,0.0002400731663429007,608,37
13,country_dummies_pmm,government_health_expenditure_gdp_pc,-0.706827331426344,0.26472016065730913,0.007583034011815585,608,37
13,country_dummies_pmm,compulsory_health_financing_gdp_pc,-0.35419104270364055,0.36378687756298084,0.3302440738725759,608,37
14,country_dummies_pmm,log_gdp_per_capita,0.533815760503659,2.4106164289011125,0.8247469888532152,608,37
14,country_dummies_pmm,unemployment_rate_pc,-0.12979011241746424,0.07812578978328426,0.09665388360840707,608,37
14,country_dummies_pmm,poverty_or_social_exclusion_pc,0.35820113616748905,0.08876883041752992,5.455279172995893e-05,608,37
14,country_dummies_pmm,government_health_expenditure_gdp_pc,-0.8367275841956062,0.3430057754747196,0.01471175742836313,608,37
14,country_dummies_pmm,compulsory_health_financing_gdp_pc,-0.2769202916653245,0.3659700679608685,0.4492447753435891,608,37
15,country_dummies_pmm,log_gdp_per_capita,-0.8639926010514769,2.6464346466462665,0.7440656157559196,608,37
15,country_dummies_pmm,unemployment_rate_pc,-0.1131572153505421,0.08448148094334164,0.1804300147191802,608,37
15,country_dummies_pmm,poverty_or_social_exclusion_pc,0.25478876715865595,0.08465414799131446,0.0026145319208102035,608,37
15,country_dummies_pmm,government_health_expenditure_gdp_pc,-0.5221982548838742,0.29586311750305644,0.07756384950567928,608,37
15,country_dummies_pmm,compulsory_health_financing_gdp_pc,-0.7383843845383424,0.3495349291735702,0.03464558463901603,608,37
16,country_dummies_pmm,log_gdp_per_capita,-0.9647465904134438,2.392177184610687,0.6867332204714456,608,37
16,country_dummies_pmm,unemployment_rate_pc,-0.10806636099438591,0.09021669986012157,0.23097417893620487,608,37
16,country_dummies_pmm,poverty_or_social_exclusion_pc,0.24942330527912562,0.08992424263891906,0.005542194019297667,608,37
16,country_dummies_pmm,government_health_expenditure_gdp_pc,-0.8534523264084458,0.4024041017546273,0.03393158521544244,608,37
16,country_dummies_pmm,compulsory_health_financing_gdp_pc,-0.3089969750414983,0.3091295178473885,0.31751804776075576,608,37
17,country_dummies_pmm,log_gdp_per_capita,-0.8575780717866525,2.1528636790327895,0.6903774038584596,608,37
17,country_dummies_pmm,unemployment_rate_pc,-0.0743948307574184,0.07839104024890003,0.3426093648565295,608,37
17,country_dummies_pmm,poverty_or_social_exclusion_pc,0.24040631421667108,0.05662384609227733,2.1793862634307735e-05,608,37
17,country_dummies_pmm,government_health_expenditure_gdp_pc,-0.4693227061913354,0.4145837795462054,0.25762037174860797,608,37
17,country_dummies_pmm,compulsory_health_financing_gdp_pc,-0.5387395708075471,0.4147679449199054,0.19398032912181606,608,37
18,country_dummies_pmm,log_gdp_per_capita,-1.5996220737570235,2.585077462391519,0.5360542034191527,608,37
18,country_dummies_pmm,unemployment_rate_pc,-0.0929509274542583,0.07504049531825563,0.21546517997229153,608,37
18,country_dummies_pmm,poverty_or_social_exclusion_pc,0.22220149693227503,0.0729476892739071,0.0023187785730843973,608,37
18,country_dummies_pmm,government_health_expenditure_gdp_pc,-0.6901704384223808,0.3005404341071591,0.021651237101961714,608,37
18,country_dummies_pmm,compulsory_health_financing_gdp_pc,-0.5325097381308481,0.42405335382258375,0.20920257174702828,608,37
19,country_dummies_pmm,log_gdp_per_capita,-0.6240678994944596,2.584112432065552,0.8091661928530867,608,37
19,country_dummies_pmm,unemployment_rate_pc,-0.14629954609216228,0.07464288494145999,0.04999658638494023,608,37
19,country_dummies_pmm,poverty_or_social_exclusion_pc,0.2825653854705731,0.07367331550762583,0.00012536875146517288,608,37
19,country_dummies_pmm,government_health_expenditure_gdp_pc,-0.6308659657820803,0.3668788044647513,0.08551451073806825,608,37
19,country_dummies_pmm,compulsory_health_financing_gdp_pc,-0.4547441325474566,0.4582859580552428,0.32106506212385266,608,37
