imputation,variant,term,coef,se,p_value,nobs,countries
1,lagged_predictors_pmm,log_gdp_per_capita,-3.732931048903475,2.0929570143521796,0.07449389759524899,608,37
1,lagged_predictors_pmm,unemployment_rate_pc,0.0654944347862239,0.060834936072347,0.2816623645985876,608,37
1,lagged_predictors_pmm,poverty_or_social_exclusion_pc,-0.03557004750108291,0.04480051921379561,0.42721576483540014,608,37
1,lagged_predictors_pmm,government_health_expenditure_gdp_pc,-0.5343843810103988,0.34550858578741106,0.12194520323697812,608,37
1,lagged_predictors_pmm,compulsory_health_financing_gdp_pc,-0.0030015431745905458,0.25103053019941546,0.9904600134017505,608,37
2,lagged_predictors_pmm,log_gdp_per_capita,-3.993808603609475,2.075505370425501,0.054322204571414456,608,37
2,lagged_predictors_pmm,unemployment_rate_pc,0.0529249783493206,0.06345169314208951,0.40422533580143793,608,37
2,lagged_predictors_pmm,poverty_or_social_exclusion_pc,-0.04064699930545982,0.058285680446680706,0.48556789691408075,608,37
2,lagged_predictors_pmm,government_health_expenditure_gdp_pc,-0.4653803655168897,0.36918918204352386,0.20747205569493077,608,37
2,lagged_predictors_pmm,compulsory_health_financing_gdp_pc,-0.11701507852910067,0.2925770257330652,0.6891961207179598,608,37
3,lagged_predictors_pmm,log_gdp_per_capita,-3.6735475867208565,2.1955937445662705,0.09429867474517,608,37
3,lagged_predictors_pmm,unemployment_rate_pc,0.07763984743885893,0.06423901878973683,0.22681314988517487,608,37
3,lagged_predictors_pmm,poverty_or_social_exclusion_pc,-0.04780022637783943,0.04619652988309439,0.3008021909791936,608,37
3,lagged_predictors_pmm,government_health_expenditure_gdp_pc,-0.5235309531818729,0.37645670407634796,0.16432236902865438,608,37
3,lagged_predictors_pmm,compulsory_health_financing_gdp_pc,0.05629674098127645,0.20993272198939666,0.7885718284231911,608,37
4,lagged_predictors_pmm,log_gdp_per_capita,-3.6590584164737283,1.938932165843009,0.059139974297387085,608,37
4,lagged_predictors_pmm,unemployment_rate_pc,0.11438162840125897,0.06551109572434399,0.08081292723264769,608,37
