imputation,variant,term,coef,se,p_value,nobs,countries
1,no_outcome,log_gdp_per_capita,-3.239744190914522,1.3713276322829842,0.018152760704781848,608,37
1,no_outcome,unemployment_rate_pc,0.042682313553869936,0.024451982101817073,0.08088806612255485,608,37
1,no_outcome,poverty_or_social_exclusion_pc,-0.015047816283482375,0.009825457014610484,0.12564262748688118,608,37
1,no_outcome,government_health_expenditure_gdp_pc,-0.07684433858997228,0.04992777658555021,0.12377745212100466,608,37
1,no_outcome,compulsory_health_financing_gdp_pc,-0.01842566149878734,0.03507457831837099,0.5993551281803537,608,37
2,no_outcome,log_gdp_per_capita,-0.8779144615171743,1.387060421618513,0.526778268872232,608,37
2,no_outcome,unemployment_rate_pc,0.030879783357708992,0.03686556062252693,0.402237261280873,608,37
2,no_outcome,poverty_or_social_exclusion_pc,-0.022758348209118533,0.008731747964844588,0.009150197579809024,608,37
2,no_outcome,government_health_expenditure_gdp_pc,-0.14361082198026925,0.049424372216729774,0.0036646993634781785,608,37
2,no_outcome,compulsory_health_financing_gdp_pc,0.045847915318553215,0.0523101012874056,0.3807778939624664,608,37
3,no_outcome,log_gdp_per_capita,-3.154052526504448,2.2682413454079056,0.1643686797866475,608,37
3,no_outcome,unemployment_rate_pc,0.025781940644568957,0.023579429067974063,0.27421462320624457,608,37
3,no_outcome,poverty_or_social_exclusion_pc,-0.025275284450229207,0.01007168299374794,0.012088875755338853,608,37
3,no_outcome,government_health_expenditure_gdp_pc,-0.11511551270634614,0.036468376498461234,0.0015962861795239263,608,37
3,no_outcome,compulsory_health_financing_gdp_pc,-0.04537887993411834,0.06832127147511229,0.5065633305086674,608,37
4,no_outcome,log_gdp_per_capita,-1.671612471065556,0.9991299170285539,0.09431387495810743,608,37
4,no_outcome,unemployment_rate_pc,0.022494145819426426,0.035711340204489087,0.5287678433366968,608,37
4,no_outcome,poverty_or_social_exclusion_pc,-0.014170624745938089,0.011512329085423573,0.21835705501759672,608,37
4,no_outcome,government_health_expenditure_gdp_pc,0.012682445312910837,0.039739251899211535,0.7496191990136162,608,37
4,no_outcome,compulsory_health_financing_gdp_pc,-0.07412097713508375,0.06159864323476742,0.22886445834788305,608,37
5,no_outcome,log_gdp_per_capita,-2.9403726136316495,2.3057306692797943,0.20222236838111696,608,37
5,no_outcome,unemployment_rate_pc,-0.005442333712834094,0.03955678191660439,0.8905701319147393,608,37
5,no_outcome,poverty_or_social_exclusion_pc,-0.019873834655719014,0.012381091658667425,0.10845501591301343,608,37
5,no_outcome,government_health_expenditure_gdp_pc,-0.0189116465670554,0.05988139467854658,0.7521403472662364,608,37
