imputation,variant,term,coef,se,p_value,nobs,countries
1,no_outcome_pmm,log_gdp_per_capita,-4.06289212840617,1.9442683008933903,0.03664685318945308,608,37
1,no_outcome_pmm,unemployment_rate_pc,-0.0020706514769543646,0.07449988724997902,0.9778264341779185,608,37
1,no_outcome_pmm,poverty_or_social_exclusion_pc,0.009032119516845724,0.03574877762678355,0.8005345629035776,608,37
1,no_outcome_pmm,government_health_expenditure_gdp_pc,0.009235615463794977,0.35235096261741744,0.9790887153301006,608,37
1,no_outcome_pmm,compulsory_health_financing_gdp_pc,-0.015770508552598622,0.18613941340444157,0.9324806748418009,608,37
2,no_outcome_pmm,log_gdp_per_capita,-4.429177012873706,1.9948286608362737,0.026396405777946753,608,37
2,no_outcome_pmm,unemployment_rate_pc,0.015701477801517764,0.07685183961410064,0.8381124918023289,608,37
2,no_outcome_pmm,poverty_or_social_exclusion_pc,-0.02284966338876518,0.04540449173368682,0.6147907923271683,608,37
2,no_outcome_pmm,government_health_expenditure_gdp_pc,-0.15035159513262938,0.23550731823393917,0.52320304256509,608,37
2,no_outcome_pmm,compulsory_health_financing_gdp_pc,0.035462154404210494,0.14071593084241238,0.8010315069750252,608,37
3,no_outcome_pmm,log_gdp_per_capita,-4.725734231692566,2.204498775573628,0.032058743233105993,608,37
3,no_outcome_pmm,unemployment_rate_pc,0.04960281818867625,0.05368524378227027,0.35550907851683866,608,37
3,no_outcome_pmm,poverty_or_social_exclusion_pc,-0.07364110428637308,0.04618095477171375,0.11079709114727554,608,37
3,no_outcome_pmm,government_health_expenditure_gdp_pc,-0.11915140762107079,0.2174429689868018,0.5837150793488286,608,37
3,no_outcome_pmm,compulsory_health_financing_gdp_pc,-0.20203232753936784,0.13941254631476913,0.1472904180800949,608,37
4,no_outcome_pmm,log_gdp_per_capita,-4.5681394318836395,1.9984934661372615,0.022266457607448074,608,37
4,no_outcome_pmm,unemployment_rate_pc,0.003408494616938401,0.07376248527722006,0.9631436266596034,608,37
4,no_outcome_pmm,poverty_or_social_exclusion_pc,-0.02871798240510902,0.041641035073927454,0.49041065196658595,608,37
4,no_outcome_pmm,government_health_expenditure_gdp_pc,0.022748001915027294,0.20004220560661617,0.9094629188755524,608,37
4,no_outcome_pmm,compulsory_health_financing_gdp_pc,-0.17239338869396062,0.16858600334044097,0.30650446819391997,608,37
5,no_outcome_pmm,log_gdp_per_capita,-4.452451260729999,1.8928216058932092,0.018658594969909747,608,37
5,no_outcome_pmm,unemployment_rate_pc,0.037965121118163254,0.07399190876287223,0.6078825746472486,608,37
5,no_outcome_pmm,poverty_or_social_exclusion_pc,-0.059342804987851674,0.03784796612341335,0.11689843491571907,608,37
5,no_outcome_pmm,government_health_expenditure_gdp_pc,-0.1497528058340622,0.26811862223797833,0.5764812217976112,608,37
5,no_outcome_pmm,compulsory_health_financing_gdp_pc,-0.10013070759222575,0.1051635855511374,0.3410247737779829,608,37
6,no_outcome_pmm,log_gdp_per_capita,-4.365242717972148,2.100884889740447,0.037726727111728885,608,37
6,no_outcome_pmm,unemployment_rate_pc,0.03146043475662666,0.060712558009414455,0.6043280745938359,608,37
6,no_outcome_pmm,poverty_or_social_exclusion_pc,-0.042977903408687276,0.037757976928418875,0.25501736424819277,608,37
6,no_outcome_pmm,government_health_expenditure_gdp_pc,-0.6203852413588393,0.20717635434624349,0.00274913984055794,608,37
6,no_outcome_pmm,compulsory_health_financing_gdp_pc,0.16594745089962853,0.15474751335390075,0.2835513819250254,608,37
7,no_outcome_pmm,log_gdp_per_capita,-3.6965370199430243,2.0263094197096465,0.06811114903839931,608,37
7,no_outcome_pmm,unemployment_rate_pc,0.011499042058655526,0.06488438686862628,0.8593327900114592,608,37
7,no_outcome_pmm,poverty_or_social_exclusion_pc,0.01564207278065421,0.027686801153328812,0.5720975910344591,608,37
7,no_outcome_pmm,government_health_expenditure_gdp_pc,-0.1679811246514145,0.3196968202318695,0.5992781629529331,608,37
7,no_outcome_pmm,compulsory_health_financing_gdp_pc,-0.08114437000719762,0.1488609965440536,0.585683630253727,608,37
8,no_outcome_pmm,log_gdp_per_capita,-4.303176837348289,2.0166959366252613,0.032861143788358096,608,37
8,no_outcome_pmm,unemployment_rate_pc,0.041137884241104386,0.05998155868868172,0.4928126211482554,608,37
8,no_outcome_pmm,poverty_or_social_exclusion_pc,-0.03753509652079863,0.04440230497389345,0.3979203797700064,608,37
8,no_outcome_pmm,government_health_expenditure_gdp_pc,-0.0410955874653344,0.23912360157719012,0.8635482341373416,608,37
8,no_outcome_pmm,compulsory_health_financing_gdp_pc,-0.18895163812226656,0.1502533270773173,0.20855318095470243,608,37
9,no_outcome_pmm,log_gdp_per_capita,-4.2652681387834495,2.1405493491661614,0.04630477854223876,608,37
9,no_outcome_pmm,unemployment_rate_pc,0.019773017741677355,0.06644853361984693,0.7660322061458679,608,37
9,no_outcome_pmm,poverty_or_social_exclusion_pc,-0.020788977494088846,0.03715359547583882,0.5757922360886936,608,37
9,no_outcome_pmm,government_health_expenditure_gdp_pc,0.0368771083318174,0.38752765458847527,0.9241877888456584,608,37
9,no_outcome_pmm,compulsory_health_financing_gdp_pc,-0.07052937139267498,0.2151691317793609,0.7430736759716594,608,37
10,no_outcome_pmm,log_gdp_per_capita,-4.531885101425051,1.7858661103567268,0.011160275152370518,608,37
10,no_outcome_pmm,unemployment_rate_pc,0.03308065007808948,0.06899811923419112,0.6316236659054042,608,37
10,no_outcome_pmm,poverty_or_social_exclusion_pc,-0.053913426591903804,0.03923462940929569,0.16940176029319232,608,37
10,no_outcome_pmm,government_health_expenditure_gdp_pc,-0.15250604743338958,0.19848477957458127,0.44227847784690455,608,37
10,no_outcome_pmm,compulsory_health_financing_gdp_pc,-0.1286490019063336,0.14327128115881707,0.36921758378092695,608,37
11,no_outcome_pmm,log_gdp_per_capita,-4.262380855353729,2.0540927694213322,0.03798029251125786,608,37
11,no_outcome_pmm,unemployment_rate_pc,0.011058631525718843,0.060535550237047084,0.8550491455474534,608,37
11,no_outcome_pmm,poverty_or_social_exclusion_pc,-0.011324247525161646,0.026932562830063244,0.674144504583422,608,37
11,no_outcome_pmm,government_health_expenditure_gdp_pc,-0.13800762653230877,0.26515134426508924,0.6027247150960355,608,37
11,no_outcome_pmm,compulsory_health_financing_gdp_pc,0.04628758327055976,0.16509363852814363,0.779192350639784,608,37
12,no_outcome_pmm,log_gdp_per_capita,-3.875506721611508,2.2660225531538205,0.08721625602267255,608,37
