specification,interpretation,term,coef,se,p_value,ci_low,ci_high,nobs,countries,years,status,dropped_country
Leave out AT,country influence,poverty_or_social_exclusion_pc,0.17738855904930653,0.0674293907669435,0.008520155485712309,0.045229381646619604,0.30954773645199346,272,29,10,estimated,AT
Leave out BE,country influence,poverty_or_social_exclusion_pc,0.17082801659515584,0.06869444482074769,0.012890484844789177,0.03618937880851633,0.3054666543817953,273,29,10,estimated,BE
Leave out BG,country influence,poverty_or_social_exclusion_pc,0.1704933424711979,0.07219728722561894,0.018201546770382396,0.028989259727491057,0.31199742521490476,273,29,10,estimated,BG
Leave out CH,country influence,poverty_or_social_exclusion_pc,0.17948910548860364,0.06864482592025144,0.008929260798744324,0.04494771895988925,0.31403049201731803,272,29,10,estimated,CH
Leave out CY,country influence,poverty_or_social_exclusion_pc,0.17711070242314816,0.06640971689359168,0.007654543184625641,0.04695004908820727,0.30727135575808906,273,29,10,estimated,CY
Leave out CZ,country influence,poverty_or_social_exclusion_pc,0.17776668042544783,0.07042936109302814,0.011601399677077403,0.03972766922894613,0.3158056916219495,272,29,10,estimated,CZ
Leave out DE,country influence,poverty_or_social_exclusion_pc,0.1867109099629824,0.07105247670543909,0.00859418290856101,0.047450614607950636,0.32597120531801416,272,29,10,estimated,DE
Leave out DK,country influence,poverty_or_social_exclusion_pc,0.17762012115787562,0.0676790061599811,0.008678920965835014,0.0449717065748482,0.3102685357409031,272,29,10,estimated,DK
Leave out EE,country influence,poverty_or_social_exclusion_pc,0.20068464125410587,0.0658284488264957,0.002299100061056746,0.0716632523960363,0.3297060301121755,272,29,10,estimated,EE
Leave out EL,country influence,poverty_or_social_exclusion_pc,0.15454157447481792,0.06765991242175666,0.022366029302779922,0.021930582931040637,0.2871525660185952,273,29,10,estimated,EL
Leave out ES,country influence,poverty_or_social_exclusion_pc,0.17617032434272656,0.06566417331900014,0.007298709758530778,0.04747090956289035,0.30486973912256277,273,29,10,estimated,ES
Leave out FI,country influence,poverty_or_social_exclusion_pc,0.179744727162814,0.06704447517695664,0.007340745894491594,0.04833997045358934,0.31114948387203867,273,29,10,estimated,FI
Leave out FR,country influence,poverty_or_social_exclusion_pc,0.15767482604388455,0.060901257055969805,0.009624834067866815,0.0383105556009679,0.2770390964868012,272,29,10,estimated,FR
Leave out HR,country influence,poverty_or_social_exclusion_pc,0.1784369906894947,0.06741657882153344,0.008126170782199366,0.04630292423838339,0.310571057140606,273,29,10,estimated,HR
Leave out HU,country influence,poverty_or_social_exclusion_pc,0.2168682287078208,0.07525950999446983,0.003956545767920101,0.0693622996245277,0.36437415779111393,272,29,10,estimated,HU
Leave out IE,country influence,poverty_or_social_exclusion_pc,0.18011285665304413,0.06952043079369165,0.009575582511489898,0.04385531610769919,0.3163703971983891,272,29,10,estimated,IE
Leave out IS,country influence,poverty_or_social_exclusion_pc,0.17420959885472398,0.06888292979051586,0.011436593624686606,0.03920153731571174,0.3092176603937362,276,29,10,estimated,IS
Leave out IT,country influence,poverty_or_social_exclusion_pc,0.1342377883750767,0.048698406699123814,0.005842130051306685,0.03879066514030992,0.22968491160984345,273,29,10,estimated,IT
Leave out LT,country influence,poverty_or_social_exclusion_pc,0.1800996616751636,0.07340413515191291,0.014145952101769207,0.036230200461103756,0.32396912288922347,272,29,10,estimated,LT
Leave out LU,country influence,poverty_or_social_exclusion_pc,0.17896936495136295,0.06875623830461512,0.00924241990259877,0.044209614161864,0.31372911574086193,272,29,10,estimated,LU
Leave out LV,country influence,poverty_or_social_exclusion_pc,0.18477319369086642,0.06781341027059441,0.0064354203988106,0.05186135189166277,0.3176850354900701,273,29,10,estimated,LV
Leave out MT,country influence,poverty_or_social_exclusion_pc,0.18252710600254865,0.06929771770030221,0.008439654348749416,0.046706075099132494,0.3183481369059648,273,29,10,estimated,MT
Leave out NL,country influence,poverty_or_social_exclusion_pc,0.17548604936144466,0.06741183385172077,0.00923598027840623,0.04336128288027391,0.3076108158426154,272,29,10,estimated,NL
Leave out NO,country influence,poverty_or_social_exclusion_pc,0.1807552472611756,0.07013673735699193,0.009960903515559371,0.04328976804832643,0.3182207264740248,274,29,10,estimated,NO
Leave out PL,country influence,poverty_or_social_exclusion_pc,0.17069441536831514,0.0680436543868192,0.012121012993474145,0.03733130339365867,0.30405752734297165,272,29,10,estimated,PL
Leave out PT,country influence,poverty_or_social_exclusion_pc,0.18288125287450963,0.07030234449229679,0.00928567043804931,0.045091189640880075,0.32067131610813915,272,29,10,estimated,PT
Leave out RO,country influence,poverty_or_social_exclusion_pc,0.18679875066583929,0.08030312563427622,0.020009464212883153,0.029407516576662712,0.34418998475501583,273,29,10,estimated,RO
Leave out SE,country influence,poverty_or_social_exclusion_pc,0.1789043570628191,0.07027519282295012,0.010903754025994068,0.04116751012322917,0.316641204002409,272,29,10,estimated,SE
Leave out SI,country influence,poverty_or_social_exclusion_pc,0.18122735984381894,0.0706589821543409,0.010323022918648596,0.04273829963705239,0.3197164200505855,272,29,10,estimated,SI
Leave out SK,country influence,poverty_or_social_exclusion_pc,0.17580108811550452,0.06882784501788049,0.01064276327673941,0.04090099074695416,0.3107011854840549,273,29,10,estimated,SK
