step,target,rows,countries,weighting,missing_data_assumption,term,coef,ci_low,ci_high,p_value,interpretation,status
Pooled complete-case,selected complete-case rows,282,30,unweighted,available covariate complete cases,poverty_or_social_exclusion_pc,0.06174914321884043,-0.06504520090429783,0.18854348734197868,0.3398270367376869,associational baseline before country FE,estimated
Country FE,selected complete-case rows,282,30,unweighted,available covariate complete cases,poverty_or_social_exclusion_pc,0.23441200748521246,0.11784671119833527,0.35097730377208963,8.098239237550307e-05,absorbs persistent country differences,estimated
Country + year FE,selected complete-case rows,282,30,unweighted,available covariate complete cases,poverty_or_social_exclusion_pc,0.17752062443807837,0.04578936472376516,0.3092518841523916,0.008260288895314718,selected-panel primary FE estimate,estimated
Population-weighted FE,selected complete-case rows,282,30,year-normalized population,available covariate complete cases,poverty_or_social_exclusion_pc,0.3040611920354954,-0.006626040113079934,0.6147484241840708,0.05509025142817865,resident-weighted selected-panel estimand,estimated
Balanced-outcome FE,balanced outcome/population country set,238,25,unweighted,available covariate complete cases,poverty_or_social_exclusion_pc,0.1536393161908131,0.05951482772225085,0.24776380465937536,0.0013778686619481144,coverage-restricted monitoring target,estimated
Full Eurostat-available FE,full Eurostat-available complete-case rows,282,30,unweighted,available covariate complete cases,poverty_or_social_exclusion_pc,0.17752062443807837,0.04578936472376516,0.3092518841523916,0.008260288895314718,full operational Europe universe,estimated
EU-27 FE,EU-27 complete-case rows,258,27,unweighted,available covariate complete cases,poverty_or_social_exclusion_pc,0.17932879257130596,0.0342954603027012,0.3243621248399107,0.01537476082264274,EU institutional universe sensitivity,estimated
Extended Europe FE,extended europe complete-case rows,282,30,unweighted,available covariate complete cases,poverty_or_social_exclusion_pc,0.17752062443807837,0.04578936472376516,0.3092518841523916,0.008260288895314718,additional country-universe sensitivity,estimated
EEA-country FE,eea-country complete-case rows,14,2,unweighted,available covariate complete cases,poverty_or_social_exclusion_pc,,,,,additional country-universe sensitivity,infeasible: fewer than 50 observations
Candidate FE,candidate complete-case rows,0,0,unweighted,available covariate complete cases,poverty_or_social_exclusion_pc,,,,,additional country-universe sensitivity,infeasible: fewer than 50 observations
Lagged covariates,outcome-observed rows with lag-complete covariates,280,30,unweighted,lagged available covariate complete cases,lag1_poverty_or_social_exclusion_pc,0.07386741888177871,-0.03457184011493744,0.18230667787849486,0.18184293759921422,temporal-ordering check,estimated
Excluding 2015,selected complete-case rows excluding 2015,252,30,unweighted,available covariate complete cases,poverty_or_social_exclusion_pc,0.09927116499764435,-0.01790325403817264,0.21644558403346134,0.09681427622435199,measurement-break diagnostic,estimated
Excluding COVID years,selected complete-case rows excluding 2020--2022,195,30,unweighted,available covariate complete cases,poverty_or_social_exclusion_pc,0.22979105556685428,0.06358702993127685,0.3959950812024317,0.006732070795979618,crisis-period sensitivity,estimated
Country trends,selected complete-case rows,282,30,unweighted,available covariate complete cases plus trends,poverty_or_social_exclusion_pc,0.12532748137179883,-0.027409183837273032,0.2780641465808707,0.10778243181372794,conservative over-control sensitivity,estimated
IPW,selected complete-case rows,282,30,stabilized truncated IPW,selection model adequate; positivity holds,poverty_or_social_exclusion_pc,0.1781618528630968,0.046112517922875046,0.3102111878033186,0.008183670101276594,"selection diagnostic, not structural correction",estimated
MAR MI,608 outcome-observed rows,608,37,unweighted,baseline PMM MAR-type sensitivity,poverty_or_social_exclusion_pc,0.013931243326432778,-0.07118345995498383,0.09904594660784939,0.7484886180745209,model-based broader target,estimated
MNAR pessimistic,608 outcome-observed rows,608,37,unweighted,PMM plus MNAR delta shift,poverty_or_social_exclusion_pc,0.010453872112121806,-0.08562827999016998,0.10653602421441358,0.831367382592807,missing rows shifted toward worse macro-social conditions,estimated
MNAR optimistic,608 outcome-observed rows,608,37,unweighted,PMM plus MNAR delta shift,poverty_or_social_exclusion_pc,0.010111497267161394,-0.08600563733582275,0.10622863187014556,0.8368813801486494,missing rows shifted toward less severe macro-social conditions,estimated
