imputation,variant,term,coef,se,p_value,nobs,countries
1,baseline_pmm,poverty_or_social_exclusion_pc,0.0396492376083317,0.0524150721529034,0.4493810830674062,608,37
2,baseline_pmm,poverty_or_social_exclusion_pc,-0.0077438867596423,0.0379911042103192,0.8384830573682114,608,37
3,baseline_pmm,poverty_or_social_exclusion_pc,0.0143120134735722,0.0403423534153087,0.722766422358029,608,37
4,baseline_pmm,poverty_or_social_exclusion_pc,0.041473040533441,0.03233189627065,0.1995872577178665,608,37
5,baseline_pmm,poverty_or_social_exclusion_pc,0.0056564793505275,0.0356996284996294,0.8741050153588535,608,37
6,baseline_pmm,poverty_or_social_exclusion_pc,0.0043940690121361,0.0282955461612872,0.8765912041580334,608,37
7,baseline_pmm,poverty_or_social_exclusion_pc,-0.0004852933420789,0.0399189327304033,0.990300378764512,608,37
8,baseline_pmm,poverty_or_social_exclusion_pc,0.0118674931234431,0.0349077694599553,0.7338813048012883,608,37
9,baseline_pmm,poverty_or_social_exclusion_pc,0.0442242052742741,0.0325954577551073,0.1748575588989217,608,37
10,baseline_pmm,poverty_or_social_exclusion_pc,0.0098402972331373,0.0327025325984313,0.7634882978256228,608,37
11,baseline_pmm,poverty_or_social_exclusion_pc,0.0105202531248884,0.0370710053324084,0.7765739538946935,608,37
12,baseline_pmm,poverty_or_social_exclusion_pc,0.0151271138462227,0.0352154645857632,0.6675165890097388,608,37
13,baseline_pmm,poverty_or_social_exclusion_pc,-0.0022051594799951,0.0317051885515776,0.9445502376472996,608,37
14,baseline_pmm,poverty_or_social_exclusion_pc,0.0100819177679259,0.0338289563927021,0.7656831118801122,608,37
15,baseline_pmm,poverty_or_social_exclusion_pc,0.009239726344943,0.032325586514116,0.7750058664714329,608,37
16,baseline_pmm,poverty_or_social_exclusion_pc,0.0042298889667975,0.0385527503417166,0.9126338824080936,608,37
17,baseline_pmm,poverty_or_social_exclusion_pc,-0.0136825976781387,0.0303276353506794,0.6518746710259649,608,37
18,baseline_pmm,poverty_or_social_exclusion_pc,0.0180855860233859,0.0375143946850173,0.6297368725758599,608,37
19,baseline_pmm,poverty_or_social_exclusion_pc,0.0831899514593159,0.0486942615624972,0.0875595769175434,608,37
20,baseline_pmm,poverty_or_social_exclusion_pc,0.015419240201935,0.046996402202368,0.7428405483269815,608,37
21,baseline_pmm,poverty_or_social_exclusion_pc,-0.0179323592412043,0.0386900957553217,0.6430152785406196,608,37
22,baseline_pmm,poverty_or_social_exclusion_pc,-0.0003255273103313,0.0405454790213839,0.9935940965323276,608,37
23,baseline_pmm,poverty_or_social_exclusion_pc,0.0156351720820011,0.0403021145122598,0.6980536459297739,608,37
24,baseline_pmm,poverty_or_social_exclusion_pc,0.0381183696052828,0.0320258538853923,0.2339530906191712,608,37
25,baseline_pmm,poverty_or_social_exclusion_pc,0.0088684446954137,0.0337855940724625,0.7929422313019289,608,37
26,baseline_pmm,poverty_or_social_exclusion_pc,0.010187968662217,0.043468002546787,0.8146910871505143,608,37
27,baseline_pmm,poverty_or_social_exclusion_pc,0.0413191454675184,0.0477985625622219,0.3873444345704557,608,37
28,baseline_pmm,poverty_or_social_exclusion_pc,0.0084862180931369,0.0432555005526597,0.8444628762979671,608,37
29,baseline_pmm,poverty_or_social_exclusion_pc,0.0142973541884227,0.0324778288735137,0.6597785703583358,608,37
30,baseline_pmm,poverty_or_social_exclusion_pc,-0.0139110625338968,0.0317705930308478,0.6614879862816954,608,37
