variable,label,observed_n,missing_n,missing_pct,first_observed_year,last_observed_year,countries_observed,lower_bound,upper_bound,imputed_n,imputed_min,imputed_max,outside_bounds,observed_mean,imputed_mean,observed_p05,imputed_p05,observed_p95,imputed_p95
log_gdp_per_capita,Log GDP,604,4,0.6578947368421052,2008,2025,36,7.0,12.3,4,9.311090275076326,10.07280829715283,0,10.073280130872783,9.668225226688678,8.714477082836265,9.342541023524497,11.308419551020664,10.027123113049122
unemployment_rate_pc,Unemployment,556,52,8.552631578947368,2008,2025,34,0.0,40.0,52,3.2,17.6,0,8.64658273381295,7.530769230769231,3.4,3.6,18.325000000000003,15.089999999999998
poverty_or_social_exclusion_pc,Poverty/social exclusion,375,233,38.32236842105263,2015,2025,36,0.0,60.0,233,10.7,53.9,0,22.83253333333333,24.80515021459228,13.58,15.28,39.23,41.08
government_health_expenditure_gdp_pc,Government health expenditure,502,106,17.434210526315788,2008,2025,30,0.0,15.0,106,1.9,8.9,0,6.281872509960159,5.580188679245283,3.005,2.5,8.795,7.975
compulsory_health_financing_gdp_pc,Compulsory financing,444,164,26.973684210526315,2008,2024,33,0.0,15.0,164,2.75,9.67,0,6.524752252252251,5.551036585365854,3.992,3.43,9.374,8.49
gini_income,Gini,409,199,32.73026315789473,2014,2025,37,0.0,60.0,199,21.2,44.8,0,30.26234718826406,30.287437185929647,23.7,23.7,38.4,39.71
physicians_per_100k,Physicians,431,177,29.111842105263158,2008,2024,29,0.0,1000.0,177,219.11,544.6,0,358.74201856148494,355.4989265536723,240.42,246.342,467.22,457.112
hospital_beds_per_100k,Hospital beds,522,86,14.144736842105262,2008,2024,34,0.0,1500.0,86,200.23,880.59,0,488.3322030651341,480.6056976744187,246.412,260.4175,779.202,767.855
oop_health_expenditure_share_pc,OOP share,444,164,26.973684210526315,2008,2024,33,0.0,60.0,164,8.39,47.74,0,20.654324324324325,25.867500000000003,10.1925,10.0505,38.36949999999997,44.249
long_term_unemployment_rate_pc,Long-term unemployment,554,54,8.881578947368421,2008,2025,34,0.0,30.0,54,0.5,13.4,0,3.849458483754512,3.331481481481481,0.7650000000000002,0.7,12.4,9.979999999999997
