variant,variable,country_group,period,source,n,mean,sd,min,p05,median,p95,max
baseline_pmm,log_gdp_per_capita,All,All,Observed,604,10.073280130872783,0.768194537523333,8.202482446576537,8.714477082836265,10.102707547359328,11.308419551020663,11.777594763112935
baseline_pmm,log_gdp_per_capita,All,All,Imputed where missing,4,9.668225226688678,0.3281164902620786,9.311090275076326,9.342541023524495,9.644501167262778,10.027123113049122,10.07280829715283
baseline_pmm,log_gdp_per_capita,Eastern/Southern,All,Observed,365,9.58554860273054,0.5402912409800055,8.202482446576537,8.587082346280148,9.680344001221918,10.345731822781918,10.649227183215244
baseline_pmm,log_gdp_per_capita,Eastern/Southern,All,Imputed where missing,4,9.668225226688678,0.3281164902620786,9.311090275076326,9.342541023524495,9.644501167262778,10.027123113049122,10.07280829715283
baseline_pmm,log_gdp_per_capita,Western/Northern,All,Observed,239,10.818142088077465,0.35597178196276413,10.237098556876308,10.381986034378022,10.72524780056405,11.50403551104038,11.777594763112935
baseline_pmm,log_gdp_per_capita,Western/Northern,All,Imputed where missing,0,,,,,,,
baseline_pmm,log_gdp_per_capita,All,2015-onward,Observed,373,10.159554931333874,0.7667039525485689,8.318742252692399,8.785070511516372,10.170073661693175,11.407243909000472,11.777594763112935
baseline_pmm,log_gdp_per_capita,All,2015-onward,Imputed where missing,4,9.668225226688678,0.3281164902620786,9.311090275076326,9.342541023524495,9.644501167262778,10.027123113049122,10.07280829715283
baseline_pmm,log_gdp_per_capita,All,pre-2015,Observed,231,9.933970604587124,0.751549294739557,8.202482446576537,8.627791219504243,10.00604414086122,11.129097266831216,11.437770791369468
baseline_pmm,log_gdp_per_capita,All,pre-2015,Imputed where missing,0,,,,,,,
baseline_pmm,log_gdp_per_capita,Eastern/Southern,2015-onward,Observed,232,9.689103266331637,0.5371189848689738,8.318742252692399,8.666729954154185,9.771098364490385,10.416174007322127,10.649227183215244
baseline_pmm,log_gdp_per_capita,Eastern/Southern,2015-onward,Imputed where missing,4,9.668225226688678,0.3281164902620786,9.311090275076326,9.342541023524495,9.644501167262778,10.027123113049122,10.07280829715283
baseline_pmm,log_gdp_per_capita,Eastern/Southern,pre-2015,Observed,133,9.404911896298552,0.498380365777744,8.202482446576537,8.52107763115821,9.425451751593128,10.13168336007036,10.23135141462074
baseline_pmm,log_gdp_per_capita,Eastern/Southern,pre-2015,Imputed where missing,0,,,,,,,
baseline_pmm,log_gdp_per_capita,Western/Northern,2015-onward,Observed,141,10.933631429777277,0.34014786276112063,10.41030515490458,10.503422351373894,10.844665999918062,11.55703803958855,11.777594763112935
baseline_pmm,log_gdp_per_capita,Western/Northern,2015-onward,Imputed where missing,0,,,,,,,
baseline_pmm,log_gdp_per_capita,Western/Northern,pre-2015,Observed,98,10.651978851550187,0.31086638308038544,10.237098556876308,10.333295505914192,10.541385700448814,11.314999874934367,11.437770791369468
