variant,variable,observed_n,imputed_n,observed_mean,imputed_mean,observed_p05,imputed_p05,observed_p95,imputed_p95
lagged_predictors_pmm,log_gdp_per_capita,604,4,10.073280130872783,9.560672736069726,8.714477082836265,9.062444380920507,11.308419551020663,9.96737043988929
lagged_predictors_pmm,unemployment_rate_pc,556,52,8.64658273381295,8.446153846153846,3.4,4.275,18.325000000000003,16.759999999999994
lagged_predictors_pmm,poverty_or_social_exclusion_pc,375,233,22.832533333333334,24.184549356223176,13.58,16.46,39.230000000000004,35.3
lagged_predictors_pmm,government_health_expenditure_gdp_pc,502,106,6.281872509960159,6.666037735849057,3.005,5.25,8.795,8.05
lagged_predictors_pmm,compulsory_health_financing_gdp_pc,444,164,6.524752252252251,6.342743902439024,3.992,4.44,9.373999999999999,8.4525
lagged_predictors_pmm,gini_income,409,199,30.26234718826406,30.338693467336682,23.7,23.97,38.4,38.51999999999999
lagged_predictors_pmm,physicians_per_100k,431,177,358.74201856148494,354.4805649717514,240.42000000000002,232.9,467.22,514.5419999999998
lagged_predictors_pmm,hospital_beds_per_100k,522,86,488.3322030651341,468.2348837209302,246.412,252.52499999999998,779.202,731.91
lagged_predictors_pmm,oop_health_expenditure_share_pc,444,164,20.654324324324325,24.603231707317075,10.1925,10.746,38.369499999999974,42.6
lagged_predictors_pmm,long_term_unemployment_rate_pc,554,54,3.8494584837545123,3.8333333333333335,0.7650000000000002,0.9650000000000001,12.4,11.0
