feature,label,impurity_importance,permutation_mae_increase,permutation_mae_std
physicians_per_100k,Physicians per 100k,0.3723201181917082,0.48837689951938296,0.08398545878393655
gini_income,Gini,0.12420455572275996,0.04795816873063626,0.05501846268070425
poverty_or_social_exclusion_pc,Poverty or social exclusion,0.1229056791821598,0.41595505941664385,0.09867782536877191
long_term_unemployment_rate_pc,Long-term unemployment,0.10314352943362874,0.17563307776817613,0.0635730486252563
hospital_beds_per_100k,Hospital beds per 100k,0.05449053036700446,0.05894639893705308,0.040552976805712945
compulsory_health_financing_gdp_pc,Compulsory financing,0.05027793560497007,0.12041158360471137,0.0555504160319866
unemployment_rate_pc,Unemployment,0.04785588192543749,0.07425490127654032,0.027214648947222333
gdp_per_capita_eur,GDP per capita,0.04539199379955336,0.0620962006816998,0.020661256929944073
physicians_per_100k_lag1,Lagged physicians per 100k,0.02785789162697033,0.035825833698582124,0.011074102819065425
oop_health_expenditure_share_pc,Out-of-pocket spending,0.026879585207389905,0.021860587734592783,0.030338962456407364
government_health_expenditure_gdp_pc,Government health spending,0.008034166026961932,0.015285144060107485,0.015724599329042792
gdp_per_capita_growth,GDP per capita growth,0.007239280883377913,-0.04241659127588239,0.01652540330020103
unemployment_rate_change,Unemployment change,0.005496211271374117,-0.03082719314379554,0.03314588864378243
log_gdp_per_capita,Log GDP per capita,0.0039026407567037224,0.006306914850298067,0.005769995770390231
