model,fold,valid_year,mae
OLS,Fold 1,2018,2.387777375065004
OLS,Fold 2,2019,2.357436282331059
OLS,Fold 3,2020,2.4102602997107994
Ridge,Fold 1,2018,1.6261896926812962
Ridge,Fold 2,2019,1.5469362103582918
Ridge,Fold 3,2020,1.581991566159116
Lasso,Fold 1,2018,1.9547369354493753
Lasso,Fold 2,2019,1.800904748187018
Lasso,Fold 3,2020,1.9487446921199594
Random Forest,Fold 1,2018,1.5264447681947688
Random Forest,Fold 2,2019,1.5354268950956447
Random Forest,Fold 3,2020,1.182275737403622
Gradient Boosting,Fold 1,2018,1.4499448347049155
Gradient Boosting,Fold 2,2019,1.1722181370125464
Gradient Boosting,Fold 3,2020,0.9872530059475219
