variant,term,coef,se,statistic,df,p_value,imputations,mean_nobs,mean_countries,ci_low,ci_high
gdp_down10,poverty_or_social_exclusion_pc,0.010997018566832752,0.04918621976899148,0.22357925895670508,174.32074117881672,0.8233465023650137,30,608.0,37.0,-0.08540797218039053,0.10740200931405605
gdp_down20,poverty_or_social_exclusion_pc,0.011802156117396647,0.049285476339480896,0.23946519327728089,174.19383772167114,0.8110264142748749,30,608.0,37.0,-0.08479737750798591,0.1084016897427792
gdp_down5,poverty_or_social_exclusion_pc,0.010693163278888163,0.049140838428650364,0.21760237759097278,174.31084603764438,0.8279934417743093,30,608.0,37.0,-0.08562288004126654,0.10700920659904288
mnar_optimistic_combo,poverty_or_social_exclusion_pc,0.010111497267161394,0.04903935438927763,0.20619148422908795,174.7405618646914,0.8368813801486494,30,608.0,37.0,-0.08600563733582275,0.10622863187014556
mnar_pessimistic_combo,poverty_or_social_exclusion_pc,0.010453872112121806,0.049021506174638664,0.2132507327473779,184.08626729375277,0.831367382592807,30,608.0,37.0,-0.08562827999016998,0.10653602421441358
poverty_plus10,poverty_or_social_exclusion_pc,0.006795624282378722,0.048852485475037594,0.1391049854740987,209.76094659581258,0.8895006501322467,30,608.0,37.0,-0.08895524724869497,0.1025464958134524
poverty_plus2,poverty_or_social_exclusion_pc,0.01032733128064401,0.049082627721847794,0.2104070576491788,175.70892292042723,0.8335937799784419,30,608.0,37.0,-0.08587461905417768,0.10652928161546568
poverty_plus5,poverty_or_social_exclusion_pc,0.00958497492927812,0.048959353795476425,0.19577413070684194,185.1502036970168,0.8450016527094579,30,608.0,37.0,-0.08637535850985567,0.10554530836841192
unemployment_plus2,poverty_or_social_exclusion_pc,0.010752540429763587,0.04906487974652155,0.21914943000600928,173.25707884620184,0.8267916031830591,30,608.0,37.0,-0.08541462387341865,0.10691970473294583
unemployment_plus5,poverty_or_social_exclusion_pc,0.01130349148680238,0.04885394846189892,0.23137314060946262,172.27800496561204,0.8172995021370013,30,608.0,37.0,-0.08445024749851951,0.10705723047212426
