variant,term,coef,se,statistic,df,p_value,imputations,mean_nobs,mean_countries,poverty_shift_pp,ci_low,ci_high,complete_case_coef,distance_from_complete_case,tipping_point_shift_estimate_pp,tipping_point_status,closest_grid_shift_pp,closest_grid_coef
poverty_shift_-10,poverty_or_social_exclusion_pc,0.01916643980116067,0.04920325795128014,0.3895359900789254,197.18996720012018,0.6973000647600438,30,608.0,37.0,-10.0,-0.0772719457833484,0.11560482538566974,0.17752062443807837,0.1583541846369177,,not reached within grid,-5.0,0.019166439801161245
poverty_shift_-5,poverty_or_social_exclusion_pc,0.019166439801161245,0.049203257951280985,0.38953599007893047,197.18996720010136,0.69730006476004,30,608.0,37.0,-5.0,-0.07727194578334949,0.11560482538567197,0.17752062443807837,0.1583541846369171,,not reached within grid,-5.0,0.019166439801161245
poverty_shift_0,poverty_or_social_exclusion_pc,0.019166439801161072,0.04920325795128082,0.38953599007892825,197.18996720010475,0.6973000647600416,30,608.0,37.0,0.0,-0.07727194578334932,0.11560482538567148,0.17752062443807837,0.1583541846369173,,not reached within grid,-5.0,0.019166439801161245
poverty_shift_2,poverty_or_social_exclusion_pc,0.019021686993697183,0.04917983939868212,0.3867781437734201,198.38560396783953,0.6993350142207737,30,608.0,37.0,2.0,-0.07737079822771978,0.11541417221511413,0.17752062443807837,0.15849893744438118,,not reached within grid,-5.0,0.019166439801161245
poverty_shift_5,poverty_or_social_exclusion_pc,0.01809276406069766,0.04899931893297074,0.3692452151314163,206.19661561775254,0.7123238532846079,30,608.0,37.0,5.0,-0.07794590104792498,0.11413142916932031,0.17752062443807837,0.15942786037738071,,not reached within grid,-5.0,0.019166439801161245
poverty_shift_10,poverty_or_social_exclusion_pc,0.015077534423762402,0.04849290555898094,0.3109224792773842,229.15638182466617,0.7561421915279047,30,608.0,37.0,10.0,-0.07996856047184024,0.11012362931936505,0.17752062443807837,0.16244309001431598,,not reached within grid,-5.0,0.019166439801161245
poverty_shift_15,poverty_or_social_exclusion_pc,0.008108278534497894,0.04767147873951879,0.17008657480088357,301.53046994240435,0.8650561126597416,30,608.0,37.0,15.0,-0.08532781979495893,0.10154437686395473,0.17752062443807837,0.16941234590358048,,not reached within grid,-5.0,0.019166439801161245
poverty_shift_20,poverty_or_social_exclusion_pc,-0.013554865516059899,0.04827135914304204,-0.28080554922625856,688.3476768251357,0.7789439259487883,30,608.0,37.0,20.0,-0.1081667294364223,0.0810569984043025,0.17752062443807837,0.19107548995413826,,not reached within grid,-5.0,0.019166439801161245
poverty_shift_25,poverty_or_social_exclusion_pc,-0.0614953132745619,0.05303736013442673,-1.1594716086678885,2962.4182162803277,0.24635744736853482,30,608.0,37.0,25.0,-0.1654485391380383,0.0424579125889145,0.17752062443807837,0.23901593771264026,,not reached within grid,-5.0,0.019166439801161245
poverty_shift_30,poverty_or_social_exclusion_pc,-0.12581089574527352,0.057564327871331214,-2.185570480845155,15953.570030077048,0.02886153344771425,30,608.0,37.0,30.0,-0.23863697837308268,-0.012984813117464342,0.17752062443807837,0.30333152018335185,,not reached within grid,-5.0,0.019166439801161245
poverty_shift_40,poverty_or_social_exclusion_pc,-0.2062365372294694,0.06075239856199609,-3.394706087513745,391807.6191688703,0.0006870911822129955,30,608.0,37.0,40.0,-0.32531123841098175,-0.08716183604795709,0.17752062443807837,0.3837571616675478,,not reached within grid,-5.0,0.019166439801161245
