indicator_id,indicator_label,variable,included_n,excluded_n,included_mean,excluded_mean,smd,status,complete_case_rows,excluded_rows
dental_need_combined,Dental need,outcome_value_pc,93,61,6.182795698924731,7.965573770491804,-0.30055423833027517,estimated,93,61
dental_need_combined,Dental need,log_gdp_per_capita,93,59,10.472823112767335,10.096861485214513,0.532165550551276,estimated,93,61
dental_need_combined,Dental need,unemployment_rate_pc,93,55,5.8741935483870975,7.134545454545453,-0.44358252671346987,estimated,93,61
dental_need_combined,Dental need,poverty_or_social_exclusion_pc,93,61,20.304301075268818,24.360655737704917,-0.63007208390125,estimated,93,61
dental_need_combined,Dental need,government_health_expenditure_gdp_pc,93,14,6.6688172043010745,6.492857142857143,0.12247336080062904,estimated,93,61
dental_need_combined,Dental need,compulsory_health_financing_gdp_pc,93,5,6.886774193548387,6.228,0.4859729182687225,estimated,93,61
dental_need_combined,Dental need,physicians_per_100k,71,7,413.7414084507042,326.73428571428576,1.1871979039646674,estimated,93,61
dental_need_combined,Dental need,hospital_beds_per_100k,77,12,477.29402597402594,429.00916666666654,0.3193017345217705,estimated,93,61
dental_population_combined,Dental population,outcome_value_pc,282,325,3.7290780141843967,5.197538461538462,-0.39806238180377507,estimated,282,325
dental_population_combined,Dental population,log_gdp_per_capita,282,322,10.308027703529472,9.867693747365994,0.6021002230965127,estimated,282,325
dental_population_combined,Dental population,unemployment_rate_pc,282,274,6.863829787234042,10.481386861313869,-0.7551282975172088,estimated,282,325
dental_population_combined,Dental population,poverty_or_social_exclusion_pc,282,93,20.99964539007092,28.39032258064516,-0.9026334029850999,estimated,282,325
dental_population_combined,Dental population,government_health_expenditure_gdp_pc,282,220,6.372695035460993,6.165454545454546,0.12646170958774872,estimated,282,325
dental_population_combined,Dental population,compulsory_health_financing_gdp_pc,282,162,6.54113475177305,6.496234567901235,0.025839056852435562,estimated,282,325
dental_population_combined,Dental population,physicians_per_100k,236,195,385.83025423728816,325.95830769230764,0.9067163673698581,estimated,282,325
dental_population_combined,Dental population,hospital_beds_per_100k,265,257,481.1434339622641,495.74474708171203,-0.08559237293233964,estimated,282,325
medical_need_combined,Medical need,outcome_value_pc,93,61,3.6225806451612907,4.967213114754099,-0.3193955071424259,estimated,93,61
medical_need_combined,Medical need,log_gdp_per_capita,93,59,10.472823112767335,10.096861485214513,0.532165550551276,estimated,93,61
medical_need_combined,Medical need,unemployment_rate_pc,93,55,5.8741935483870975,7.134545454545453,-0.44358252671346987,estimated,93,61
medical_need_combined,Medical need,poverty_or_social_exclusion_pc,93,61,20.304301075268818,24.360655737704917,-0.63007208390125,estimated,93,61
medical_need_combined,Medical need,government_health_expenditure_gdp_pc,93,14,6.6688172043010745,6.492857142857143,0.12247336080062904,estimated,93,61
medical_need_combined,Medical need,compulsory_health_financing_gdp_pc,93,5,6.886774193548387,6.228,0.4859729182687225,estimated,93,61
medical_need_combined,Medical need,physicians_per_100k,71,7,413.7414084507042,326.73428571428576,1.1871979039646674,estimated,93,61
medical_need_combined,Medical need,hospital_beds_per_100k,77,12,477.29402597402594,429.00916666666654,0.3193017345217705,estimated,93,61
medical_population_combined,Medical population,outcome_value_pc,282,326,2.625886524822695,3.8546012269938656,-0.36761414673831766,estimated,282,326
medical_population_combined,Medical population,log_gdp_per_capita,282,322,10.308027703529472,9.867693747365994,0.6021002230965127,estimated,282,326
medical_population_combined,Medical population,unemployment_rate_pc,282,274,6.863829787234042,10.481386861313869,-0.7551282975172088,estimated,282,326
medical_population_combined,Medical population,poverty_or_social_exclusion_pc,282,93,20.99964539007092,28.39032258064516,-0.9026334029850999,estimated,282,326
medical_population_combined,Medical population,government_health_expenditure_gdp_pc,282,220,6.372695035460993,6.165454545454546,0.12646170958774872,estimated,282,326
medical_population_combined,Medical population,compulsory_health_financing_gdp_pc,282,162,6.54113475177305,6.496234567901235,0.025839056852435562,estimated,282,326
medical_population_combined,Medical population,physicians_per_100k,236,195,385.83025423728816,325.95830769230764,0.9067163673698581,estimated,282,326
medical_population_combined,Medical population,hospital_beds_per_100k,265,257,481.1434339622641,495.74474708171203,-0.08559237293233964,estimated,282,326
medical_population_cost,Medical cost,outcome_value_pc,282,326,1.122695035460993,2.495705521472393,-0.5213727457146355,estimated,282,326
medical_population_cost,Medical cost,log_gdp_per_capita,282,322,10.308027703529472,9.867693747365994,0.6021002230965127,estimated,282,326
medical_population_cost,Medical cost,unemployment_rate_pc,282,274,6.863829787234042,10.481386861313869,-0.7551282975172088,estimated,282,326
medical_population_cost,Medical cost,poverty_or_social_exclusion_pc,282,93,20.99964539007092,28.39032258064516,-0.9026334029850999,estimated,282,326
medical_population_cost,Medical cost,government_health_expenditure_gdp_pc,282,220,6.372695035460993,6.165454545454546,0.12646170958774872,estimated,282,326
medical_population_cost,Medical cost,compulsory_health_financing_gdp_pc,282,162,6.54113475177305,6.496234567901235,0.025839056852435562,estimated,282,326
