indicator_id,indicator_label,dataset_code,care_type,barrier_type,denominator,universe,year,countries,unweighted_mean_pc,population_weighted_mean_pc,population_weighted_countries
dental_need_combined,"Dental, need denominator",hlth_silc_09b,dental,cost_distance_waiting,same_needs,EU-27,2021,24,6.008,5.384,24
dental_need_combined,"Dental, need denominator",hlth_silc_09b,dental,cost_distance_waiting,same_needs,EU-27,2022,24,6.513,5.733,24
dental_need_combined,"Dental, need denominator",hlth_silc_09b,dental,cost_distance_waiting,same_needs,EU-27,2023,24,6.6,5.897,24
dental_need_combined,"Dental, need denominator",hlth_silc_09b,dental,cost_distance_waiting,same_needs,EU-27,2024,27,6.793,6.08,27
dental_need_combined,"Dental, need denominator",hlth_silc_09b,dental,cost_distance_waiting,same_needs,EU-27,2025,27,6.752,6.192,27
dental_need_combined,"Dental, need denominator",hlth_silc_09b,dental,cost_distance_waiting,same_needs,Full Eurostat-available,2021,30,6.777,5.41,30
dental_need_combined,"Dental, need denominator",hlth_silc_09b,dental,cost_distance_waiting,same_needs,Full Eurostat-available,2022,31,6.79,5.591,31
dental_need_combined,"Dental, need denominator",hlth_silc_09b,dental,cost_distance_waiting,same_needs,Full Eurostat-available,2023,31,7.235,5.642,31
dental_need_combined,"Dental, need denominator",hlth_silc_09b,dental,cost_distance_waiting,same_needs,Full Eurostat-available,2024,32,6.95,5.73,32
dental_need_combined,"Dental, need denominator",hlth_silc_09b,dental,cost_distance_waiting,same_needs,Full Eurostat-available,2025,30,6.68,5.534,30
dental_population_combined,"Dental, population denominator",hlth_silc_09,dental,cost_distance_waiting,population,EU-27,2008,26,4.688,4.876,26
dental_population_combined,"Dental, population denominator",hlth_silc_09,dental,cost_distance_waiting,population,EU-27,2009,26,4.846,4.956,26
dental_population_combined,"Dental, population denominator",hlth_silc_09,dental,cost_distance_waiting,population,EU-27,2010,27,4.989,4.921,27
dental_population_combined,"Dental, population denominator",hlth_silc_09,dental,cost_distance_waiting,population,EU-27,2011,27,5.256,5.103,27
dental_population_combined,"Dental, population denominator",hlth_silc_09,dental,cost_distance_waiting,population,EU-27,2012,27,5.344,5.308,27
