imputation,coef,se,p_value,nobs,countries
1,-0.0004301044537350551,0.0009192886745311041,0.6398799998279274,422,30
2,0.00027432821606622064,0.0006001521995234251,0.6476007922274366,422,30
3,-0.0010338753987200197,0.0009622410129290881,0.2826231183157927,422,30
4,3.666292622454357e-05,0.0005613758060380473,0.9479279288737708,422,30
5,0.00016772111077515596,0.0007433490151240148,0.8214899670910951,422,30
6,0.0010070428618855077,0.0010574100668468863,0.34091069341848257,422,30
7,8.1991323529471e-05,0.0014687049515750635,0.9554807471902427,422,30
8,-0.0004593276701114206,0.0006929138926153958,0.507399176656302,422,30
9,0.0008758478916687539,0.0009478973368530828,0.35549139521531736,422,30
10,0.000946988946473036,0.0008895403933354219,0.2870649988861802,422,30
