geo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AL,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
AT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
CY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CZ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HR,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IS,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
IT,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
LT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ME,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0
MK,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
MT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RS,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
SE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
UK,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
XK,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
