geo,non_missing_years,first_year,last_year,missing_years
XK,2,2018,2019,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2020, 2021, 2022, 2023, 2024, 2025"
AL,7,2017,2023,"2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2024, 2025"
ME,11,2013,2023,"2008, 2009, 2010, 2011, 2012, 2024, 2025"
UK,11,2008,2018,"2019, 2020, 2021, 2022, 2023, 2024, 2025"
IS,13,2008,2020,"2021, 2022, 2023, 2024, 2025"
RS,13,2013,2025,"2008, 2009, 2010, 2011, 2012"
MK,15,2010,2024,"2008, 2009, 2025"
HR,16,2010,2025,"2008, 2009"
CH,17,2008,2024,2025
IT,17,2008,2025,2020
AT,18,2008,2025,none
BE,18,2008,2025,none
BG,18,2008,2025,none
CY,18,2008,2025,none
CZ,18,2008,2025,none
DE,18,2008,2025,none
DK,18,2008,2025,none
EE,18,2008,2025,none
EL,18,2008,2025,none
ES,18,2008,2025,none
FI,18,2008,2025,none
FR,18,2008,2025,none
HU,18,2008,2025,none
IE,18,2008,2025,none
LT,18,2008,2025,none
LU,18,2008,2025,none
LV,18,2008,2025,none
MT,18,2008,2025,none
NL,18,2008,2025,none
NO,18,2008,2025,none
PL,18,2008,2025,none
PT,18,2008,2025,none
RO,18,2008,2025,none
SE,18,2008,2025,none
SI,18,2008,2025,none
SK,18,2008,2025,none
TR,18,2008,2025,none
