,unmet_need_pc,gdp_per_capita_eur,log_gdp_per_capita,unemployment_rate_pc,long_term_unemployment_rate_pc,poverty_or_social_exclusion_pc,gini_income,government_health_expenditure_gdp_pc,compulsory_health_financing_gdp_pc,oop_health_expenditure_share_pc,physicians_per_100k,hospital_beds_per_100k
unmet_need_pc,1.0,-0.40062175910304676,-0.5009739881561597,0.3580222792582439,0.3126286476123097,0.43300230529267425,0.2835446448181184,-0.292535947077892,-0.4237412529233947,0.37497985925105815,-0.30353876380436906,0.058340363553958
gdp_per_capita_eur,-0.40062175910304676,1.0,0.9110439449142752,-0.4456357241764269,-0.43960535611187584,-0.5146409620544092,-0.3952402570104387,0.06424711757974445,0.36426214395803186,-0.5119252149960912,0.23111152418588754,-0.34117386081503404
log_gdp_per_capita,-0.5009739881561597,0.9110439449142752,1.0,-0.550830517313566,-0.5757191516602866,-0.7229791162711565,-0.5258778375984123,0.25829838036549607,0.562007460982938,-0.5739350320174968,0.2729038278110768,-0.3612670180967747
unemployment_rate_pc,0.3580222792582439,-0.4456357241764269,-0.550830517313566,1.0,0.921604561834489,0.6307829925893282,0.4367089963410597,-0.10804058121874688,-0.23096987231298954,0.35795486435415375,-0.23352535813045477,-0.12553244434546001
long_term_unemployment_rate_pc,0.3126286476123097,-0.43960535611187584,-0.5757191516602866,0.921604561834489,1.0,0.6267122712339632,0.3200945588645316,-0.16759972196139955,-0.3193307369784795,0.4104523217689491,-0.2326297203621456,-0.02418396419703932
poverty_or_social_exclusion_pc,0.43300230529267425,-0.5146409620544092,-0.7229791162711565,0.6307829925893282,0.6267122712339632,1.0,0.7320291260856001,-0.4176016341933425,-0.4748445564868512,0.5728606725930243,-0.23995342635219816,0.16610614813023933
gini_income,0.2835446448181184,-0.3952402570104387,-0.5258778375984123,0.4367089963410597,0.3200945588645316,0.7320291260856001,1.0,-0.45549993714550496,-0.42074020120228933,0.6072680537456416,0.04024672256573525,0.07136193424543226
government_health_expenditure_gdp_pc,-0.292535947077892,0.06424711757974445,0.25829838036549607,-0.10804058121874688,-0.16759972196139955,-0.4176016341933425,-0.45549993714550496,1.0,0.7131481796615377,-0.5682299013358125,0.17511773745278944,-0.12520150945640815
compulsory_health_financing_gdp_pc,-0.4237412529233947,0.36426214395803186,0.562007460982938,-0.23096987231298954,-0.3193307369784795,-0.4748445564868512,-0.42074020120228933,0.7131481796615377,1.0,-0.6382424463625412,0.24167866637535632,-0.1766172734304043
oop_health_expenditure_share_pc,0.37497985925105815,-0.5119252149960912,-0.5739350320174968,0.35795486435415375,0.4104523217689491,0.5728606725930243,0.6072680537456416,-0.5682299013358125,-0.6382424463625412,1.0,0.06000234738937943,0.14170246898763675
physicians_per_100k,-0.30353876380436906,0.23111152418588754,0.2729038278110768,-0.23352535813045477,-0.2326297203621456,-0.23995342635219816,0.04024672256573525,0.17511773745278944,0.24167866637535632,0.06000234738937943,1.0,0.04868987700302938
hospital_beds_per_100k,0.058340363553958,-0.34117386081503404,-0.3612670180967747,-0.12553244434546001,-0.02418396419703932,0.16610614813023933,0.07136193424543226,-0.12520150945640815,-0.1766172734304043,0.14170246898763675,0.04868987700302938,1.0
