year,unweighted_mean,population_weighted_mean,countries,population_covered
2008,3.441935483870967,4.203300150419364,31,579566340.0
2009,3.3580645161290326,4.4412658718116536,31,582538021.0
2010,3.9696969696969697,4.689924818492782,33,591246460.0
2011,4.0,4.3894964880254514,33,592437807.0
2012,3.86969696969697,4.216929491847161,33,594805768.0
2013,4.21470588235294,4.482616458328858,34,603205762.0
2014,4.1257142857142854,4.270607272318101,35,606663039.0
2015,3.494285714285714,3.6158321688248782,35,608970818.0
2016,3.0228571428571422,2.651788565048233,35,611718540.0
2017,2.822222222222222,2.00761690358207,36,616898120.0
2018,3.2621621621621624,2.336073273701446,37,620807781.0
2019,2.9722222222222228,1.982985451994053,36,556615321.0
2020,2.5,1.7226914566254123,34,497246007.0
2021,2.4411764705882355,1.9174687874633147,34,555834589.0
2022,2.7058823529411766,1.9860607080796666,34,556889399.0
2023,3.185294117647059,2.2341887222231267,34,559129700.0
2024,2.928125,2.293426004840409,32,557806115.0
2025,2.67,2.1209320394486935,30,548474038.0
