specification,interpretation,term,coef,se,p_value,ci_low,ci_high,nobs,countries,years,status
Baseline complete-case FE,selected panel,poverty_or_social_exclusion_pc,0.17752062443807837,0.06721106140387914,0.008260288895314718,0.04578936472376516,0.3092518841523916,282,30,10,estimated
Population-weighted CC FE,resident-weighted selected panel,poverty_or_social_exclusion_pc,0.3040611920354954,0.15851680673687712,0.05509025142817865,-0.006626040113079934,0.6147484241840708,282,30,10,estimated
Lagged covariates,temporal ordering check,lag1_poverty_or_social_exclusion_pc,0.07386741888177871,0.05532716919906243,0.18184293759921422,-0.03457184011493744,0.18230667787849486,280,30,10,estimated
Excluding COVID years,crisis-period sensitivity; excludes 2020-2022,poverty_or_social_exclusion_pc,0.22979105556685428,0.08479953047432176,0.006732070795979618,0.06358702993127685,0.3959950812024317,195,30,7,estimated
Excluding 2015,2015 measurement-change diagnostic,poverty_or_social_exclusion_pc,0.09927116499764435,0.059783965399402166,0.09681427622435199,-0.01790325403817264,0.21644558403346134,252,30,9,estimated
2016 onward,post-2015 restriction,poverty_or_social_exclusion_pc,0.09927116499764435,0.059783965399402166,0.09681427622435199,-0.01790325403817264,0.21644558403346134,252,30,9,estimated
2016-2019,pre-COVID period,poverty_or_social_exclusion_pc,0.16883104221749842,0.09968604902296344,0.0903360733157886,-0.026550023628604147,0.364212108063601,120,30,4,estimated
2020-2024,COVID/post-COVID period,poverty_or_social_exclusion_pc,0.07791941750991135,0.10226194776056725,0.4460844394602843,-0.12251031708971691,0.2783491521095396,132,30,5,estimated
Excluding high-unmet countries,"influence check; dropped EE, EL, LV",poverty_or_social_exclusion_pc,0.18862228945552953,0.06671634241477051,0.004695293263668259,0.057860661142337316,0.31938391776872177,254,27,10,estimated
Excluding low-unmet countries,"influence check; dropped DE, MT, NL",poverty_or_social_exclusion_pc,0.19128817611233162,0.07456982817554106,0.010310976117035619,0.04513399855493097,0.3374423536697323,253,27,10,estimated
Leave-one-country-out range,"country influence; min drops IT, max drops HU",poverty_or_social_exclusion_pc,0.1786706738761569,,,0.1342377883750767,0.2168682287078208,272,29,10,estimated range
Country-specific trends,conservative over-control sensitivity,poverty_or_social_exclusion_pc,0.12532748137179883,0.07792830195546407,0.10778243181372794,-0.027409183837273032,0.2780641465808707,282,30,10,estimated
MI full target,model-based broader target,poverty_or_social_exclusion_pc,0.013931243326432778,0.04342586902113092,0.7484886180745209,-0.07118345995498383,0.09904594660784939,608,37,18,estimated
