year,countries,mean_unmet_need_pc,median_unmet_need_pc,min_unmet_need_pc,p25_unmet_need_pc,p75_unmet_need_pc,max_unmet_need_pc
2008,31,3.442,1.7,0.2,0.7,5.3,15.3
2009,31,3.358,2.1,0.2,1.1,4.0,14.9
2010,33,3.97,1.9,0.1,1.1,5.2,16.4
2011,33,4.0,2.2,0.1,1.1,5.9,16.1
2012,33,3.87,2.3,0.1,1.3,5.7,12.4
2013,35,4.334,3.0,0.0,1.4,7.7,13.8
2014,35,4.126,3.3,0.1,1.35,6.3,12.5
2015,35,3.494,2.6,0.1,1.0,4.55,12.7
2016,35,3.023,2.3,0.2,0.85,3.45,15.3
2017,36,2.822,2.15,0.1,1.0,3.35,13.1
2018,37,3.262,2.1,0.1,1.2,4.2,16.4
2019,36,2.972,1.8,0.0,1.0,4.225,15.5
2020,34,2.5,1.7,0.0,0.55,2.775,13.0
2021,34,2.441,1.7,0.1,1.0,2.875,10.7
2022,34,2.706,1.95,0.2,1.0,3.15,10.2
2023,34,3.185,2.0,0.1,1.025,3.775,12.9
2024,32,2.928,1.85,0.1,1.075,3.5,12.1
2025,30,2.67,2.0,0.1,1.0,2.9,11.5
