file,column,dtype,non_missing,missing,missing_pct,example
data/processed/citizenship_unmet_need.csv,country,str,1612,0,0.0,AL; AL; AL
data/processed/citizenship_unmet_need.csv,year,int64,1612,0,0.0,2017; 2018; 2019
data/processed/citizenship_unmet_need.csv,citizen_group,str,1612,0,0.0,NAT; NAT; NAT
data/processed/citizenship_unmet_need.csv,unmet_need_pc,float64,1612,0,0.0,14.0; 18.2; 17.3
data/processed/country_year_outcome.csv,geo,str,608,0,0.0,AL; AL; AL
data/processed/country_year_outcome.csv,year,int64,608,0,0.0,2017; 2018; 2019
data/processed/country_year_outcome.csv,unmet_need_pc,float64,608,0,0.0,13.1; 14.8; 14.6
data/processed/country_year_outcome.csv,status,str,22,586,96.38,b; b; e
data/processed/country_year_outcome_08b.csv,geo,str,154,0,0.0,AL; AL; AL
data/processed/country_year_outcome_08b.csv,year,int64,154,0,0.0,2021; 2022; 2023
data/processed/country_year_outcome_08b.csv,unmet_need_pc_08b,float64,154,0,0.0,13.7; 13.5; 13.8
data/processed/country_year_outcome_08b.csv,status_08b,str,6,148,96.1,b; p; p
data/processed/feature_gini_income.csv,geo,str,410,0,0.0,AL; AL; AL
data/processed/feature_gini_income.csv,year,int64,410,0,0.0,2017; 2018; 2019
data/processed/feature_gini_income.csv,gini_income,float64,410,0,0.0,36.8; 35.4; 34.3
data/processed/feature_hospital_beds_per_100k.csv,geo,str,570,0,0.0,AL; AL; AL
data/processed/feature_hospital_beds_per_100k.csv,year,int64,570,0,0.0,2009; 2010; 2011
data/processed/feature_hospital_beds_per_100k.csv,hospital_beds_per_100k,float64,570,0,0.0,300.77; 298.93; 288.24
data/processed/feature_long_term_unemployment_rate_pc.csv,geo,str,572,0,0.0,AT; AT; AT
data/processed/feature_long_term_unemployment_rate_pc.csv,year,int64,572,0,0.0,2009; 2010; 2011
data/processed/feature_long_term_unemployment_rate_pc.csv,long_term_unemployment_rate_pc,float64,572,0,0.0,1.4; 1.5; 1.5
data/processed/feature_oop_health_expenditure_share_pc.csv,geo,str,475,0,0.0,AT; AT; AT
data/processed/feature_oop_health_expenditure_share_pc.csv,year,int64,475,0,0.0,2008; 2009; 2010
data/processed/feature_oop_health_expenditure_share_pc.csv,oop_health_expenditure_share_pc,float64,475,0,0.0,18.81; 18.6; 19.24
data/processed/feature_physicians_per_100k.csv,geo,str,459,0,0.0,AT; AT; AT
data/processed/feature_physicians_per_100k.csv,year,int64,459,0,0.0,2008; 2009; 2010
data/processed/feature_physicians_per_100k.csv,physicians_per_100k,float64,459,0,0.0,430.74; 439.74; 450.76
data/processed/feature_population_total.csv,geo,str,796,0,0.0,AD; AD; AD
data/processed/feature_population_total.csv,year,int64,796,0,0.0,2008; 2009; 2010
data/processed/feature_population_total.csv,population_total,int64,796,0,0.0,83137; 84484; 84082
data/processed/feature_population_total.csv,status,str,45,751,94.35,b; b; b
data/processed/modeling_dataset_5a.csv,geo,str,230,0,0.0,AT; BE; BG
data/processed/modeling_dataset_5a.csv,year,int64,230,0,0.0,2015; 2015; 2015
data/processed/modeling_dataset_5a.csv,unmet_need_pc,float64,230,0,0.0,0.1; 2.4; 4.7
data/processed/modeling_dataset_5a.csv,status,str,16,214,93.04,b; b; b
data/processed/modeling_dataset_5a.csv,gdp_per_capita_eur,float64,230,0,0.0,39640.0; 36860.0; 6560.0
data/processed/modeling_dataset_5a.csv,unemployment_rate_pc,float64,230,0,0.0,6.1; 8.7; 10.1
data/processed/modeling_dataset_5a.csv,poverty_or_social_exclusion_pc,float64,230,0,0.0,16.9; 21.6; 43.3
data/processed/modeling_dataset_5a.csv,government_health_expenditure_gdp_pc,float64,230,0,0.0,8.3; 7.8; 5.3
data/processed/modeling_dataset_5a.csv,compulsory_health_financing_gdp_pc,float64,230,0,0.0,7.74; 8.26; 4.15
data/processed/modeling_dataset_5a.csv,physicians_per_100k,float64,230,0,0.0,494.14; 296.97; 435.19
