file,rows,columns,key_columns
data/processed/citizenship_unmet_need.csv,1612,4,"country, year, unmet_need_pc"
data/processed/country_year_outcome.csv,608,4,"geo, year, unmet_need_pc"
data/processed/country_year_outcome_08b.csv,154,4,"geo, year"
data/processed/feature_gini_income.csv,410,3,"geo, year"
data/processed/feature_hospital_beds_per_100k.csv,570,3,"geo, year"
data/processed/feature_long_term_unemployment_rate_pc.csv,572,3,"geo, year"
data/processed/feature_oop_health_expenditure_share_pc.csv,475,3,"geo, year"
data/processed/feature_physicians_per_100k.csv,459,3,"geo, year"
data/processed/feature_population_total.csv,796,4,"geo, year, population_total"
data/processed/modeling_dataset_5a.csv,230,22,"geo, year, unmet_need_pc"
data/processed/modeling_dataset_5a_with_splits.csv,230,23,"geo, year, unmet_need_pc"
data/processed/modeling_dataset_time_split.csv,236,15,"geo, year, unmet_need_pc"
data/processed/multi_outcome_unmet_care.csv,2740,11,"geo, year"
data/processed/panel_features_v2-3.csv,608,25,"geo, year, unmet_need_pc, population_total"
data/processed/panel_features_v2-3_imputed_1.csv,608,25,"geo, year, unmet_need_pc, population_total"
data/processed/panel_features_v2-3_imputed_10.csv,608,25,"geo, year, unmet_need_pc, population_total"
data/processed/panel_features_v2-3_imputed_2.csv,608,25,"geo, year, unmet_need_pc, population_total"
data/processed/panel_features_v2-3_imputed_3.csv,608,25,"geo, year, unmet_need_pc, population_total"
data/processed/panel_features_v2-3_imputed_4.csv,608,25,"geo, year, unmet_need_pc, population_total"
data/processed/panel_features_v2-3_imputed_5.csv,608,25,"geo, year, unmet_need_pc, population_total"
data/processed/panel_features_v2-3_imputed_6.csv,608,25,"geo, year, unmet_need_pc, population_total"
data/processed/panel_features_v2-3_imputed_7.csv,608,25,"geo, year, unmet_need_pc, population_total"
data/processed/panel_features_v2-3_imputed_8.csv,608,25,"geo, year, unmet_need_pc, population_total"
data/processed/panel_features_v2-3_imputed_9.csv,608,25,"geo, year, unmet_need_pc, population_total"
data/processed/panel_skeleton.csv,608,9,"geo, year, unmet_need_pc"
data/processed/verified_control_candidates.csv,667,7,"geo, year"
