specification,term,coef,se,p_value,ci_low,ci_high,nobs,countries,dropped_countries
Baseline two-way FE,poverty_or_social_exclusion_pc,0.17752062443807837,0.06721106140387914,0.008260288895314718,0.04578694408647524,0.3092543047896815,282,30,
1-year lagged covariates,poverty_or_social_exclusion_pc,0.07386741888177871,0.05532716919906243,0.18184293759921422,-0.034573832748383646,0.18230867051194105,280,30,
2-year lagged covariates,poverty_or_social_exclusion_pc,-0.06586295571244925,0.09893165037174902,0.5055760169652195,-0.2597689904410773,0.12804307901617884,262,30,
Exclude COVID 2020-2022,poverty_or_social_exclusion_pc,0.22979105556685428,0.08479953047432176,0.006732070795979618,0.06358397583718364,0.39599813529652494,195,30,
Exclude 2015 measurement-change year,poverty_or_social_exclusion_pc,0.09927116499764435,0.059783965399402166,0.09681427622435199,-0.017905407185183894,0.2164477371804726,252,30,
Restrict 2016 onward,poverty_or_social_exclusion_pc,0.09927116499764435,0.059783965399402166,0.09681427622435199,-0.017905407185183894,0.2164477371804726,252,30,
Drop top 3 high-unmet countries,poverty_or_social_exclusion_pc,0.2099134906570456,0.06556521348437157,0.0013666733002454005,0.08140567222767733,0.3384213090864139,263,28,"AL, EE, LV"
Drop bottom 3 low-unmet countries,poverty_or_social_exclusion_pc,0.18067772835907997,0.07012535421868855,0.009980722147888282,0.0432320340904504,0.31812342262770954,253,27,"MT, AT, NL"
Drop top 3 and bottom 3,poverty_or_social_exclusion_pc,0.2210859950287652,0.06844445223420464,0.0012372435375357903,0.08693486864972408,0.3552371214078063,234,25,"AL, EE, LV, MT, AT, NL"
Country group Western/Northern Europe,poverty_or_social_exclusion_pc,-0.2565534343714038,0.13745623282814193,0.06198021442548091,-0.525967650714562,0.012860781971754331,122,13,
Country group Eastern/Southern Europe,poverty_or_social_exclusion_pc,0.12316540866156633,0.11038362182480907,0.2645102228781907,-0.09318649011505944,0.3395173074381921,160,17,
