mechanism,estimator,mean_bias,median_abs_error,mean_rows,mean_target_distance,estimated_replicates
country_group,complete_case_fe,0.0142,0.0292,210.85,0.3815,20
country_group,ipw_fe,0.012,0.0409,210.85,0.3815,20
country_group,mnar_shift_mi_fe,-0.1448,0.1468,282.0,0.3815,20
country_group,pmm_mi_fe,-0.1464,0.1467,282.0,0.3815,20
country_group,population_weighted_fe,0.1271,0.1401,210.85,0.3815,20
covariate_block,complete_case_fe,0.0008,0.035,184.6,0.3833,20
covariate_block,ipw_fe,0.0015,0.0345,184.6,0.3833,20
covariate_block,mnar_shift_mi_fe,-0.002,0.002,282.0,0.3833,20
covariate_block,pmm_mi_fe,-0.0014,0.0018,282.0,0.3833,20
covariate_block,population_weighted_fe,0.1317,0.143,184.6,0.3833,20
early_year,complete_case_fe,-0.0773,0.0773,192.0,0.7388,20
early_year,ipw_fe,-0.0794,0.0794,192.0,0.7388,20
early_year,mnar_shift_mi_fe,-0.2321,0.2324,282.0,0.7388,20
early_year,pmm_mi_fe,-0.2285,0.2261,282.0,0.7388,20
early_year,population_weighted_fe,-0.0427,0.0427,192.0,0.7388,20
eurostat_realistic,complete_case_fe,-0.0106,0.0194,169.8,0.4353,20
eurostat_realistic,ipw_fe,-0.0134,0.016,169.8,0.4353,20
eurostat_realistic,mnar_shift_mi_fe,-0.0921,0.0982,282.0,0.4353,20
eurostat_realistic,pmm_mi_fe,-0.0611,0.0657,282.0,0.4353,20
eurostat_realistic,population_weighted_fe,0.1214,0.1037,169.8,0.4353,20
mcar,complete_case_fe,-0.1028,0.1294,64.85,0.9483,20
mcar,ipw_fe,-0.0992,0.1395,64.85,0.9483,20
mcar,mnar_shift_mi_fe,-0.1464,0.1446,282.0,0.9483,20
mcar,pmm_mi_fe,-0.1338,0.1344,282.0,0.9483,20
mcar,population_weighted_fe,-0.0923,0.1332,64.85,0.9483,20
mnar_high_poverty_unmet,complete_case_fe,0.0088,0.0347,190.55,0.4302,20
mnar_high_poverty_unmet,ipw_fe,0.0278,0.0536,190.55,0.4302,20
mnar_high_poverty_unmet,mnar_shift_mi_fe,-0.1527,0.1475,282.0,0.4302,20
mnar_high_poverty_unmet,pmm_mi_fe,-0.1522,0.1513,282.0,0.4302,20
mnar_high_poverty_unmet,population_weighted_fe,0.1034,0.0702,190.55,0.4302,20
