geo,observed_years,mean_unmet_need_pc,min_unmet_need_pc,max_unmet_need_pc
AL,7,12.043,10.2,14.8
EE,18,10.15,4.3,16.4
LV,18,8.972,4.0,16.1
EL,18,8.956,5.4,13.1
XK,2,7.6,5.2,10.0
RO,18,7.233,2.2,12.2
TR,18,6.383,0.7,16.4
PL,18,5.456,1.9,9.0
RS,13,5.369,2.8,8.7
BG,18,4.9,1.0,15.3
FI,18,4.822,0.8,8.5
MK,15,4.18,1.1,11.4
IT,17,4.112,1.8,7.2
ME,11,3.909,1.6,11.3
IS,13,3.469,1.7,5.2
LT,18,2.939,1.4,5.7
IE,18,2.522,1.8,3.7
PT,18,2.428,1.1,3.5
HR,16,2.356,1.0,6.3
FR,18,2.317,1.0,4.1
SK,18,2.222,1.1,3.2
UK,11,1.918,1.0,4.5
CY,18,1.911,0.1,4.7
SI,18,1.822,0.0,4.8
SE,18,1.756,1.3,2.6
HU,18,1.733,0.7,3.4
DK,18,1.589,0.6,3.1
BE,18,1.522,0.4,2.5
NO,18,1.294,0.8,1.9
DE,18,0.928,0.1,2.2
CH,17,0.865,0.4,1.4
ES,18,0.744,0.1,1.8
CZ,18,0.633,0.2,1.1
LU,18,0.633,0.1,1.1
MT,18,0.617,0.0,1.6
AT,18,0.406,0.1,1.0
NL,18,0.311,0.1,0.6
