variable,N,mean,std,min,p25,median,p75,max
unmet_need_pc,608,3.284703947368421,3.421577944289397,0.0,1.0,2.1,4.3,16.4
gdp_per_capita_eur,604,31191.82119205298,23428.094493644425,3650.0,14000.0,24410.0,41287.5,130300.0
log_gdp_per_capita,604,10.073280130872783,0.7681945375233331,8.202482446576537,9.546774855278162,10.102707547359328,10.628314800368912,11.777594763112935
unemployment_rate_pc,556,8.64658273381295,5.103583532952848,2.0,5.2,7.2,10.3,32.0
long_term_unemployment_rate_pc,554,3.8494584837545123,3.9794237584666314,0.3,1.5,2.4,4.475,26.6
poverty_or_social_exclusion_pc,375,22.83253333333333,7.896577999350209,10.7,17.3,20.3,26.7,58.5
gini_income,409,30.26234718826406,4.62379823991906,20.9,27.0,29.7,33.0,46.6
government_health_expenditure_gdp_pc,502,6.28187250996016,1.64176104261223,1.7,5.1,6.5,7.4,10.1
compulsory_health_financing_gdp_pc,444,6.524752252252251,1.7599938902698615,2.75,4.9975000000000005,6.415,7.9025,10.91
oop_health_expenditure_share_pc,444,20.654324324324325,8.783063619271722,8.39,13.51,19.265,24.8825,47.74
physicians_per_100k,431,358.74201856148494,72.47780731615572,213.12,309.42,350.88,411.275,564.69
hospital_beds_per_100k,522,488.332203065134,170.60617111856195,187.41,338.0625,452.68,630.6949999999999,880.59
