variable,estimate,standard_error,t_stat,p_value
Intercept,7.3898,6.813,1.0847,0.2781
C(year)[T.2016],-0.0326,0.2408,-0.1354,0.8923
C(year)[T.2017],-0.4276,0.416,-1.0279,0.304
C(year)[T.2018],0.0001,0.4925,0.0002,0.9998
C(year)[T.2019],0.0255,0.559,0.0456,0.9637
C(year)[T.2020],-0.1359,0.4702,-0.2891,0.7725
C(year)[T.2021],-0.1706,0.5532,-0.3084,0.7578
C(year)[T.2022],0.2416,0.7329,0.3297,0.7416
C(year)[T.2023],0.8045,0.7721,1.042,0.2974
C(year)[T.2024],0.8027,0.6298,1.2745,0.2025
log_gdp_per_capita,-0.5457,0.5932,-0.92,0.3576
unemployment_rate_pc,0.1602,0.1861,0.8609,0.3893
poverty_or_social_exclusion_pc,0.0617,0.0647,0.9545,0.3398
government_health_expenditure_gdp_pc,0.1588,0.1903,0.8346,0.4039
compulsory_health_financing_gdp_pc,-0.401,0.2427,-1.6521,0.0985
