year,countries_observed,mean_unmet_need_pc,median_unmet_need_pc,min_unmet_need_pc,max_unmet_need_pc
2008,31,3.442,1.7,0.2,15.3
2009,31,3.358,2.1,0.2,14.9
2010,33,3.97,1.9,0.1,16.4
2011,33,4.0,2.2,0.1,16.1
2012,33,3.87,2.3,0.1,12.4
2013,35,4.334,3.0,0.0,13.8
2014,35,4.126,3.3,0.1,12.5
2015,35,3.494,2.6,0.1,12.7
2016,35,3.023,2.3,0.2,15.3
2017,36,2.822,2.15,0.1,13.1
2018,37,3.262,2.1,0.1,16.4
2019,36,2.972,1.8,0.0,15.5
2020,34,2.5,1.7,0.0,13.0
2021,34,2.441,1.7,0.1,10.7
2022,34,2.706,1.95,0.2,10.2
2023,34,3.185,2.0,0.1,12.9
2024,32,2.928,1.85,0.1,12.1
2025,30,2.67,2.0,0.1,11.5
