estimand_id,outcome,estimand,family,rows,countries,years,Delta_row,Delta_country,Delta_year,Delta_weight,Delta_balance,TDI
dental_need_combined__unweighted_complete_case_fe,Dental need,Unweighted complete-case FE,complete-case,93,28,4,0.39610389610389607,0.17647058823529416,0.19999999999999996,0.2337019172033975,0.1310657173526548,0.22746842377904852
dental_need_combined__population_weighted_complete_case_fe,Dental need,Population-weighted complete-case FE,weighted,93,28,4,0.39610389610389607,0.17647058823529416,0.19999999999999996,0.4017757703402044,0.1310657173526548,0.26108319440640987
dental_need_combined__balanced_outcome_fe,Dental need,Balanced-outcome FE,balanced,86,24,4,0.4415584415584416,0.2941176470588235,0.19999999999999996,0.26652647151087916,0.1259129231230862,0.2656230966502461
dental_need_combined__ipw_complete_case_fe,Dental need,IPW complete-case FE,ipw,93,28,4,0.39610389610389607,0.17647058823529416,0.19999999999999996,0.25414582016670884,0.1310657173526548,0.23155720437171076
dental_need_combined__mar_mi_full_target_fe,Dental need,MAR MI full-target FE,mi,154,34,5,0.0,0.0,0.0,0.0,0.0,0.0
dental_population_combined__unweighted_complete_case_fe,Dental population,Unweighted complete-case FE,complete-case,282,30,10,0.5354200988467874,0.18918918918918914,0.4444444444444444,0.33997097349587596,0.19032751636335768,0.33987044446793097
dental_population_combined__population_weighted_complete_case_fe,Dental population,Population-weighted complete-case FE,weighted,282,30,10,0.5354200988467874,0.18918918918918914,0.4444444444444444,0.49220296548653286,0.19032751636335768,0.3703168428660623
dental_population_combined__balanced_outcome_fe,Dental population,Balanced-outcome FE,balanced,238,25,10,0.6079077429983526,0.32432432432432434,0.4444444444444444,0.40300227061468075,0.2002135327354242,0.39597846302344525
dental_population_combined__ipw_complete_case_fe,Dental population,IPW complete-case FE,ipw,282,30,10,0.5354200988467874,0.18918918918918914,0.4444444444444444,0.35202843959154495,0.19032751636335768,0.3422819376870648
dental_population_combined__mar_mi_full_target_fe,Dental population,MAR MI full-target FE,mi,607,37,18,0.0,0.0,0.0,0.0,0.0,0.0
medical_need_combined__unweighted_complete_case_fe,Medical need,Unweighted complete-case FE,complete-case,93,28,4,0.39610389610389607,0.17647058823529416,0.19999999999999996,0.2337019172033975,0.1310657173526548,0.22746842377904852
medical_need_combined__population_weighted_complete_case_fe,Medical need,Population-weighted complete-case FE,weighted,93,28,4,0.39610389610389607,0.17647058823529416,0.19999999999999996,0.4017757703402044,0.1310657173526548,0.26108319440640987
medical_need_combined__balanced_outcome_fe,Medical need,Balanced-outcome FE,balanced,86,24,4,0.4415584415584416,0.2941176470588235,0.19999999999999996,0.26652647151087916,0.1259129231230862,0.2656230966502461
medical_need_combined__ipw_complete_case_fe,Medical need,IPW complete-case FE,ipw,93,28,4,0.39610389610389607,0.17647058823529416,0.19999999999999996,0.2550145319989557,0.1310657173526548,0.23173094673816014
medical_need_combined__mar_mi_full_target_fe,Medical need,MAR MI full-target FE,mi,154,34,5,0.0,0.0,0.0,0.0,0.0,0.0
medical_population_combined__unweighted_complete_case_fe,Medical population,Unweighted complete-case FE,complete-case,282,30,10,0.5361842105263157,0.18918918918918914,0.4444444444444444,0.3406041542272312,0.19032751636335768,0.34014990295010766
medical_population_combined__population_weighted_complete_case_fe,Medical population,Population-weighted complete-case FE,weighted,282,30,10,0.5361842105263157,0.18918918918918914,0.4444444444444444,0.49267965949877124,0.19032751636335768,0.3705650040044156
medical_population_combined__balanced_outcome_fe,Medical population,Balanced-outcome FE,balanced,238,25,10,0.6085526315789473,0.32432432432432434,0.4444444444444444,0.40359197047821804,0.2002135327354242,0.39622538071227165
medical_population_combined__ipw_complete_case_fe,Medical population,IPW complete-case FE,ipw,282,30,10,0.5361842105263157,0.18918918918918914,0.4444444444444444,0.3536808389739588,0.19032751636335768,0.3427652398994531
