year,mean,median,p10,p90,countries
2008,3.4419354838709677,1.7,0.5,9.9,31
2009,3.358064516129032,2.1,0.5,8.9,31
2010,3.9696969696969697,1.9,0.44000000000000006,10.98,33
2011,4.0,2.2,0.6,9.500000000000002,33
2012,3.8696969696969696,2.3,0.7,8.860000000000001,33
2013,4.3342857142857145,3.0,0.8400000000000001,9.900000000000002,35
2014,4.1257142857142854,3.3,0.68,9.56,35
2015,3.494285714285714,2.6,0.5,7.960000000000002,35
2016,3.0228571428571427,2.3,0.4,6.56,35
2017,2.822222222222222,2.1500000000000004,0.25,5.5,36
2018,3.2621621621621624,2.1,0.2,7.239999999999997,37
2019,2.9722222222222223,1.8,0.25,5.2,36
2020,2.5,1.7,0.13000000000000003,5.37,34
2021,2.4411764705882355,1.7,0.23000000000000004,5.289999999999999,34
2022,2.7058823529411766,1.9500000000000002,0.3,6.169999999999999,34
2023,3.1852941176470586,2.0,0.33,7.87,34
2024,2.928125,1.85,0.62,8.240000000000004,32
2025,2.67,2.0,0.4800000000000001,7.609999999999999,30
