source_id,source_type,title,institution,url,date_accessed,relevance,verified_for,reliability_level,notes
S01,Official Statistics Explained article,Unmet health care needs statistics,Eurostat,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Unmet_health_care_needs_statistics,2026-05-14,Overview article on unmet medical and dental care needs using EU-SILC,Indicator context; cited online data codes; broad definition; source survey,Primary official,"Verified article page. It states data are from EU-SILC and cites hlth_silc_08 and hlth_silc_08b for figures. Not sufficient alone for full dataset structure or year-by-year feasibility."
S02,Official reference metadata,Health variables of EU-SILC,Eurostat,https://ec.europa.eu/eurostat/cache/metadata/en/hlth_silc_01_esms.htm,2026-05-14,Reference metadata for EU-SILC health variables,Indicator definition; unit; population; reference period; microdata access; comparability caveats,Primary official,"Verified metadata page. Safe for definitions of self-reported unmet needs, medical care, dental care, reasons of barriers of access, percentage unit, persons aged 16+ in private households, and annual dissemination. Does not by itself verify every dataset table or regional completeness."
S03,Official Data Browser page,Self-reported unmet needs for medical examination by sex age main reason declared and income quintile,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/hlth_silc_08/default/table?lang=en,2026-05-14,Data Browser entry for hlth_silc_08,Dataset page for national aggregate unmet medical examination needs,Primary official,"Verified URL exists as Eurostat Data Browser page. Page is JavaScript-rendered in browser output, so dataset title was cross-checked through official SDMX dataflow source S04."
S04,Official SDMX dataflow,HLTH_SILC_08 dataflow structure,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/dataflow/ESTAT/hlth_silc_08/1.0?compress=false,2026-05-14,Machine-readable official dataflow for hlth_silc_08,Dataset code existence; exact English title; DOI metadata endpoint,Primary official,"Direct API request returned HTTP 200. English title verified as: Self-reported unmet needs for medical examination by sex, age, main reason declared and income quintile."
S05,Official Data Browser page,Self-reported unmet needs for medical examination due to financial reasons long waiting list or distance by sex age and risk of poverty threshold - % of the persons having the same needs,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/hlth_silc_08b/default/table?lang=en,2026-05-14,Data Browser entry for hlth_silc_08b,Dataset page for need-denominator unmet medical needs due to access barriers,Primary official,"Verified URL exists as Eurostat Data Browser page. Page is JavaScript-rendered in browser output, so dataset title was cross-checked through official SDMX dataflow source S06."
S06,Official SDMX dataflow,HLTH_SILC_08B dataflow structure,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/dataflow/ESTAT/hlth_silc_08b/1.0?compress=false,2026-05-14,Machine-readable official dataflow for hlth_silc_08b,Dataset code existence; exact English title; DOI metadata endpoint,Primary official,"Direct API request returned HTTP 200. English title verified as: Self-reported unmet needs for medical examination due to financial reasons, long waiting list or distance by sex, age and risk of poverty threshold - % of the persons having the same needs."
S07,Official Data Browser page,Self-reported unmet needs for medical examination by main reason declared and NUTS 2 region,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/hlth_silc_08_r/default/table?lang=en,2026-05-14,Data Browser entry for hlth_silc_08_r,Regional NUTS2 unmet medical examination dataset page,Primary official,"Verified URL exists as Eurostat Data Browser page. Page is JavaScript-rendered in browser output, so dataset title was cross-checked through official SDMX dataflow source S08. Year and completeness are not yet audited."
S08,Official SDMX dataflow,HLTH_SILC_08_R dataflow structure,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/dataflow/ESTAT/hlth_silc_08_r/1.0?compress=false,2026-05-14,Machine-readable official dataflow for hlth_silc_08_r,Dataset code existence; exact English title; regional dataset existence,Primary official,"Direct API request returned HTTP 200. English title verified as: Self-reported unmet needs for medical examination by main reason declared and NUTS 2 region. This verifies source existence, not panel feasibility."
S09,Official Data Browser page,Self-reported unmet needs for medical examination due to financial reasons long waiting list or distance by NUTS-2-region - % of the persons having the same needs,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/hlth_silc_08b_r/default/table?lang=en,2026-05-14,Data Browser entry for hlth_silc_08b_r,Regional NUTS2 need-denominator unmet medical needs dataset page,Primary official,"Verified URL exists as Eurostat Data Browser page. Page is JavaScript-rendered in browser output, so dataset title was cross-checked through official SDMX dataflow source S10. Year and completeness are not yet audited."
S10,Official SDMX dataflow,HLTH_SILC_08B_R dataflow structure,Eurostat,https://ec.europa.eu/eurostat/api/dissemination/sdmx/3.0/structure/dataflow/ESTAT/hlth_silc_08b_r/1.0?compress=false,2026-05-14,Machine-readable official dataflow for hlth_silc_08b_r,Dataset code existence; exact English title; regional dataset existence,Primary official,"Direct API request returned HTTP 200. English title verified as: Self-reported unmet needs for medical examination due to financial reasons, long waiting list or distance by NUTS-2-region - % of the persons having the same needs. This verifies source existence, not panel feasibility."
S11,Official API documentation,API - Getting started,Eurostat,https://ec.europa.eu/eurostat/web/user-guides/data-browser/api-data-access/api-getting-started,2026-05-14,Eurostat API overview for data and metadata access,API retrieval; dataflow discovery; structure queries; base URI,Primary official,"Verified documentation page. Safe for explaining that Eurostat supports Statistics, SDMX 3.0, SDMX 2.1, and Catalogue APIs, and that SDMX 3.0 can retrieve public datasets, structures, and data subsets."
S12,Official API documentation,API - Detailed guidelines,Eurostat,https://ec.europa.eu/eurostat/web/user-guides/data-browser/api-data-access/api-detailed-guidelines,2026-05-14,Eurostat detailed API guide index,API retrieval; detailed query documentation entry points,Primary official,"Verified documentation page. Safe as a navigation source for Eurostat API detailed guidelines. Specific query syntax should be verified against the linked detailed subpages during data extraction."
S13,Official metadata,European Health Interview Survey EHIS,Eurostat,https://ec.europa.eu/eurostat/cache/metadata/en/hlth_det_esms.htm,2026-05-14,Reference metadata for EHIS health determinants and unmet needs,EU-SILC versus EHIS distinction; denominator and conceptual differences,Primary official,"Verified metadata page. Safe for warning that EHIS and EU-SILC unmet-need indicators differ by question structure, denominator, age population, sequence, concept, and context."
S14,Official presentation,Experts Group on Health Information - Update Eurostat Jan-May 2014,European Commission / Eurostat,https://health.ec.europa.eu/system/files/2018-04/ev_20140520_co04_en_0.pdf,2026-05-14,Official presentation mentioning revisions to EU-SILC health guidelines,Post-2015 guideline-change signal,Primary official but limited,"Verified PDF. It states there were changes of guidelines on unmet needs variables from 2015. It is not sufficient by itself to explain the resulting denominator or dataset publication consequences."
S15,Peer-reviewed article,Time to reap the fruits of EU-SILC's new way of measuring unmet needs,European Journal of Public Health,https://academic.oup.com/eurpub/article/35/3/447/7730124,2026-05-14,Academic interpretation of the 2015 EU-SILC unmet-needs questionnaire change and later publication of new datasets,Secondary evidence for methodology break and implications of hlth_silc_08b,Secondary academic,"Use only as secondary evidence. It states the 2015 change split need from unmet need and that Eurostat datasets using the new method were published only at the end of 2023 with limited disaggregation."
S16,Official Data Browser/API table,Population on 1 January by age and sex,Eurostat,https://ec.europa.eu/eurostat/databrowser/view/demo_pjan/default/table?lang=en,2026-05-21,Population source used for target-population sensitivity,Country-year total population; year-normalized population weights,Primary official,"Extraction filter used in the reproducible script: freq=A, unit=NR, age=TOTAL, sex=T. Weights are normalized within year before regression or descriptive aggregation."
